#,Team,EPA/play,Success Rate,Dropback EPA,Rush EPA,Dropback SR,Rush SR
1,SF,0.17906856959712936,0.5158806544754572,0.29762282965880843,0.03442223947914066,0.553415061295972,0.4700854700854701
2,DAL,0.12140769594836467,0.47968885047536736,0.2286160120154807,-0.06052156768068072,0.5192307692307693,0.4125874125874126
3,BUF,0.09654073755841262,0.48370044052863437,0.15270132170918974,0.010419484630770038,0.5007278020378457,0.4575892857142857
4,MIA,0.09515036466676288,0.4735376044568245,0.16727677459658064,-0.00886867550413077,0.5,0.43537414965986393
5,GB,0.07489480079023965,0.4511627906976744,0.15547844660327895,-0.053766527428163666,0.4735249621785174,0.41545893719806765
6,BAL,0.06886191302306677,0.47382671480144406,0.11166142439330262,0.00901670881273699,0.48606811145510836,0.45670995670995673
7,PHI,0.060964820671215884,0.4630281690140845,0.10651667029691698,-0.0064678300847346585,0.4749262536873156,0.44541484716157204
8,DET,0.058415695639599224,0.45993031358885017,0.11085389670320189,-0.013524315736913527,0.4924698795180723,0.4152892561983471
9,LA,0.042006328792712946,0.44876325088339225,0.08551482052590513,-0.022021451618141927,0.45845697329376855,0.4344978165938865
10,SEA,0.03145514668136194,0.446064139941691,0.09372049970828697,-0.08676132638947599,0.4732937685459941,0.39436619718309857
11,KC,0.02121552055027287,0.43800904977375565,0.08223654228779494,-0.11152273650519905,0.4795244385733157,0.34770114942528735
12,TB,0.008377707704059224,0.4055813953488372,0.11021078542893012,-0.1655336945565515,0.4557522123893805,0.3198992443324937
13,CIN,0.0012300775879646995,0.44434050514499535,0.05001567932609562,-0.10292217480311827,0.47802197802197804,0.3724340175953079
14,NO,-0.014705725005040218,0.4217506631299735,0.05168965446000437,-0.11335028878167788,0.4556213017751479,0.37142857142857144
15,HOU,-0.02310937765309027,0.4137622877569258,0.06324444360545252,-0.16412008813174606,0.4553314121037464,0.3458823529411765
16,TEN,-0.023201745159695798,0.40891472868217055,0.014034196656899207,-0.07811806222733592,0.43089430894308944,0.3764988009592326
17,IND,-0.024913783409037337,0.4146772767462423,0.029826950591519248,-0.107754760863213,0.434654919236417,0.3844444444444444
18,MIN,-0.024989970514942374,0.4316546762589928,0.03937224338973212,-0.15779244493533137,0.4472630173564753,0.39944903581267216
19,JAX,-0.03241218559704222,0.4308231173380035,0.05274028822597216,-0.19159168440187313,0.4852150537634409,0.32914572864321606
20,DEN,-0.04566019880581507,0.42337164750957856,-0.004632983242831903,-0.11013153754764575,0.4373040752351097,0.4014778325123153
21,CHI,-0.051828247030107674,0.41629364368845123,-0.056966029012144495,-0.044884129067017886,0.4236760124610592,0.4063157894736842
22,ARI,-0.05486851853422248,0.41081081081081083,-0.08174262682860761,-0.01394658090413604,0.4164179104477612,0.4022727272727273
23,PIT,-0.06390492926198746,0.42322456813819576,-0.060332520705886246,-0.06869757624624011,0.4338358458961474,0.40898876404494383
24,LAC,-0.07002956490047317,0.4141856392294221,0.018117425707059143,-0.24199591608571064,0.45695364238410596,0.330749354005168
25,WAS,-0.08381583910526663,0.41909090909090907,-0.0689348680490005,-0.1191467335762789,0.43281653746770027,0.38650306748466257
26,LV,-0.08622262136709291,0.4150390625,-0.04526067314884757,-0.15091567308709247,0.44657097288676234,0.36523929471032746
27,ATL,-0.08948913160406921,0.4153153153153153,-0.025845781129171803,-0.17120405073233255,0.46955128205128205,0.345679012345679
28,CLE,-0.12700009191047124,0.3930921052631579,-0.13126297888584126,-0.12057499834553219,0.399452804377565,0.3835051546391753
29,CAR,-0.16018717839374425,0.3824561403508772,-0.16291221126063246,-0.15546248112093794,0.3914246196403873,0.3669064748201439
30,NYG,-0.1648643388561147,0.38235294117647056,-0.1426364884879001,-0.20464649156640652,0.39111747851002865,0.36666666666666664
31,NE,-0.18941655208275085,0.3894230769230769,-0.2265854379857815,-0.128723054848688,0.3937984496124031,0.3822784810126582
32,NYJ,-0.23016186537557531,0.3559633027522936,-0.24975968348742433,-0.19058621605829554,0.36488340192043894,0.3379501385041551
