#,Team,EPA/play,Success Rate,Dropback EPA,Rush EPA,Dropback SR,Rush SR
1,TB,0.1427718047747713,0.4991364421416235,0.19739662404098432,0.024093772779957813,0.5157629255989912,0.46301369863013697
2,KC,0.13988498582754538,0.5110921501706485,0.215591648789251,-0.02356794417872456,0.533083645443196,0.4636118598382749
3,GB,0.13646037764830693,0.4889908256880734,0.2216192020209217,-0.003134111698570054,0.5110782865583456,0.45278450363196127
4,BUF,0.09146451178261744,0.4739093242087254,0.16355385073691958,-0.047655265146737576,0.5103896103896104,0.40350877192982454
5,LAC,0.08756982094631777,0.4739093242087254,0.16686744906174342,-0.07516630359343306,0.5025445292620865,0.4151436031331593
6,SF,0.08540780241336363,0.4552238805970149,0.1744358201866252,-0.024393419506992323,0.4780405405405405,0.4270833333333333
7,DAL,0.08351758063693365,0.4682274247491639,0.16835254357453458,-0.06224431022858065,0.5013227513227513,0.4113636363636364
8,LA,0.08206329946778827,0.4664179104477612,0.1827644971870021,-0.08915410219586245,0.5022222222222222,0.40554156171284633
9,ARI,0.07876471379024291,0.4679376083188908,0.1539611444128632,-0.036756835671760565,0.5035765379113019,0.41318681318681316
10,NE,0.07012105022793151,0.4861111111111111,0.13335579253318727,-0.0116410688037049,0.5073891625615764,0.4585987261146497
11,CIN,0.06302077160641631,0.4457831325301205,0.1610530659895961,-0.09444656115883616,0.48270676691729325,0.3864734299516908
12,PHI,0.06136493811962634,0.4636363636363636,0.09055766356519346,0.02515644566270091,0.451559934318555,0.4786150712830957
13,IND,0.059617985047684806,0.4455626715462031,0.05532000665012833,0.065272740524131,0.4573268921095008,0.4300847457627119
14,SEA,0.04235840257681031,0.4377551020408163,0.052918222720404806,0.025898317392147336,0.45226130653266333,0.4151436031331593
15,TEN,0.025023106961372197,0.4473007712082262,0.09201304124796855,-0.0543863095244246,0.5055292259083728,0.3782771535580524
16,DEN,0.020900589968125948,0.44672897196261685,0.09972760988431564,-0.09284068077852227,0.46360759493670883,0.4223744292237443
17,MIN,0.018281458047767114,0.4160714285714286,0.10201642339570935,-0.11112712476268909,0.45294117647058824,0.35909090909090907
18,CLE,0.013504087773061843,0.43709825528007346,0.01258829615588649,0.014737643291886395,0.4496,0.4202586206896552
19,BAL,0.009368894090760057,0.46381578947368424,0.04136400769437223,-0.04567415369710966,0.4759427828348505,0.4429530201342282
20,LV,-0.000961361607210971,0.45155555555555554,0.08878875999082053,-0.1611342271324108,0.47711511789181693,0.40594059405940597
21,WAS,-0.035596405165133814,0.4484629294755877,-0.018240319479130015,-0.06226745426977266,0.4552238805970149,0.4380733944954128
22,MIA,-0.04614509689531103,0.4177660510114336,0.02807374089942522,-0.1802887740946862,0.46994535519125685,0.3234567901234568
23,PIT,-0.05143558057596068,0.402088772845953,-0.03724272119447106,-0.07811388768402386,0.41733333333333333,0.37343358395989973
24,DET,-0.061407669875025404,0.42138939670932357,-0.022043405303211454,-0.1233716534010102,0.45739910313901344,0.36470588235294116
25,NO,-0.06277602151350847,0.411214953271028,0.0024937297629238366,-0.14673412037763722,0.4418604651162791,0.3717948717948718
26,NYJ,-0.07202259166140354,0.42095416276894293,-0.06580668138776233,-0.08421335197646716,0.4279661016949153,0.407202216066482
27,ATL,-0.07639624782595843,0.4119922630560928,-0.028290763661822173,-0.16200331910729765,0.46676737160120846,0.31451612903225806
28,JAX,-0.07872448752753175,0.4400749063670412,-0.06094405694279739,-0.11282793635398951,0.44871794871794873,0.42349726775956287
29,CHI,-0.08722346843609306,0.41357466063348414,-0.07680815095494206,-0.1046074886763717,0.4356005788712012,0.37681159420289856
30,CAR,-0.13199702136151897,0.4123348017621145,-0.15790276824901398,-0.08871918538476263,0.4112676056338028,0.41411764705882353
31,HOU,-0.1342473393336647,0.3761814744801512,-0.08558843462738797,-0.2130169523977859,0.42966360856269115,0.2896039603960396
32,NYG,-0.14122450556563101,0.4022140221402214,-0.14594908084170202,-0.1325069821559777,0.41109530583214793,0.3858267716535433
