rank,team,record,pf,pa,overall,offense,pass,pass_block,receiving,run,run_block,defense,run_defense,tackling,pass_rush,coverage,special_teams
1,Arizona Cardinals,8-8,295,361,73.0,62.4,55.5,55.4,67.6,58.6,62.4,80.4,82.6,89.2,72.8,82.7,54.3
2,Atlanta Falcons,11-7,389,343,94.2,85.5,87.3,75.1,81.2,72.2,82.1,88.0,84.8,82.2,73.5,91.2,71.3
3,Baltimore Ravens,9-7,395,303,86.0,69.7,68.5,73.2,63.0,77.4,63.5,84.6,82.7,79.4,66.6,91.1,75.5
4,Buffalo Bills,9-8,305,369,79.8,69.3,67.5,81.4,59.2,68.5,69.5,77.9,71.1,68.5,61.5,91.2,71.9
5,Carolina Panthers,11-6,389,358,80.3,70.2,65.8,79.3,68.1,64.3,63.0,75.9,83.5,71.5,71.4,63.7,71.0
6,Chicago Bears,5-11,264,320,84.5,70.0,70.5,71.4,66.9,60.9,72.8,86.2,89.7,82.7,64.5,90.4,68.2
7,Cincinnati Bengals,7-9,290,349,78.3,68.4,70.5,68.5,69.3,67.3,56.2,75.5,72.1,71.7,74.2,73.9,74.8
8,Cleveland Browns,0-16,234,410,70.3,63.1,49.2,80.1,62.0,67.6,59.3,72.4,86.7,69.3,56.2,68.1,77.0
9,Dallas Cowboys,9-7,354,332,85.9,74.9,68.1,67.7,66.8,75.3,79.8,79.9,71.1,82.6,82.2,82.5,78.7
10,Denver Broncos,5-11,289,382,77.4,63.9,47.1,68.6,65.4,69.9,65.9,86.8,92.4,81.5,75.3,71.4,70.8
11,Detroit Lions,9-7,410,376,85.0,77.3,75.6,72.0,85.3,52.1,61.2,71.5,73.3,58.5,67.1,68.2,78.2
12,Green Bay Packers,7-9,320,384,80.0,72.1,67.0,79.6,66.9,80.2,62.9,75.7,91.2,78.7,67.9,54.9,57.7
13,Houston Texans,4-12,338,436,72.9,63.8,57.4,54.8,74.1,66.2,51.6,77.4,89.9,71.4,65.2,70.4,60.7
14,Indianapolis Colts,4-12,263,404,75.5,62.8,58.4,69.3,62.1,68.3,56.1,80.4,91.1,82.6,72.5,62.3,68.4
15,Jacksonville Jaguars,12-7,492,337,92.9,73.3,66.4,70.5,76.9,65.5,70.0,91.8,90.0,77.2,81.5,94.2,66.5
16,Kansas City Chiefs,10-7,436,361,85.6,77.7,79.8,75.0,78.6,74.0,62.0,70.5,69.0,55.0,63.0,74.3,77.6
17,Los Angeles Chargers,9-7,355,272,91.9,77.1,79.4,65.8,82.1,70.3,59.0,90.2,71.3,63.7,80.9,94.2,61.0
18,Los Angeles Rams,11-6,491,355,92.6,78.8,73.5,74.3,76.4,73.2,78.3,84.5,64.5,67.9,79.0,92.3,82.9
19,Miami Dolphins,6-10,281,393,73.0,65.9,56.1,71.2,73.6,77.8,48.1,70.3,78.8,66.1,76.7,58.5,74.9
20,Minnesota Vikings,14-4,418,314,93.5,80.4,77.1,71.9,83.9,78.6,65.8,90.1,91.4,85.7,75.1,90.4,86.8
21,New England Patriots,15-4,550,371,93.7,90.4,93.2,77.6,79.4,75.0,88.0,74.9,71.1,76.9,60.2,87.9,74.7
22,New Orleans Saints,12-6,503,381,93.8,85.0,87.6,84.2,82.9,77.4,67.9,83.9,84.1,81.2,73.6,85.9,77.4
23,New York Giants,3-13,246,388,73.0,66.6,68.0,66.8,63.7,64.2,63.4,75.6,83.3,73.8,61.7,69.2,49.1
24,New York Jets,5-11,298,382,71.9,65.9,59.0,66.1,70.9,66.1,56.9,69.7,84.6,66.5,63.5,55.1,69.5
25,Oakland Raiders,6-10,301,373,79.3,69.9,70.5,81.3,64.4,69.3,64.4,75.3,84.2,84.2,72.4,59.3,80.4
26,Philadelphia Eagles,16-3,551,345,94.3,83.6,83.8,75.3,80.8,66.2,82.6,90.5,80.6,60.3,86.7,92.9,86.7
27,Pittsburgh Steelers,13-4,448,353,92.3,84.5,83.1,85.7,81.7,70.5,74.1,74.5,65.3,31.2,75.9,78.4,69.9
28,San Francisco 49ers,6-10,331,383,82.8,74.9,72.2,73.1,72.1,67.8,76.1,70.8,74.8,66.4,73.2,64.0,79.8
29,Seattle Seahawks,9-7,366,332,86.4,70.8,74.5,63.2,74.4,68.7,55.3,86.9,79.0,91.7,77.0,92.6,70.2
30,Tampa Bay Buccaneers,5-11,335,382,82.9,76.4,74.2,69.7,82.0,58.5,66.0,74.1,70.4,52.7,66.7,80.4,67.0
31,Tennessee Titans,10-8,370,412,87.7,74.8,69.0,83.3,71.5,73.1,67.3,81.5,90.5,82.5,69.3,73.7,59.2
32,Washington Redskins,7-9,342,388,78.9,69.4,68.7,67.0,73.5,58.3,61.1,77.1,65.7,64.3,77.6,83.9,68.9
