year,team,head_coach,offensive_coordinator,offensive_playcaller,prev_hc_team,prev_oc_team,hc_playcaller,oc_playcaller,hired,oc_hired
2022,CLE,Kevin Stefanski,Alex Van Pelt,Kevin Stefanski,MIN,CIN,true,false,2020,2020
2022,DAL,Mike McCarthy,Kellen Moore,Kellen Moore,GB,DAL,false,true,2020,2019
2022,DEN,Nathaniel Hackett,Justin Outten,Nathaniel Hackett,GB,GB,true,false,2022,2022
2022,DET,Dan Campbell,Ben Johnson,Ben Johnson,NO,DET,false,true,2021,2022
2022,GB,Matt LaFleur,Adam Stenavich,Matt LaFleur,TEN,GB,true,false,2019,2022
2022,HOU,Lovie Smith,Pep Hamilton,Pep Hamilton,HOU,HOU,false,true,2022,2022
2022,IND,Frank Reich,Marcus Brady,Frank Reich,PHI,IND,true,false,2018,2021
2022,JAX,Doug Pederson,Press Taylor,Doug Pederson,PHI,IND,true,false,2022,2022
2022,KC,Andy Reid,Eric Bieniemy,Andy Reid,PHI,KC,true,false,2013,2018
2022,LAC,Brandon Staley,Joe Lombardi,Joe Lombardi,LAR,NO,false,true,2021,2021
2022,LAR,Sean McVay,Liam Coen,Sean McVay,WAS,Kentucky,true,false,2017,2022
2022,LV,Josh McDaniels,Mick Lombardi,Josh McDaniels,NE,NE,true,false,2022,2022
2022,MIA,Mike McDaniel,Frank Smith,Mike McDaniel,SF,LAC,true,false,2022,2022
2022,MIN,Kevin O'Connell,Wes Phillips,Kevin O'Connell,LAR,LAR,true,false,2022,2022
2022,NE,Bill Belichick,NONE,Matt Patricia,NYJ,,false,false,2000,
2022,NO,Dennis Allen,Pete Carmichael Jr.,Pete Carmichael Jr.,NO,NO,false,true,2022,2009
2022,NYG,Brian Daboll,Mike Kafka,Mike Kafka,BUF,KC,false,true,2022,2022
2022,NYJ,Robert Saleh,Mike LaFleur,Mike LaFleur,SF,SF,false,true,2021,2021
2022,PHI,Nick Sirianni,Shane Steichen,Shane Steichen,IND,LAC,false,true,2021,2021
2022,PIT,Mike Tomlin,Matt Canada,Matt Canada,MIN,PIT,false,true,2007,2021
2022,SEA,Pete Carroll,Shane Waldron,Shane Waldron,USC,LAR,false,true,2010,2021
2022,SF,Kyle Shanahan,NONE,Kyle Shanahan,ATL,,true,false,2017,
2022,TB,Todd Bowles,Byron Leftwich,Byron Leftwich,TB,ARI,false,true,2022,2019
2022,TEN,Mike Vrabel,Todd Downing,Todd Downing,HOU,TEN,false,true,2018,2021
2022,WAS,Ron Rivera,Scott Turner,Scott Turner,CAR,CAR,false,true,2020,2020
2023,ARI,Jonathan Gannon,Drew Petzing,Drew Petzing,PHI,CLE,false,true,2023,2023
2023,ATL,Arthur Smith,Dave Ragone,Arthur Smith,TEN,CHI,true,false,2021,2021
2023,BAL,John Harbaugh,Todd Monken,Todd Monken,PHI,Georgia,false,true,2008,2023
2023,BUF,Sean McDermott,Ken Dorsey,Ken Dorsey,CAR,BUF,false,true,2017,2022
2023,CAR,Frank Reich,Thomas Brown,Frank Reich,IND,LAR,true,false,2023,2023
2023,CHI,Matt Eberflus,Luke Getsy,Luke Getsy,IND,GB,false,true,2022,2022
2023,CIN,Zac Taylor,Brian Callahan,Zac Taylor,LAR,LV,true,false,2019,2019
2023,CLE,Kevin Stefanski,Alex Van Pelt,Kevin Stefanski,MIN,CIN,true,false,2020,2020
2023,DAL,Mike McCarthy,Brian Schottenheimer,Mike McCarthy,GB,DAL,true,false,2020,2023
2023,DEN,Sean Payton,Joe Lombardi,Sean Payton,NO,LAC,true,false,2023,2023
2023,DET,Dan Campbell,Ben Johnson,Ben Johnson,NO,DET,false,true,2021,2022
2023,GB,Matt LaFleur,Adam Stenavich,Adam Stenavich,TEN,GB,false,true,2019,2022
2023,HOU,DeMeco Ryans,Bobby Slowik,Bobby Slowik,SF,SF,false,true,2023,2023
2023,IND,Shane Steichen,Jim Bob Cooter,Shane Steichen,PHI,JAX,true,false,2023,2023
2023,JAX,Doug Pederson,Press Taylor,Press Taylor,PHI,IND,false,true,2022,2022
2023,KC,Andy Reid,Matt Nagy,Andy Reid,PHI,KC,true,false,2013,2023
2023,LAC,Brandon Staley,Kellen Moore,Kellen Moore,LAR,DAL,false,true,2021,2023
2023,LAR,Sean McVay,Mike LaFleur,Sean McVay,WAS,NYJ,true,false,2017,2023
2023,LV,Josh McDaniels,Mick Lombardi,Josh McDaniels,NE,NE,true,false,2022,2022
2023,MIA,Mike McDaniel,Frank Smith,Mike McDaniel,SF,LAC,true,false,2022,2022
2023,MIN,Kevin O'Connell,Wes Phillips,Kevin O'Connell,LAR,LAR,true,false,2022,2022
2023,NE,Bill Belichick,Bill O'Brien,Bill O'Brien,NYJ,Alabama,false,true,2000,2023
2023,NO,Dennis Allen,Pete Carmichael Jr.,Pete Carmichael Jr.,NO,NO,false,true,2022,2009
2023,NYG,Brian Daboll,Mike Kafka,Mike Kafka,BUF,KC,false,true,2022,2022
2023,NYJ,Robert Saleh,Nathaniel Hackett,Nathaniel Hackett,SF,DEN,false,true,2021,2023
2023,PHI,Nick Sirianni,Brian Johnson,Brian Johnson,IND,PHI,false,true,2021,2023
2023,PIT,Mike Tomlin,Matt Canada,Matt Canada,MIN,PIT,false,true,2007,2021
2023,SEA,Pete Carroll,Shane Waldron,Shane Waldron,USC,LAR,false,true,2010,2021
2023,SF,Kyle Shanahan,NONE,Kyle Shanahan,ATL,,true,false,2017,
2023,TB,Todd Bowles,Dave Canales,Dave Canales,TB,SEA,false,true,2022,2023
2023,TEN,Mike Vrabel,Tim Kelly,Tim Kelly,HOU,TEN,false,true,2018,2023
2023,WAS,Ron Rivera,Eric Bieniemy,Eric Bieniemy,CAR,KC,false,true,2020,2023
2024,ARI,Jonathan Gannon,Drew Petzing,Drew Petzing,PHI,CLE,false,true,2023,2023
2024,ATL,Raheem Morris,Zac Robinson,Zac Robinson,LAR,LAR,false,true,2024,2024
2024,BAL,John Harbaugh,Todd Monken,Todd Monken,PHI,Georgia,false,true,2008,2023
2024,BUF,Sean McDermott,Joe Brady,Joe Brady,CAR,BUF,false,true,2017,2023
2024,CAR,Dave Canales,Brad Idzik,Dave Canales,TB,TB,true,false,2024,2024
2024,CHI,Matt Eberflus,Shane Waldron,Shane Waldron,IND,SEA,false,true,2022,2024
2024,CIN,Zac Taylor,Dan Pitcher,Zac Taylor,LAR,CIN,true,false,2019,2024
2024,CLE,Kevin Stefanski,Ken Dorsey,Kevin Stefanski,MIN,BUF,true,false,2020,2024
2024,DAL,Mike McCarthy,Brian Schottenheimer,Mike McCarthy,GB,DAL,true,false,2020,2023
2024,DEN,Sean Payton,Joe Lombardi,Sean Payton,NO,LAC,true,false,2023,2023
2024,DET,Dan Campbell,Ben Johnson,Ben Johnson,NO,DET,false,true,2021,2022
2024,GB,Matt LaFleur,Adam Stenavich,Matt LaFleur,TEN,GB,true,false,2019,2022
2024,HOU,DeMeco Ryans,Bobby Slowik,Bobby Slowik,SF,SF,false,true,2023,2023
2024,IND,Shane Steichen,Jim Bob Cooter,Shane Steichen,PHI,JAX,true,false,2023,2023
2024,JAX,Doug Pederson,Press Taylor,Press Taylor,PHI,IND,false,true,2022,2022
2024,KC,Andy Reid,Matt Nagy,Andy Reid,PHI,KC,true,false,2013,2023
