Player,ADP,Rank,August 15 ADP,Rank,Diff
Kerryon Johnson,105.1,RB 43,99.9,RB 37,-5.2
Sterling Shepard,105.6,WR 47,112,WR 48,6.4
Carson Wentz,106.8,QB 9,100.6,QB 9,-6.2
John Brown,108.1,WR 48,103.2,WR 46,-5
Tony Pollard,109.3,RB 44,108.4,RB 42,-0.9
Matthew Stafford,110.1,QB 10,112.1,QB 10,2
Alexander Mattison,111.2,RB 45,112.9,RB 45,1.7
Emmanuel Sanders,115.4,WR 49,114.1,WR 49,-1.4
Mike Gesicki,115.8,TE 9,120.3,TE 12,4.5
Brandon Aiyuk,116.2,WR 50,126.3,WR 54,10.1
Damien Harris,116.5,RB 46,146.2,RB 52,29.7
Anthony Miller,118.3,WR 51,121.2,WR 51,2.9
Jerry Jeudy,118.8,WR 52,126,WR 53,7.1
Rob Gronkowski,119.3,TE 10,107.6,TE 8,-11.7
Drew Brees,119.5,QB 11,115.2,QB 11,-4.3
Tom Brady,119.8,QB 12,117.4,QB 12,-2.4
Curtis Samuel,120.6,WR 53,122.8,WR 52,2.2
T.J. Hockenson,120.8,TE 11,125.8,TE 13,5
Jared Cook,122.8,TE 12,113,TE 11,-9.8
Preston Williams,123.7,WR 54,136,WR 57,12.3
Boston Scott,124.8,RB 47,132,RB 51,7.2
Cam Newton,126.3,QB 13,129.9,QB 13,3.6
Hunter Henry,126.4,TE 13,109.2,TE 10,-17.2
Duke Johnson,128.6,RB 48,127.7,RB 49,-0.9
Golden Tate,129,WR 55,133.4,WR 56,4.4
Noah Fant,130.4,TE 14,126.9,TE 14,-3.5
Sammy Watkins,130.8,WR 56,128.5,WR 55,-2.3
Mike Williams,135,WR 57,108.1,WR 47,-27
Allen Lazard,135.1,WR 58,143.8,WR 59,8.7
Aaron Rodgers,136.3,QB 14,130.9,QB 14,-5.4
Daniel Jones,137.3,QB 15,133.9,QB 15,-3.4
Jonnu Smith,137.3,TE 15,137.9,TE 16,0.6
Blake Jarwin,139.5,TE 16,145,TE 18,5.5
Austin Hooper,140.9,TE 17,131.6,TE 15,-9.3
Christopher Herndon,141.1,TE 18,158.9,TE 21,17.8
Darrell Henderson,142.9,RB 49,120.1,RB 48,-22.8
Ben Roethlisberger,143.1,QB 16,142.1,QB 16,-1
Sony Michel,143.5,RB 50,105.7,RB 40,-37.8
Parris Campbell,145.1,WR 59,157.2,WR 64,12.2
N'Keal Harry,146.6,WR 60,137.4,WR 58,-9.2
Jared Goff,147.3,QB 17,149.6,QB 18,2.3
A.J. Dillon,148.9,RB 51,155.7,RB 54,6.7
Laviska Shenault,149.2,WR 61,172.4,WR 66,23.2
Jerick McKinnon,149.4,RB 52,175.6,RB 57,26.2
Dallas Goedert,149.4,TE 19,139.2,TE 17,-10.2
Justin Jefferson,150.4,WR 62,145.7,WR 61,-4.7
Breshad Perriman,151.5,WR 63,153.4,WR 63,1.9
Robby Anderson,151.5,WR 64,145.1,WR 60,-6.4
Joe Burrow,151.9,QB 18,152.2,QB 19,0.3
Baker Mayfield,154.2,QB 19,146.5,QB 17,-7.7
Chris Thompson,156.5,RB 53,198.9,RB 65,42.5
Michael Pittman,156.8,WR 65,152.3,WR 62,-4.5
Ke'Shawn Vaughn,159.7,RB 54,108.3,RB 41,-51.4
Jimmy Garoppolo,161.8,QB 20,157.8,QB 20,-4
Eric Ebron,162.3,TE 20,157.9,TE 20,-4.4
Bryan Edwards,162.5,WR 66,206.4,WR 84,43.9
Ian Thomas,162.8,TE 21,154.7,TE 19,-8.1
Randall Cobb,163.8,WR 67,176.4,WR 69,12.6
Gardner Minshew,163.8,QB 21,167.8,QB 23,3.9
Teddy Bridgewater,165.2,QB 22,162.2,QB 22,-3
Adrian Peterson,166.6,RB 55,177,RB 58,10.5
DeAndre Washington,167.2,RB 56,150,RB 53,-17.2
Ryan Tannehill,167.4,QB 23,160.6,QB 21,-6.9
Irv Smith,169.2,TE 22,169.2,TE 23,0.1
James Washington,169.6,WR 68,172.6,WR 67,3
Joshua Kelley,170,RB 57,179.8,RB 59,9.9
Nyheim Hines,170.5,RB 58,183,RB 62,12.6
Jack Doyle,171.6,TE 23,165.3,TE 22,-6.3
Bryce Love,172.9,RB 59,205.4,RB 67,32.5
Justin Jackson,173.9,RB 60,165.4,RB 55,-8.5
Darrel Williams,176.2,RB 61,215,RB 80,38.8
Ryquell Armstead,176.8,RB 62,196.5,RB 63,19.7
Steven Sims,177.2,WR 69,181.5,WR 72,4.4
Kirk Cousins,177.8,QB 24,174,QB 24,-3.8
Larry Fitzgerald,178.6,WR 70,182.1,WR 73,3.4
John Ross,179.5,WR 71,171.7,WR 65,-7.8
Drew Lock,180.2,QB 25,179.4,QB 25,-0.8
Hunter Renfrow,181.5,WR 72,173.1,WR 68,-8.5
O.J. Howard,184.2,TE 24,197,TE 27,12.8
Philip Rivers,184.8,QB 26,182.7,QB 26,-2.1
Kendrick Bourne,186.5,WR 73,214.5,WR 96,28
Darrynton Evans,188,RB 63,168.8,RB 56,-19.3
Dede Westbrook,190.8,WR 74,185.8,WR 75,-5.1
Derek Carr,190.9,QB 27,193.2,QB 28,2.3
Gerald Everett,191.4,TE 25,189.9,TE 26,-1.4
Benny Snell,191.7,RB 64,214.5,RB 78,22.8
Corey Davis,194.2,WR 75,194.4,WR 77,0.2
Carlos Hyde,194.9,RB 65,201.6,RB 66,6.8
Devine Ozigbo,195,RB 66,,,
Sam Darnold,195.9,QB 28,192.8,QB 27,-3.1
Tre'Quan Smith,196.4,WR 76,211.7,WR 88,15.4
Josh Reynolds,197.1,WR 77,201.1,WR 80,4
Anthony McFarland,198.9,RB 67,182.1,RB 61,-16.8
Alshon Jeffery,200.5,WR 78,190.9,WR 76,-9.5
Greg Olsen,201.1,TE 26,189.2,TE 25,-11.9
Miles Boykin,201.5,WR 79,207.7,WR 86,6.2
Russell Gage,201.5,WR 80,202.1,WR 82,0.6
Dawson Knox,202.8,TE 27,198.4,TE 28,-4.4
Tyrod Taylor,203.4,QB 29,206.5,QB 30,3.1
Tyler Eifert,204,TE 28,210.9,TE 30,6.9
Denzel Mims,204.2,WR 81,182.8,WR 74,-21.4
Brian Hill,204.3,RB 68,212.2,RB 74,7.8
Mohamed Sanu,204.7,WR 82,197.6,WR 79,-7.1
Jace Sternberger,204.9,TE 29,186.8,TE 24,-18.1
Chase Claypool,206.1,WR 83,214.4,WR 95,8.3
Tee Higgins,206.5,WR 84,201.5,WR 81,-5
Andy Isabella,207,WR 85,209,WR 87,2.1
Dwayne Haskins,207.1,QB 30,206.4,QB 29,-0.7
Malcolm Brown,207.2,RB 69,214.8,RB 79,7.6
Devonta Freeman,207.5,RB 70,181.6,RB 60,-25.9
Cole Beasley,207.7,WR 86,207.3,WR 85,-0.3
Dan Arnold,208.1,TE 30,214.8,TE 35,6.8
Antonio Brown,208.9,WR 87,178.9,WR 71,-30.1
Kenny Stills,209.1,WR 88,203.4,WR 83,-5.7
Marquez Valdes-Scantling,210,WR 89,214.8,WR 97,4.8
Van Jefferson,210,WR 90,215.8,WR 106,5.8
Will Dissly,210.3,TE 31,212,TE 31,1.7
Giovani Bernard,210.6,RB 71,210.4,RB 71,-0.2
Tua Tagovailoa,210.7,QB 31,209.1,QB 31,-1.6
Auden Tate,210.8,WR 91,216,WR 122,5.2
LeSean McCoy,211.1,RB 72,197,RB 64,-14.1
Derrius Guice,211.5,RB 73,114.6,RB 46,-96.9
Logan Thomas,212.1,TE 32,215.8,TE 41,3.7
Ryan Fitzpatrick,212.2,QB 32,212.2,QB 32,0.1
Demarcus Robinson,212.6,WR 92,213.8,WR 92,1.3
Scott Miller,212.7,WR 93,215.8,WR 109,3.2
Olabisi Johnson,212.9,WR 94,215.8,WR 105,2.9
Lynn Bowden,213,RB 74,210.7,RB 72,-2.2
Jimmy Graham,213.2,TE 33,215,TE 36,1.9
Jamaal Williams,213.3,RB 75,209.1,RB 70,-4.2
J.J. Arcega-Whiteside,213.3,WR 95,214.3,WR 94,1
Danny Amendola,213.6,WR 96,213.4,WR 91,-0.2
Kyle Rudolph,213.6,TE 34,210.6,TE 29,-3
Frank Gore,213.7,RB 76,216,RB 98,2.2
Darren Fells,214.1,TE 35,214,TE 33,-0.1
Tyrell Williams,214.2,WR 97,194.5,WR 78,-19.7
Ito Smith,214.3,RB 77,212,RB 73,-2.3
Cordarrelle Patterson,214.4,WR 98,216,WR 129,1.6
Rashaad Penny,214.4,RB 78,205.5,RB 68,-8.9
Darwin Thompson,214.4,RB 79,212.9,RB 76,-1.6
Greg Ward,214.5,WR 99,215.8,WR 104,1.3
Josh Gordon,214.5,WR 100,214.3,WR 93,-0.2
Trent Taylor,214.5,WR 101,215.7,WR 102,1.2
DeeJay Dallas,214.6,RB 80,215.6,RB 85,1
Dare Ogunbowale,214.6,RB 81,212.7,RB 75,-1.9
Rex Burkhead,214.6,RB 82,213.1,RB 77,-1.5
K.J. Hamler,214.6,WR 102,211.9,WR 89,-2.7
Nick Foles,214.8,QB 33,214.5,QB 33,-0.3
Chris Conley,215,WR 103,215.4,WR 101,0.5
Lamar Miller,215,RB 83,207.5,RB 69,-7.5
David Njoku,215.2,TE 36,213.1,TE 32,-2.1
Devin Asiasi,215.2,TE 37,215.2,TE 37,0.1
C.J. Uzomah,215.2,TE 38,214.2,TE 34,-1
Mitchell Trubisky,215.2,QB 34,215,QB 34,-0.3
J.D. McKissic,215.3,RB 84,215.8,RB 88,0.5
Antonio Gandy-Golden,215.3,WR 104,213.3,WR 90,-2
Eno Benjamin,215.3,RB 85,215.5,RB 84,0.2
Dante Pettis,215.4,WR 105,215.9,WR 112,0.5
Trey Burton,215.4,TE 39,215.8,TE 40,0.4
Devin Duvernay,215.5,WR 106,215.4,WR 99,-0.1
Mike Davis,215.5,RB 86,215.9,RB 97,0.4
Phillip Dorsett,215.6,WR 107,215.7,WR 103,0.2
Jordan Akins,215.6,TE 40,215.8,TE 42,0.2
Jaylen Samuels,215.6,RB 87,215,RB 81,-0.6
Robert Tonyan,215.6,TE 41,,,
Justin Herbert,215.6,QB 35,215.5,QB 35,-0.1
Reggie Bonnafon,215.7,RB 88,215.1,RB 82,-0.6
Adam Humphries,215.7,WR 108,215.3,WR 98,-0.4
Jakeem Grant,215.7,WR 109,215.4,WR 100,-0.3
Trayveon Williams,215.7,RB 89,216,RB 99,0.3
Peyton Barber,215.7,RB 90,215.5,RB 83,-0.3
Jordan Reed,215.7,TE 42,215.8,TE 39,0
Ty Montgomery,215.7,RB 91,,,
Gus Edwards,215.7,RB 92,215.9,RB 94,0.2
Jalen Richard,215.8,RB 93,215.8,RB 86,-0.1
Mike Boone,215.8,RB 94,215.9,RB 93,0.1
Taysom Hill,215.8,QB 36,215.8,QB 36,-0.1
Cole Kmet,215.8,TE 43,215.9,TE 43,0.1
Royce Freeman,215.9,RB 95,215.8,RB 87,-0.1
Equanimeous St. Brown,215.9,WR 110,215.8,WR 107,0
Jameis Winston,215.9,QB 37,215.9,QB 37,0
Dion Lewis,215.9,RB 96,215.9,RB 91,0
John Hightower,215.9,WR 111,,,
Zach Pascal,215.9,WR 112,215.9,WR 111,0
Keke Coutee,215.9,WR 113,215.8,WR 108,0
Quintez Cephus,215.9,WR 114,216,WR 127,0.1
Justin Watson,215.9,WR 115,216,WR 117,0.1
La'Mical Perine,215.9,RB 97,215.8,RB 90,-0.1
Nelson Agholor,215.9,WR 116,216,WR 125,0.1
Rashard Higgins,215.9,WR 117,215.9,WR 114,0
Damiere Byrd,215.9,WR 118,216,WR 130,0.1
Gunner Olszewski,215.9,WR 119,,,
Willie Snead,215.9,WR 120,216,WR 119,0
Corey Clement,215.9,RB 98,216,RB 103,0.1
Jalen Hurts,215.9,QB 38,215.9,QB 38,0
Adam Trautman,215.9,TE 44,215.9,TE 45,0
Nick Boyle,215.9,TE 45,215.9,TE 44,0
Joe Reed,215.9,WR 121,216,WR 124,0
Jakobi Meyers,215.9,WR 122,215.9,WR 110,-0.1
Wayne Gallman,215.9,RB 99,215.9,RB 95,0
John Kelly,215.9,RB 100,215.9,RB 96,0
Vance McDonald,216,TE 46,215.7,TE 38,-0.3
Ryan Nall,216,RB 101,,,
Jeffery Wilson,216,RB 102,215.9,RB 92,-0.1
Jalen Guyton,216,WR 123,,,
Harrison Bryant,216,TE 47,,,
Alex Smith,216,QB 39,216,QB 43,0
Jason Witten,216,TE 48,216,TE 51,0
David Moore,216,WR 124,216,WR 128,0
Justice Hill,216,RB 103,215.8,RB 89,-0.1
Kaden Smith,216,TE 49,216,TE 49,0
Kahale Warring,216,TE 50,215.9,TE 47,0
Qadree Ollison,216,RB 104,216,RB 104,0
K.J. Hill,216,WR 126,,,
Tyler Johnson,216,WR 125,216,WR 120,0
Dwayne Washington,216,RB 105,216,RB 100,0
Albert Okwuegbunam,216,TE 51,216,TE 53,0
Maxx Williams,216,TE 52,,,
Kyle Juszczyk,216,RB 106,216,RB 101,0
Cameron Brate,216,TE 53,216,TE 58,0
Riley Ridley,216,WR 128,216,WR 121,0
Keelan Cole,216,WR 127,216,WR 134,0
Ted Ginn,216,WR 129,216,WR 126,0
Jarrett Stidham,216,QB 40,215.9,QB 40,0
Ryan Griffin,216,TE 54,216,TE 52,0
Kalen Ballage,216,RB 107,,,
Andy Dalton,216,QB 41,216,QB 41,0
Paul Richardson,216,WR 130,,,
Jake Kumerow,216,WR 131,216,WR 116,0
Rodney Anderson,216,RB 108,216,RB 102,0
Bo Scarbrough,216,RB 109,,,
Tim Patrick,216,WR 132,,,
Foster Moreau,216,TE 55,215.9,TE 48,0
Dontrelle Inman,216,WR 133,,,
Case Keenum,216,QB 42,,,
D'Ernest Johnson,216,RB 110,,,
Myles Gaskin,216,RB 111,,,
Donovan Peoples-Jones,216,WR 134,216,WR 131,0
Ty Johnson,216,RB 112,,,
Olamide Zaccheaus,216,WR 135,,,
Matt Schaub,216,QB 43,,,
Isaiah Ford,216,WR 136,215.9,WR 113,-0.1
Dalton Keene,216,TE 56,216,TE 50,0
Kalif Raymond,216,WR 137,,,
Collin Johnson,216,WR 138,,,
Seth Roberts,216,WR 139,,,
Cedrick Wilson,216,WR 140,,,
Thaddeus Moss,216,TE 57,,,
Robert Foster,216,WR 142,,,
Tajae Sharpe,216,WR 141,216,WR 123,0
Josiah Deguara,216,TE 61,,,
Mo Alie-Cox,216,TE 59,,,
