player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,Rank,ADP,Diff,Finish2024,PosRank,fantasyPts,ptsPerSnap,ptsPerTouch
Mike Evans,8642,WR,TB,15,12.5,5,71.1,63.2,12,19,0,4.7,4,0.26,60,30,0,79.1,82.1,90.4,,90.2,0,0,5,57,0,0,463,0,57,81,94,435,34.3,159,118.2,114,12,65.7,304,1096,253,3.1,13.5,2.52,34,33.3,-0.02,17,14,84.8,0.24,2.83
Xavier Worthy,144718,WR,KC,20,9.2,8,68.4,38.5,5,13,0,7.1,6,0.16,49,16,0,67.1,83.8,71.8,,71.6,0.5,3,2,54,0,0,655,3,53.1,78,93.7,614,36.3,238,111.9,114,9,61.8,405,925,526,6.7,11.9,1.51,37,40.4,0.08,47,17,109.9,0.17,2.07
Calvin Ridley,48262,WR,TEN,17,16,7,56.6,45.8,11,24,1,11.1,8,-0.16,40,31,0,48.9,49.2,73.1,,74.7,0,0,4,63,0,0,583,2,40.7,64,93.7,546,21.6,126,83.8,113,4,78.2,456,1017,234,3.7,15.9,1.86,50,51.6,0.03,88,25,47.3,0.19,2.78
Zach Ertz,7816,TE,WAS,20,7.8,3,75.7,64.7,11,17,0,5.6,5,0.21,51,32,1,76.5,54.5,67,64.7,72.5,32.1,214,2,37,2.2,15,667,6,53.5,84,92.2,615,56.8,379,112,111,8,9.7,65,809,237,2.8,9.6,1.32,180,163.3,-0.1,110,25,124.4,0.23,2.49
Jauan Jennings,48027,WR,SF,15,10.5,12,69.4,62.5,20,32,3,4.9,4,0.04,47,28,1,77.1,50.8,83.1,74.8,83.7,0,0,3,45,0.4,2,459,6,48.4,77,94.1,432,41.6,191,103.2,111,6,58.4,268,975,239,3.1,12.7,2.26,66,75.7,0.13,53,37,173.3,0.22,3.15
Michael Pittman,29049,WR,IND,16,10.9,5,65.1,53.6,15,28,0,4.2,3,-0.05,35,14,1,80.3,47.2,72.2,67,72.6,0.2,1,4,33,0.4,2,511,4,40,69,94.1,481,24.9,127,81.8,106,3,75,383,808,261,3.8,11.7,1.68,93,92.3,-0.01,122,47,200.4,0.22,2.5
Tee Higgins,61211,WR,CIN,12,11.2,14,70.2,46.7,14,30,0,2.7,2,0.21,48,7,1,87.3,48.5,88.2,,88.3,0.2,1,1,42,0,0,476,3,56.4,73,93.5,445,20,95,125.1,104,10,79.8,380,911,224,3.1,12.5,2.05,18,25.2,0.29,12,11,209.6,0.27,3.55
Josh Downs,122832,WR,IND,14,6.7,7,70.6,46.7,7,15,0,5.3,4,-0.02,40,14,0,76.3,86.2,84.8,64.5,85.1,0.3,1,3,69,0.3,1,386,2,41.5,72,94.6,365,84.5,326,97.8,102,5,14,54,803,403,5.6,11.2,2.2,67,85.3,0.21,67,38,138.4,0.23,2.31
DeVonta Smith,61100,WR,PHI,17,9.7,10,83.2,43.8,7,16,0,4.5,4,0.18,49,24,0,79.8,82.3,81.2,,83.5,0.4,2,3,49,0,0,535,4,50.2,84,94.2,504,55.7,298,126.2,101,9,43.9,235,1023,359,4.3,12.2,2.03,55,51.5,-0.07,48,29,201.8,0.23,2.62
Darnell Mooney,48236,WR,ATL,16,12.8,7,64,39.1,9,23,0,7.2,5,0.02,48,2,0,66,80.9,74,,74.6,0,0,3,49,0,0,566,2,48.3,64,93.1,527,40.3,228,100.9,100,5,58.1,329,992,268,4.2,15.5,1.88,82,105.7,0.22,71,44,82.3,0.11,2.57
Jordan Addison,123000,WR,MIN,16,14.1,5,66,54.5,12,22,0,5.7,4,0.06,41,18,0,74,81.5,72.9,67.4,73.6,0.2,1,3,69,0.2,1,603,4,49.7,66,91.5,552,30,181,112.2,100,9,69.3,418,904,223,3.4,13.7,1.64,83,74.9,-0.11,43,45,135.1,0.19,3.07
Rome Odunze,73774,WR,CHI,17,14.2,4,56.3,72.2,13,18,0,8.5,5,-0.07,37,6,2,61.7,25.7,63.8,76.6,65.3,0,0,1,47,0.4,3,679,1,41.6,54,91.9,624,35.3,240,86.9,96,3,64.4,437,734,261,4.8,13.6,1.18,68,63.5,-0.07,145,39,146.1,0.2,3.32
Quentin Johnston,123085,WR,LAC,16,12.2,13,59.1,30.4,7,23,0,9.8,6,0.08,32,27,0,48.2,80.5,67.4,,68.2,0,0,2,66,0,0,464,1,45.1,55,93.8,435,11.9,55,102.9,93,8,88.1,409,711,313,5.7,12.9,1.63,188,189,0.01,76,73,173.2,0.24,3.27
Jameson Williams,101701,WR,DET,16,12.4,3,64.1,46.2,6,13,0,3.3,2,0.23,43,11,0,77,82.3,74.5,,75.1,0,0,4,82,0,0,535,4,52.6,59,96.8,518,35.1,188,109,92,7,64.9,347,1020,490,8.3,17.3,1.97,64,45.8,-0.4,51,35,219.9,0.22,3.1
George Kittle,11901,TE,SF,15,8.9,7,84.8,70.6,12,17,0,2.5,2,0.07,50,28,0,89.8,82.1,92.1,62.8,92.4,57,285,2,43,11.6,58,500,4,49.3,78,84.4,422,30.8,154,136.7,92,8,10,50,1106,512,6.6,14.2,2.62,31,35.8,0.13,36,3,161.5,0.29,2.78
Hunter Henry,10669,TE,NE,16,7.9,2,74.2,52.4,11,21,1,1.5,1,-0.09,40,19,0,90.3,81.1,70,58.3,73.4,40.5,225,1,35,5.2,29,556,5,44.8,66,87.2,485,51.8,288,98.2,89,2,6.3,35,674,274,4.2,10.2,1.39,174,159.8,-0.09,158,19,178.8,0.21,2.98
Cade Otton,61071,TE,TB,15,5.8,12,70.9,58.8,10,17,0,10.3,7,0.15,33,30,2,52.4,25.9,64.1,62,63.1,50.4,289,3,44,10.5,60,573,4,52.2,61,84.3,483,33.3,191,92.8,86,4,16.2,93,632,331,5.4,10.4,1.31,214,176.2,-0.21,120,30,122.2,0.12,2.07
Sam LaPorta,101690,TE,DET,17,7.6,9,77.6,70,7,10,0,1.5,1,0.19,42,11,0,90.2,80.9,73.6,57.7,79.1,50.3,282,2,52,8.7,49,561,2,52.5,66,88.6,497,26.7,150,126.3,85,8,20.3,114,777,368,5.6,11.8,1.56,79,76.7,-0.03,103,5,106.9,0.21,2.67
Demario Douglas,104155,WR,NE,17,5.9,7,78.6,40,2,5,0,1.5,1,-0.09,31,19,1,90.4,48.6,70,67.4,69.5,0,0,2,36,0.2,1,480,2,44.9,66,92.1,442,79,379,99.5,84,3,20.4,98,621,370,5.6,9.4,1.4,154,147.9,-0.04,170,69,95.8,0.33,2.52
Jaylen Waddle,84088,WR,MIA,15,9.8,3,69.9,50,2,4,0,9.4,6,0.05,38,17,0,57.2,80.8,72.1,,71.5,0.2,1,3,63,0,0,514,0,48.6,58,94.6,486,27.8,143,90.6,83,2,71.8,369,744,238,4.1,12.8,1.53,51,55,0.07,136,26,193.8,0.27,2.94
Mike Gesicki,47153,TE,CIN,17,7.8,4,79.3,56.3,9,16,0,3,2,0.18,38,7,1,78.3,45.6,71.5,56,71.1,8.4,38,0,47,2.4,11,450,1,52.7,65,93.3,420,68.2,307,108.6,82,2,23.1,104,665,245,3.8,10.2,1.58,215,195,-0.1,132,31,70.7,0.22,2.52
Dalton Kincaid,91791,TE,BUF,16,8.9,8,61.7,33.3,2,6,0,7.4,4,0.24,25,4,1,65,50.1,71.5,69.8,71.1,26.8,99,0,35,2.2,8,369,1,50,50,91.1,336,56.4,208,88.5,81,2,15.7,58,519,309,6.2,10.4,1.54,115,131.7,0.13,258,12,126.1,0.42,3.23
Xavier Legette,99197,WR,CAR,16,12.6,7,60.5,52.2,12,23,0,14,8,-0.14,27,5,0,36.5,81.2,59.1,46.2,59.1,0,0,1,35,0.5,2,441,0,40.8,49,94.6,417,30.8,136,89.4,81,4,69.2,305,497,112,2.3,10.1,1.19,147,164.5,0.11,179,64,89.3,0.14,2.48
Jake Ferguson,61081,TE,DAL,14,4.4,15,72.8,50,6,12,1,3.3,2,-0.17,18,9,4,82.4,19.2,54.5,49.7,56.6,30.4,132,0,27,4.6,20,434,9,41.5,59,89.6,389,59.4,258,88.2,81,0,8.5,37,494,328,5.6,8.4,1.27,135,136.4,0.01,228,15,190.1,0.24,2.29
Ray-Ray McCloud III,47895,WR,ATL,17,7,8,76.5,47.1,8,17,0,4.6,3,0.04,29,2,3,77.9,22.1,62.7,80.1,62.8,0,0,3,60,2.2,13,599,3,48.5,62,91.3,547,44.9,269,89.8,81,1,54.9,329,686,342,5.5,11.1,1.25,238,213.7,-0.11,211,92,,,
Dontayvion Wicks,99711,WR,GB,18,12.7,8,51.3,25,4,16,0,18,9,-0.01,27,12,0,29.1,78.1,65.1,,63.8,1.4,5,3,36,0,0,345,2,44.9,41,93,321,35.9,124,73.6,80,5,62.6,216,454,151,3.7,11.1,1.41,252,215.6,-0.17,178,103,75.8,0.19,2.45
Jayden Reed,78171,WR,GB,18,8.5,9,74.7,69.2,9,13,0,14.5,10,0.12,32,12,0,33.3,51.7,71.7,66.2,71.6,0.7,3,0,70,0.2,1,443,0,47.3,59,92.8,411,76.3,338,137.3,79,6,20.1,89,903,410,6.9,15.3,2.2,98,82.5,-0.19,83,48,48.5,0.29,2.2
Tre Tucker,101106,WR,LV,17,12.4,4,60.3,53.3,8,15,0,4.1,2,-0.08,24,23,0,78.7,83.7,57.5,66.2,58,0,0,1,58,0.1,1,683,1,44.6,47,93.7,640,24.7,169,88.6,78,3,75.3,514,539,209,4.4,11.5,0.84,203,211.8,0.04,154,76,161.7,0.17,2.38
Pat Freiermuth,84085,TE,PIT,18,6.2,5,87.2,85.7,6,7,0,6.8,5,0.01,32,25,3,67.9,26.8,67.2,52.6,70,29.4,152,1,30,4.1,21,517,1,42.4,68,90.9,470,53.8,278,126.9,78,7,16.6,86,668,286,4.2,9.8,1.42,257,213.6,-0.2,140,39,113.6,0.22,2.77
Jalen Tolbert,61637,WR,DAL,17,12.3,3,66.2,52.4,11,21,0,7.5,4,-0.19,29,9,0,65,79.6,60.7,,62.8,0,0,2,48,0,0,597,4,40.3,49,92.6,553,30,179,111.9,74,7,70,418,610,175,3.6,12.4,1.1,261,215.8,-0.21,155,105,44.3,0.1,2.46
Romeo Doubs,84329,WR,GB,14,12.1,4,66.7,66.7,12,18,0,9.4,5,0.13,34,12,0,56.7,79.1,69.7,,71,0,0,2,39,0,0,406,3,49.1,48,93.3,379,13.3,54,100.1,72,4,86.7,352,614,144,3,12.8,1.62,142,151.3,0.06,137,61,163.4,0.21,2.97
Dallas Goedert,47272,TE,PHI,14,6.7,7,83.1,50,3,6,1,4.8,3,0.17,29,24,2,76.2,26.5,72.6,62.6,75.8,43.6,156,1,61,2.8,10,358,3,50.6,59,91.1,326,43.9,157,116.6,71,3,11.7,42,711,390,6.6,12.1,2.18,134,141.4,0.05,123,14,185.1,0.24,3.08
Kyle Pitts,83964,TE,ATL,17,8.7,9,67.1,25,4,16,0,7.8,4,0.03,21,2,0,65.4,79.7,59.6,35.5,63.9,38.2,195,4,52,4.7,24,511,4,49,47,88.5,452,41.3,211,89.1,70,4,20.5,105,602,272,5.8,12.8,1.33,145,138.7,-0.05,152,16,210.8,0.22,2.4
Darius Slayton,25578,WR,NYG,16,13.7,6,55.7,60,12,20,0,15.2,7,-0.14,30,21,0,29.9,79.3,59,74.3,59.9,0,0,2,43,0.5,3,575,5,42.7,39,92.3,531,20.7,119,80.2,70,2,79.3,456,573,135,3.5,14.7,1.08,143,191.4,0.25,167,62,96.8,0.13,2.62
Tucker Kraft,104034,TE,GB,18,4.7,15,78.6,57.1,4,7,0,3.5,2,0.06,31,12,1,82.4,26.5,67.8,61,71,53.8,291,2,67,5.2,28,541,4,47.5,55,87.6,474,32.3,175,131.7,70,7,13.3,72,733,486,8.8,13.3,1.55,90,114,0.21,118,8,117.2,0.27,3.55
Kayshon Boutte,124087,WR,NE,15,14.5,5,64.2,75,9,12,1,10.4,5,0.01,25,19,0,47.6,78.8,61.4,,62.5,0.8,4,2,48,0,0,507,3,48.3,43,91.9,466,13.6,69,94.7,67,3,85.6,434,589,152,3.5,13.7,1.26,245,215.5,-0.14,,98,124.1,0.2,3.76
Alec Pierce,78038,WR,IND,16,22.8,0,56.1,47.6,10,21,0,7.5,3,-0.01,32,14,0,57.8,78,74.3,68.1,75.3,0,0,5,65,0.2,1,485,1,42.4,37,93.2,452,17.1,83,104.6,66,7,82.9,402,824,118,3.2,22.3,1.82,206,202.1,-0.02,84,79,183.3,0.23,3.9
Juwan Johnson,28305,TE,NO,17,8.2,6,78.1,66.7,8,12,0,3.8,2,-0.19,27,20,2,74.1,25.1,66.7,20,71.3,40.8,191,1,30,5.6,26,468,3,38,50,87.6,410,42.3,198,111.5,64,3,16.7,78,548,221,4.4,11,1.34,200,213.2,0.06,210,28,183.9,0.22,2.39
Keon Coleman,144949,WR,BUF,16,15.4,4,50,36.8,7,19,2,13.5,5,0.17,22,4,0,48.3,77.7,68.3,,68.8,0,0,2,64,0,0,405,5,45.8,32,92.1,373,11.9,48,89.2,64,4,87.9,356,578,226,7.1,18.1,1.55,99,88,-0.13,169,49,102.4,0.18,2.69
TJ Hockenson,40912,TE,MIN,11,9,4,71.9,64.7,11,17,0,4.2,2,0.03,33,18,0,77.3,78.9,74.8,62,78.9,56,205,2,34,2.2,8,366,0,48.4,46,91,333,30.1,110,88,64,1,13.9,51,519,180,3.9,11.3,1.56,89,86.2,-0.03,153,7,112.8,0.16,2.17
Jalen McMillan,131905,WR,TB,14,12.8,1,62.9,25,3,12,1,11.4,5,0.18,25,30,0,50.9,80.6,60.8,69,62.8,0,0,6,33,0.2,1,437,5,56,39,94.5,413,26.3,115,88.2,62,8,72.1,315,502,140,3.6,12.9,1.22,251,210.7,-0.19,79,102,29.9,0.22,2.3
Tutu Atwell,77965,WR,LA,18,12.2,1,69.4,25,2,8,0,6.5,3,0,30,26,0,67.4,79.1,72.7,,73.9,0,0,2,50,0,0,277,1,50.4,43,93.5,259,36.1,100,85.4,62,0,63.9,177,580,124,2.9,13.5,2.24,246,215.4,-0.14,253,99,31.2,0.17,5.2
Chris Godwin,11839,WR,TB,7,5.6,9,83.3,50,4,8,0,0,0,0.12,32,30,1,90.5,38.3,86.3,71.5,85.7,0,0,1,55,2.6,7,265,0,53,50,92.1,244,61.9,164,127.5,60,5,38.1,101,576,347,6.9,11.5,2.36,124,100,-0.24,13,58,81,0.19,2.45
Andrei Iosivas,109811,WR,CIN,17,11.7,0,61,58.3,7,12,0,10,4,0.13,26,7,0,55.1,77.6,52.7,65.7,54.3,0,0,1,39,0.2,1,620,2,52.2,36,92.4,573,52.4,325,113.6,59,6,47.6,295,479,75,2.1,13.3,0.84,219,207.1,-0.06,185,84,89.9,0.11,2.5
Calvin Austin III,61418,WR,PIT,18,13.6,2,63.8,63.6,7,11,0,5.1,2,-0.03,19,25,0,72.6,61.9,63.8,,64.6,0,0,0,55,0,0,423,1,41.9,37,96,406,62.6,265,119.4,58,4,37.4,158,573,153,4.1,15.5,1.41,224,215.1,-0.04,163,89,86.2,0.19,2.78
Cole Kmet,60995,TE,CHI,17,7.1,3,85.5,87.5,7,8,0,2.1,1,-0.05,25,6,0,78.7,79.2,60.6,72.4,58.6,33.1,215,1,31,12,78,649,4,43,47,80.6,523,54.1,351,119.2,55,4,10.9,71,474,187,4,10.1,0.91,258,215.4,-0.2,133,40,76.7,0.1,2.56
Noah Brown,11993,WR,WAS,11,11.8,2,64.8,42.9,6,14,0,5.4,2,0.21,21,32,0,71.4,77.4,70.7,,70.2,0,0,1,52,0,0,295,0,54.3,35,94.2,278,19,56,89.5,54,1,81,239,453,88,2.5,12.9,1.63,260,215.7,-0.21,,104,13.3,0.13,2.66
Brenton Strange,101694,TE,JAX,17,7.4,9,74.1,45.5,5,11,1,4.8,2,0.06,21,15,1,75.5,30.4,66,53.6,68.2,39.4,130,0,30,12.1,40,330,3,47.8,40,83.6,276,43.3,143,107.9,54,2,14.2,47,411,189,4.7,10.3,1.49,179,154.2,-0.16,242,24,118,0.2,2.57
Marvin Mims,122937,WR,DEN,18,7.3,7,75.9,25,1,4,0,4.7,2,0.23,15,10,1,75.3,70.5,68.6,70.7,72.8,0.4,1,2,93,0.4,1,228,0,48.6,41,95.2,217,36.4,83,126.7,54,6,50,114,515,483,11.8,12.6,2.37,118,118.6,0.01,107,54,89,0.24,1.82
Troy Franklin,146567,WR,DEN,17,14.5,3,57.7,16.7,1,6,1,11.8,4,0.03,13,10,0,49.6,77.2,54.3,,55.8,0,0,1,43,0,0,297,4,44.8,30,93.9,279,33,98,86.8,52,3,67,199,317,159,5.3,10.6,1.14,205,190.8,-0.07,,78,173.1,0.26,2.47
Noah Gray,60878,TE,KC,20,6.6,3,84.6,100,6,6,0,0,0,0.07,25,16,0,90.3,79.2,71.3,71.4,73.2,57,235,2,35,9,37,412,2,52.2,44,85,350,26.9,111,118.9,52,5,12.1,50,452,210,4.8,10.3,1.29,244,215.2,-0.13,174,34,38.8,0.07,1.85
Christian Watson,66581,WR,GB,15,18.7,1,56.9,66.7,10,15,0,6.5,2,0.21,21,12,1,67.3,28.6,70,66.2,72.2,0.7,2,2,60,0.3,1,295,2,50.9,29,92.9,274,32.5,96,96.9,51,2,66.8,197,620,155,5.3,21.4,2.26,265,215.4,-0.23,,109,132.4,0.32,3.68
Adonai Mitchell,146712,WR,IND,17,14.7,1,45.1,0,0,5,0,14.8,4,-0.23,16,14,2,41.4,20.3,57.9,,61.4,0,0,0,36,0,0,221,1,37,23,93.2,206,23.5,52,65.2,51,0,76.5,169,312,104,4.5,13.6,1.51,220,208.1,-0.06,289,85,,,
KaVontae Turpin,47658,WR,DAL,17,9.5,4,64.6,16.7,1,6,1,11.4,4,-0.01,18,9,1,50.6,29.8,71.2,,70,0,0,2,64,0,0,216,1,46.1,31,94.4,204,77.8,168,88.9,48,2,19.4,42,420,264,8.5,13.5,2.06,250,215.2,-0.16,216,101,86.5,0.23,2.01
Jalen Nailor,84292,WR,MIN,18,12.8,0,66,40,2,5,1,11.4,4,0.04,24,18,0,50.8,78,59.3,,60.3,0,0,0,33,0,0,462,3,47.4,31,92.2,426,49.4,228,136.3,47,6,50.6,234,447,108,3.5,14.4,1.05,240,215.4,-0.11,,94,98.7,0.15,3.18
Jalen Coker,143068,WR,CAR,11,11.4,4,71.1,62.5,5,8,0,3,1,-0.15,23,5,0,78.9,77.1,72.8,,73.8,0,0,1,83,0,0,298,2,40.5,32,93.3,278,61.1,182,111.2,45,2,38.6,115,478,176,5.5,14.9,1.72,148,190.2,0.22,138,65,90.4,0.21,2.74
Brandon Aiyuk,84109,WR,SF,7,12.5,3,55.6,57.1,4,7,1,10.7,3,0.13,19,28,0,55.1,75.9,74.6,,74.1,0,0,2,53,0,0,225,1,50.7,25,95.6,215,19.6,44,64.5,45,0,80.4,181,374,104,4.2,15,1.74,122,126.1,0.03,157,56,,,
Ricky Pearsall,100660,WR,SF,11,11.3,0,70.5,55.6,5,9,0,3.1,1,0.03,19,28,0,78.5,79.2,63.9,66.2,64.1,0,0,3,46,0.3,1,325,2,47.9,31,94.2,306,39.7,129,93,44,3,60,195,400,110,3.5,12.9,1.31,62,59.3,-0.05,92,33,88.6,0.18,2.33
Theo Johnson,129787,TE,NYG,12,6.9,3,67.4,62.5,5,8,0,14.7,5,-0.16,16,21,0,49.8,76.6,53.6,63.4,55.7,42.7,195,2,35,13.8,63,457,5,41.7,29,80.3,367,47.3,216,78.7,43,1,7.7,35,331,160,5.5,11.4,0.9,175,207.3,0.16,251,20,127.8,0.15,2.84
Ja'Tavion Sanders,144717,TE,CAR,16,6.3,5,76.7,75,3,4,0,10.8,4,-0.13,13,5,1,52.7,28.5,52.5,56.3,53.8,33.1,120,0,46,7.7,28,362,4,41.1,33,86.7,314,50.8,184,106.9,43,1,15.2,55,342,188,5.7,10.4,1.09,199,196.7,-0.01,274,27,54,0.14,1.86
