player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,year,fantasyPts,ptsPerSnap,ptsPerTouch
Damiere Byrd,9964,WR,ARZ,11.0,10.0,5.0,71.1,57.1,4.0,7.0,0,3.0,1.0,-0.03,16.0,1,1.0,79.4,78.5,64.4,,64.0,0.0,0.0,1.0,58.0,0.0,0.0,326.0,2.0,42.0,32.0,96.3,314.0,5.2,17.0,92.7,45.0,1.0,94.5,308.0,359.0,152.0,4.8,11.2,1.14,2019,114.9,0.13,2.34
Damiere Byrd,9964,WR,NE,14.333,11.333,5.0,66.633,16.7,2.667,10.333,1,7.4,3.667,-0.057,24.667,19,1.0,63.467,43.3,62.4,67.0,63.533,0.0,0.0,2.333,47.333,0.267,1.333,439.333,1.333,43.733,42.0,95.167,417.333,7.8,35.667,82.7,63.667,1.0,92.1,403.333,522.333,162.667,4.0,12.333,1.24,2020,64.9,0.1,2.5
Damiere Byrd,9964,WR,CHI,15.857,10.057,2.714,68.729,50.0,2.286,6.714,0,7.229,2.714,-0.087,20.857,6,0.429,58.571,62.214,57.486,,58.371,0.114,0.571,2.143,51.143,0.114,0.571,423.714,1.143,43.257,32.857,95.414,404.0,29.686,123.857,83.557,48.429,1.0,69.3,295.714,411.857,136.571,4.286,12.543,1.011,2021,51.8,0.17,3.98
Damiere Byrd,9964,WR,ATL,15.143,16.029,2.143,63.057,20.0,1.429,5.714,0,7.457,1.857,-0.15,14.429,2,0.143,59.9,66.814,62.2,,62.443,0.057,0.286,2.143,64.286,0.057,0.286,288.0,0.429,40.171,21.571,95.686,275.0,21.671,73.286,89.157,33.571,1.571,77.843,212.714,333.429,116.857,6.371,17.243,1.339,2022,0.0,0.0,
Damion Ratley,48182,WR,CLV,5.0,10.9,1.0,65.0,40.0,2.0,5.0,0,13.3,2.0,-0.12,5.0,8,0.0,47.7,72.3,55.9,,56.5,0.0,0.0,1.0,27.0,0.0,0.0,128.0,1.0,42.5,13.0,93.8,120.0,36.7,47.0,65.4,20.0,0.0,63.3,81.0,144.0,52.0,4.0,11.1,1.2,2018,38.0,0.15,3.17
Damion Ratley,48182,WR,CLV,8.333,13.167,1.667,58.0,16.7,1.333,5.667,2,4.433,0.667,-0.087,9.0,8,0.0,68.833,72.567,60.567,,62.167,0.0,0.0,1.0,39.667,0.0,0.0,158.0,2.333,39.3,12.333,93.667,148.0,26.1,39.667,76.2,21.333,0.667,73.9,118.333,181.333,50.667,4.133,14.833,1.22,2019,10.3,0.08,2.58
Danny Amendola,4717,WR,NE,18.0,8.9,5.0,78.4,56.3,9.0,16.0,1,4.4,4.0,0.25,56.0,19,1.0,77.2,69.4,77.4,,77.0,0.2,1.0,1.0,50.0,0.0,0.0,553.0,3.0,49.9,87.0,92.0,509.0,81.4,450.0,112.7,111.0,4.0,17.9,99.0,1007.0,321.0,3.7,11.6,1.98,2017,122.3,0.18,2.04
Danny Amendola,4717,WR,MIA,16.0,7.833,3.0,78.6,60.0,7.0,12.0,0,3.667,2.667,0.037,36.667,17,0.333,80.933,60.867,70.2,61.4,69.733,0.333,1.667,2.333,42.667,0.133,0.667,481.0,2.333,45.567,68.333,92.867,446.333,80.2,386.0,95.167,87.0,2.0,19.033,91.0,719.0,259.667,3.833,10.333,1.587,2018,135.8,0.21,2.19
Danny Amendola,4717,WR,DET,15.429,8.386,3.571,71.4,38.5,5.857,12.571,0,5.857,4.0,-0.001,36.286,11,0.143,72.743,74.6,70.943,,70.286,0.257,1.286,2.143,45.143,0.057,0.286,481.571,1.571,43.757,64.714,93.171,448.429,78.371,377.429,87.529,91.0,1.429,20.5,98.429,695.571,238.714,3.7,10.657,1.543,2019,106.4,0.23,2.26
Danny Amendola,4717,WR,DET,14.429,8.414,4.286,68.729,40.0,4.571,10.857,0,5.014,2.857,0.033,31.286,11,0.0,74.743,78.571,72.743,72.1,72.729,0.571,2.286,2.143,47.571,0.371,1.286,404.143,2.286,45.0,52.429,93.157,376.429,82.286,330.286,83.2,76.429,0.429,16.229,67.857,619.857,263.857,5.243,11.986,1.67,2020,66.8,0.35,2.78
Dante Pettis,48113,WR,SF,11.0,12.1,6.0,67.5,33.3,1.0,3.0,0,3.6,1.0,0.04,19.0,28,0.0,65.2,80.3,68.5,,69.8,0.3,1.0,2.0,75.0,0.0,0.0,286.0,1.0,46.0,27.0,91.3,261.0,38.5,110.0,125.7,40.0,5.0,60.1,172.0,467.0,214.0,7.9,17.3,1.79,2018,33.9,0.11,3.08
Dante Pettis,48113,WR,SF,11.0,9.9,3.333,54.367,0.0,0.333,3.667,0,6.733,1.0,0.053,11.0,28,0.0,61.867,74.767,60.433,,59.6,0.1,0.333,2.0,39.0,0.0,0.0,200.667,1.0,48.0,16.333,93.7,187.0,41.5,82.0,78.167,28.667,3.0,57.567,116.667,228.333,88.667,4.233,12.367,1.083,2019,17.6,0.15,4.4
Dante Pettis,48113,WR,NO,9.286,10.986,3.143,51.871,0.0,0.143,2.714,0,2.886,0.429,-0.097,9.286,20,0.0,72.229,79.586,66.014,,65.143,0.043,0.143,0.857,28.143,0.0,0.0,145.429,0.429,41.943,13.857,94.557,136.714,40.871,59.143,78.357,26.0,1.857,58.729,85.429,166.429,58.0,3.471,11.014,1.156,2024,21.7,0.19,2.41
Darius Slayton,25578,WR,NYG,14.0,14.4,5.0,60.0,48.0,12.0,25.0,0,5.9,3.0,-0.06,32.0,21,0.0,70.9,81.4,70.3,,70.5,0.0,0.0,4.0,55.0,0.0,0.0,503.0,2.0,42.5,48.0,93.6,471.0,4.4,22.0,103.1,80.0,8.0,95.6,481.0,740.0,199.0,4.1,15.4,1.57,2019,143.0,0.16,2.75
Darius Slayton,25578,WR,NYG,15.333,14.267,6.333,55.467,31.8,8.667,23.0,1,9.1,5.0,-0.08,37.333,21,0.667,57.9,52.733,68.633,,68.433,0.0,0.0,2.667,45.667,0.0,0.0,556.333,2.0,41.967,49.333,94.0,523.0,14.533,83.333,88.7,89.333,4.667,85.467,473.0,747.333,171.0,3.433,15.133,1.437,2020,70.6,0.13,2.61
Darius Slayton,25578,WR,NYG,14.0,13.771,3.286,50.8,12.5,4.286,14.429,0,14.643,5.571,-0.16,24.0,21,0.857,41.786,37.914,59.586,,60.071,0.457,1.714,2.857,43.571,0.0,0.0,456.714,1.429,38.671,36.0,94.0,429.286,15.829,72.286,70.357,69.714,3.143,83.771,382.714,514.0,111.0,2.9,13.914,1.153,2021,130.4,0.19,2.83
Darius Slayton,25578,WR,NYG,16.286,12.943,3.571,56.2,42.9,6.429,17.429,0,14.671,7.143,-0.03,29.143,21,1.571,38.171,27.257,62.486,67.3,63.229,0.457,2.0,2.857,49.286,0.114,0.571,482.714,1.143,44.071,43.714,94.314,455.286,23.257,114.0,77.643,76.571,2.143,76.2,366.143,670.429,220.143,4.643,15.0,1.436,2022,151.0,0.17,3.02
Darius Slayton,25578,WR,NYG,16.714,12.6,7.571,61.9,18.2,3.857,13.429,0,9.829,4.857,-0.054,28.286,21,0.714,56.214,56.371,64.971,68.1,65.771,0.343,1.571,2.429,67.429,0.171,0.857,533.429,0.429,43.4,46.857,95.0,507.286,29.314,160.286,93.4,75.0,3.143,70.3,371.286,721.571,271.429,5.529,15.229,1.409,2023,110.0,0.13,2.68
Darius Slayton,25578,WR,NYG,16.571,13.171,7.143,59.4,60.0,8.714,17.571,0,12.257,6.0,-0.091,30.286,21,0.286,43.071,71.586,62.429,74.3,63.271,0.114,0.571,2.143,55.286,0.371,2.143,568.0,3.0,43.514,43.857,93.529,531.429,25.286,143.571,88.486,73.571,2.571,74.571,423.714,664.0,208.143,4.586,15.086,1.254,2024,96.8,0.13,2.62
