player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,year,fantasyPts,ptsPerSnap,ptsPerTouch
AJ Brown,48327,WR,TEN,19.0,13.2,18.0,61.3,29.2,7.0,24.0,2,6.6,4.0,0.07,42.0,31,1.0,69.4,44.4,81.8,66.2,80.9,0.0,0.0,2.0,91.0,0.2,1.0,487.0,4.0,47.0,57.0,94.7,461.0,12.5,61.0,122.8,93.0,8.0,87.5,426.0,1115.0,498.0,8.7,19.6,2.42,2019,243.5,0.32,3.48
AJ Brown,48327,WR,TEN,16.333,12.0,18.0,66.9,61.3,15.0,28.667,0,7.8,6.0,0.197,54.0,31,1.667,59.667,33.333,87.533,,87.233,0.467,2.0,2.0,79.0,0.067,0.333,467.0,2.667,50.6,69.667,94.7,442.333,15.1,70.333,129.933,103.667,10.667,84.433,394.667,1143.667,466.667,6.833,16.667,2.587,2020,180.9,0.3,2.78
AJ Brown,48327,WR,TEN,15.0,12.686,12.286,63.986,50.0,13.857,27.143,1,10.029,7.714,0.159,51.143,31,0.714,51.514,60.914,86.829,,88.129,0.486,2.0,2.0,66.429,0.029,0.143,424.714,2.857,49.971,68.714,94.7,402.143,25.5,105.0,114.257,107.286,8.0,73.843,317.143,1067.857,338.286,4.986,15.657,2.663,2021,303.6,0.3,3.45
AJ Brown,48327,WR,PHI,17.571,12.829,16.286,64.129,46.9,15.0,30.143,0,8.257,7.571,0.12,60.857,24,1.429,59.943,46.943,87.686,,89.086,0.243,1.0,2.571,71.286,0.0,0.0,578.714,2.286,47.343,88.0,94.7,548.143,26.6,151.571,114.7,137.286,10.286,73.014,425.286,1392.571,487.286,5.357,15.743,2.57,2022,293.6,0.29,2.77
AJ Brown,48327,WR,PHI,17.429,12.629,17.714,66.914,45.2,14.143,30.571,0,5.586,5.571,0.081,66.143,24,1.714,76.514,41.714,88.814,80.3,89.743,0.186,0.857,3.429,64.143,0.286,1.714,603.571,2.143,46.443,99.143,94.929,572.857,25.786,153.286,107.529,147.714,8.286,73.9,448.429,1445.571,488.0,4.886,14.614,2.534,2023,216.9,0.28,3.24
AJ Brown,48327,WR,PHI,17.429,12.686,18.0,67.271,59.4,17.0,31.714,0,3.386,3.286,0.14,65.571,24,0.857,86.329,61.943,89.786,,90.471,0.057,0.286,3.286,66.286,0.143,0.857,562.286,2.571,47.571,89.857,94.471,531.286,20.343,117.0,113.071,133.429,8.857,79.557,444.571,1360.286,457.571,5.1,15.214,2.564,2024,220.3,0.26,2.82
AJ Green,6156,WR,CIN,16.0,14.3,8.0,56.0,43.2,19.0,44.0,0,6.3,5.0,-0.05,55.0,7,2.0,71.7,27.8,82.2,,82.7,0.0,0.0,7.0,77.0,0.0,0.0,543.0,5.0,41.2,75.0,95.2,517.0,13.6,74.0,80.4,134.0,8.0,86.2,468.0,1078.0,292.0,3.9,14.4,2.09,2017,151.4,0.33,3.29
AJ Green,6156,WR,CIN,16.0,14.167,5.333,49.667,46.3,19.0,42.0,0,6.1,3.667,-0.037,41.0,7,0.667,71.7,62.067,71.6,,71.367,0.0,0.0,4.333,47.667,0.0,0.0,539.667,3.0,42.067,56.333,95.333,514.333,18.533,100.0,64.6,112.0,4.0,81.4,439.333,708.0,152.667,2.5,12.2,1.377,2020,156.8,0.18,2.9
AJ Green,6156,WR,ARZ,16.571,13.557,6.286,54.486,50.0,15.571,32.857,0,5.643,3.286,0.036,38.714,1,0.286,69.757,72.314,69.429,,70.414,0.114,0.571,3.0,44.429,0.0,0.0,570.143,4.143,45.4,55.0,94.514,538.714,12.857,72.0,79.286,101.143,3.429,87.0,497.429,788.0,176.286,3.129,14.2,1.459,2021,59.6,0.11,2.48
Adam Humphries,10075,WR,TB,16.0,6.9,6.0,74.4,56.3,9.0,16.0,0,6.2,4.0,0.09,34.0,30,1.0,70.3,50.3,63.0,,62.4,0.6,3.0,0.0,43.0,0.0,0.0,534.0,0.0,48.9,61.0,93.4,499.0,82.0,438.0,100.2,82.0,1.0,16.5,88.0,631.0,300.0,4.9,10.3,1.26,2017,188.7,0.24,2.42
Adam Humphries,10075,WR,TB,16.0,6.3,8.0,74.0,46.2,7.0,14.0,1,4.6,3.333,0.183,43.333,30,0.333,79.567,75.1,71.133,,70.133,0.4,2.333,0.667,48.333,0.0,0.0,580.667,0.667,51.1,71.0,93.733,544.333,83.267,484.0,105.867,96.0,3.667,15.633,90.667,754.333,388.667,5.433,10.567,1.38,2018,86.5,0.23,2.28
Adam Humphries,10075,WR,TEN,14.286,6.871,4.0,76.743,66.7,6.429,11.143,0,3.343,2.0,0.061,31.714,31,0.143,81.529,81.557,71.286,69.4,71.314,0.171,1.0,0.286,37.857,0.4,1.143,418.0,0.286,46.357,53.857,93.429,391.0,84.143,350.857,109.086,70.857,2.714,14.986,63.429,551.286,240.857,4.157,10.071,1.42,2019,57.8,0.25,2.51
Adam Humphries,10075,WR,TEN,10.0,8.657,1.571,72.886,33.3,4.286,9.571,0,3.629,1.286,0.081,19.714,31,0.0,77.343,80.214,71.086,,71.029,0.043,0.286,0.714,29.0,0.2,0.571,266.857,0.143,46.771,35.714,92.786,248.429,82.5,221.857,102.529,48.429,2.429,17.171,43.714,360.857,124.714,2.871,9.957,1.46,2020,79.3,0.12,1.93
Adam Thielen,8288,WR,MIN,18.0,11.1,8.0,65.8,47.4,18.0,38.0,0,4.8,5.0,0.15,63.0,18,3.0,76.9,27.4,82.4,66.8,80.1,0.7,5.0,3.0,65.0,0.3,2.0,694.0,4.0,47.7,100.0,92.4,641.0,48.7,338.0,95.2,152.0,4.0,50.4,350.0,1378.0,436.0,4.4,13.8,2.15,2017,307.3,0.3,2.6
Adam Thielen,8288,WR,MIN,16.667,10.367,6.667,72.467,38.9,10.667,24.667,0,4.4,5.0,0.063,70.333,18,1.667,85.633,51.067,87.067,77.7,86.3,0.833,5.667,3.0,67.0,0.367,2.667,694.0,2.0,47.9,108.667,93.733,650.333,53.967,374.667,108.667,150.0,7.333,45.133,313.333,1374.667,424.667,3.933,12.733,2.117,2018,114.4,0.26,3.36
Adam Thielen,8288,WR,MIN,14.0,12.329,4.0,69.743,37.5,6.286,15.143,1,5.714,3.857,0.021,45.571,18,1.286,70.929,42.114,80.4,,81.729,0.357,2.429,1.857,53.857,0.157,1.143,474.0,3.143,43.843,70.571,93.257,442.714,40.671,214.857,117.543,99.714,6.571,58.714,256.0,930.286,264.286,3.629,13.571,2.096,2019,252.0,0.27,3.27
Adam Thielen,8288,WR,MIN,14.286,12.514,3.714,70.057,40.7,8.143,20.286,0,6.114,4.429,0.114,47.429,18,0.429,74.314,66.071,84.257,,85.371,0.357,2.0,3.0,51.429,0.057,0.429,493.714,1.286,48.8,70.429,93.114,460.143,32.343,166.143,120.829,99.571,11.0,67.243,325.286,895.286,229.571,3.214,12.943,1.957,2020,199.8,0.26,2.94
Adam Thielen,8288,WR,MIN,13.429,10.971,5.429,74.129,66.7,11.571,20.857,0,4.414,3.0,0.136,39.0,18,0.714,80.157,56.029,78.371,,78.3,0.114,0.571,2.429,40.857,0.0,0.0,468.143,0.571,48.114,65.429,93.586,438.143,26.129,121.286,126.971,88.286,10.571,73.5,345.0,764.429,228.857,3.514,11.771,1.76,2021,178.0,0.17,2.51
Adam Thielen,8288,WR,MIN,16.143,10.671,3.143,71.2,21.1,7.857,20.714,0,2.529,1.857,0.069,45.0,18,0.286,87.457,72.171,71.229,65.0,71.443,0.057,0.286,2.857,37.857,0.286,2.286,644.0,0.571,48.229,71.429,93.871,604.857,29.9,197.857,109.357,100.857,8.286,69.943,445.286,777.286,198.429,2.829,10.871,1.349,2022,229.0,0.22,2.2
Adam Thielen,8288,WR,CAR,16.714,9.014,3.0,73.871,50.0,6.571,15.286,0,2.929,2.857,-0.1,50.857,5,1.286,87.729,49.071,70.914,46.5,72.471,0.0,0.0,1.714,33.571,0.543,4.0,674.0,3.143,42.557,89.286,93.614,630.857,52.5,358.286,104.929,120.571,5.429,46.929,312.0,902.0,283.143,3.143,10.143,1.45,2023,139.5,0.33,2.91
Adam Thielen,8288,WR,CAR,13.143,10.514,1.571,76.343,70.0,6.286,11.857,0,3.543,2.429,-0.083,38.857,5,0.571,82.143,66.3,73.786,,74.7,0.0,0.0,3.0,37.143,0.271,2.0,485.429,2.143,42.343,67.286,93.629,454.429,67.129,306.857,105.229,89.0,4.857,32.614,176.857,750.571,212.714,3.186,11.614,1.786,2024,37.6,0.1,1.98
Adonai Mitchell,146712,WR,IND,17.0,14.7,1.0,45.1,0.0,0.0,5.0,0,14.8,4.0,-0.23,16.0,14,2.0,41.4,20.3,57.9,,61.4,0.0,0.0,0.0,36.0,0.0,0.0,221.0,1.0,37.0,23.0,93.2,206.0,23.5,52.0,65.2,51.0,0.0,76.5,169.0,312.0,104.0,4.5,13.6,1.51,2024,89.9,0.18,2.64
Albert Wilson,8943,WR,KC,14.0,6.6,16.0,73.3,62.5,5.0,8.0,0,6.4,3.0,0.28,34.0,16,0.0,69.2,79.6,73.8,68.6,73.6,5.0,20.0,0.0,63.0,0.5,2.0,399.0,0.0,49.7,44.0,94.7,378.0,59.1,236.0,120.1,60.0,3.0,35.3,141.0,580.0,326.0,7.4,13.2,1.53,2017,90.7,0.39,2.67
Albert Wilson,8943,WR,MIA,9.333,7.4,11.333,72.567,0.0,1.667,4.0,0,4.6,1.667,0.067,18.667,17,0.0,74.933,79.067,79.6,61.6,79.667,1.667,6.667,2.0,71.0,0.633,1.333,229.667,0.667,45.033,32.0,90.9,212.0,41.767,110.667,113.233,44.0,3.667,54.5,109.0,454.0,338.667,11.333,14.4,2.53,2018,88.6,0.2,1.85
Aldrick Robinson,6330,WR,SF,16.0,12.7,1.0,43.2,21.4,3.0,14.0,0,17.4,4.0,-0.22,12.0,28,0.0,33.8,74.1,55.9,,56.2,1.1,3.0,1.0,45.0,0.0,0.0,278.0,2.0,35.8,19.0,95.3,265.0,31.7,88.0,68.4,44.0,2.0,67.3,187.0,260.0,40.0,2.1,13.7,0.98,2017,70.1,0.28,4.12
Alec Pierce,78038,WR,IND,16.0,12.2,3.0,53.9,42.9,12.0,28.0,0,8.9,4.0,-0.16,28.0,14,1.0,51.5,29.9,61.3,,61.1,0.0,0.0,2.0,47.0,0.0,0.0,501.0,1.0,43.5,41.0,95.4,478.0,6.8,34.0,77.4,76.0,2.0,93.2,467.0,593.0,111.0,2.7,14.5,1.24,2022,95.4,0.09,2.98
Alec Pierce,78038,WR,IND,16.667,14.533,1.667,51.833,42.9,10.0,23.333,0,6.9,2.667,-0.073,25.333,14,0.333,63.5,61.3,59.167,66.3,58.1,0.0,0.0,1.333,54.333,0.133,0.667,599.667,1.667,42.567,35.0,93.933,562.667,11.0,68.0,80.733,67.333,2.0,89.0,531.667,540.333,99.667,2.833,15.567,0.98,2023,161.4,0.2,4.36
Alec Pierce,78038,WR,IND,16.286,19.257,0.714,54.271,47.6,10.0,22.0,0,7.243,2.857,-0.037,29.143,14,0.143,60.243,70.843,67.814,68.1,67.929,0.0,0.0,3.429,60.429,0.171,0.857,534.143,1.286,42.471,36.143,93.514,499.429,14.486,76.571,94.371,66.571,4.857,85.514,457.571,702.429,110.143,3.043,19.414,1.46,2024,183.3,0.23,3.9
Alex Erickson,11107,WR,CIN,15.0,9.7,0.0,71.4,66.7,4.0,6.0,1,4.8,1.0,0.03,8.0,7,0.0,72.3,89.7,59.1,65.7,57.2,0.8,2.0,0.0,28.0,0.4,1.0,241.0,1.0,46.6,20.0,92.1,222.0,41.5,100.0,86.5,28.0,0.0,56.8,137.0,167.0,66.0,3.3,8.4,0.75,2018,99.2,0.16,2.07
Alex Erickson,11107,WR,CIN,15.667,9.367,2.667,61.533,25.0,4.0,12.667,0,5.933,2.333,-0.057,20.0,7,0.667,69.967,56.967,64.433,70.5,62.133,0.733,2.667,2.0,44.0,0.6,2.333,355.0,0.333,43.4,35.333,92.833,330.0,34.367,118.0,70.033,60.0,0.0,64.4,233.0,408.333,178.0,4.7,11.0,1.17,2019,26.6,0.13,1.56
Alex Erickson,11107,WR,LAC,11.286,10.929,1.143,60.257,40.0,2.857,8.286,0,2.543,1.0,-0.15,15.429,27,0.286,76.671,66.7,63.386,67.9,63.029,0.543,1.714,0.857,34.286,0.771,2.143,284.143,0.714,44.371,24.286,94.7,268.286,42.214,114.0,87.386,41.143,0.571,57.029,167.857,310.429,111.714,4.243,13.171,1.113,2023,0.0,0.0,
Allen Hurns,8931,WR,JAX,13.0,10.3,4.0,71.9,50.0,5.0,10.0,0,4.2,2.0,0.01,33.0,15,0.0,77.1,78.8,73.9,65.7,72.7,0.3,1.0,3.0,50.0,0.3,1.0,392.0,1.0,44.9,46.0,95.2,373.0,77.0,302.0,90.4,64.0,2.0,22.7,89.0,576.0,202.0,4.4,12.5,1.54,2017,61.5,0.14,3.08
Allen Hurns,8931,WR,DAL,15.667,12.967,4.0,65.167,75.0,5.667,8.667,0,4.4,1.333,0.037,19.0,9,0.667,73.233,43.0,68.3,65.7,68.233,1.1,3.0,1.0,49.333,0.367,1.0,311.333,1.0,44.633,29.333,94.0,293.0,37.0,131.333,104.133,44.0,2.0,61.7,176.333,398.0,125.333,4.2,13.967,1.327,2018,85.6,0.16,2.67
Allen Lazard,48135,WR,GB,17.0,14.7,1.0,69.1,50.0,4.0,8.0,0,7.3,3.0,0.24,27.0,12,0.0,64.8,78.3,69.5,77.2,69.1,2.2,8.0,0.0,43.0,0.8,3.0,372.0,4.0,48.0,38.0,91.7,341.0,37.9,141.0,116.7,55.0,3.0,59.7,222.0,513.0,149.0,3.9,13.5,1.5,2019,97.8,0.21,2.79
Allen Lazard,48135,WR,GB,13.667,12.5,3.667,69.033,28.6,2.667,7.333,0,12.367,5.667,0.34,29.0,12,0.0,41.4,78.367,71.433,73.9,69.5,4.867,17.333,0.667,62.333,1.0,3.667,359.333,1.333,53.8,39.333,93.1,334.333,46.233,165.667,118.3,57.0,3.667,48.633,175.333,577.0,219.0,5.567,14.633,1.727,2020,142.5,0.2,3.31
Allen Lazard,48135,WR,GB,15.0,11.757,3.857,68.614,53.3,5.714,11.714,0,9.186,4.143,0.266,29.0,12,0.0,51.057,78.786,67.586,75.0,66.3,4.429,18.857,0.286,50.714,1.0,4.429,432.857,2.286,51.4,40.286,93.9,406.714,43.814,188.143,127.671,58.714,6.143,51.643,225.429,543.857,204.143,5.071,13.529,1.386,2021,174.8,0.2,2.82
Allen Lazard,48135,WR,GB,14.857,12.2,3.571,64.343,39.1,7.714,18.429,0,7.671,4.143,0.099,38.286,12,0.0,60.729,79.971,68.257,69.8,70.443,4.171,19.714,3.0,49.143,0.557,2.571,485.286,3.143,47.414,51.714,94.343,457.857,40.743,195.429,104.529,81.429,6.286,55.043,270.0,685.571,243.429,4.771,13.286,1.506,2022,60.1,0.09,2.61
Allen Lazard,48135,WR,NYJ,14.571,12.257,2.0,54.614,23.5,6.0,18.429,0,13.0,4.429,-0.161,26.714,22,0.0,46.357,77.414,59.071,74.9,60.3,1.757,8.857,2.0,41.714,0.429,2.143,493.429,4.429,39.771,36.143,94.3,465.286,29.457,146.143,82.214,64.0,3.429,68.786,338.429,477.0,136.143,3.357,13.271,1.01,2023,126.0,0.19,3.41
Allen Lazard,48135,WR,NYJ,13.0,11.9,2.429,57.686,53.3,7.0,16.714,2,16.186,6.571,-0.096,27.857,22,0.0,35.871,77.571,60.743,52.2,62.1,1.5,7.0,2.143,47.571,0.543,2.429,469.571,6.0,42.571,36.286,93.714,440.286,33.786,157.857,94.171,62.0,4.571,64.771,304.714,504.286,144.0,3.743,13.9,1.144,2024,23.0,0.09,2.3
Allen Robinson II,8696,WR,CHI,14.0,12.7,10.0,60.7,59.3,16.0,27.0,2,3.0,2.0,0.12,41.0,6,1.0,84.7,38.9,77.7,67.6,78.7,0.8,4.0,3.0,45.0,0.2,1.0,526.0,4.0,50.3,65.0,93.5,492.0,39.0,205.0,91.5,107.0,5.0,60.3,317.0,897.0,254.0,3.9,13.8,1.82,2018,254.9,0.25,2.57
Allen Robinson II,8696,WR,CHI,15.333,12.033,7.333,62.967,59.1,22.667,38.333,1,3.0,2.667,0.027,55.667,6,0.333,88.233,68.633,79.767,65.1,80.3,0.533,3.333,4.333,47.667,0.267,1.667,622.667,4.0,45.167,87.0,93.767,584.0,40.533,253.0,89.367,137.667,6.333,58.833,365.667,1063.667,260.0,3.1,12.4,1.82,2019,262.9,0.29,2.55
Allen Robinson II,8696,WR,CHI,16.286,10.929,10.0,66.3,45.1,22.857,45.571,0,1.8,1.714,-0.011,63.857,6,0.143,89.986,77.471,84.643,65.6,84.986,0.343,2.0,5.286,44.429,0.229,1.286,641.714,1.714,45.643,99.0,95.614,613.714,34.171,218.714,90.243,148.714,6.143,65.386,420.143,1201.571,306.286,3.157,12.229,1.951,2020,85.0,0.14,2.24
Allen Robinson II,8696,WR,CHI,14.0,11.7,6.0,61.729,33.3,13.714,31.143,0,3.543,1.857,-0.14,41.571,6,0.0,81.4,80.586,75.0,62.2,75.157,0.571,2.429,4.714,41.286,0.271,1.143,503.857,1.143,42.657,66.571,94.843,479.143,34.871,174.143,70.414,104.429,3.286,64.5,326.857,771.0,186.429,2.671,11.3,1.491,2021,84.9,0.15,2.57
Allen Robinson II,8696,WR,LA,11.571,10.786,3.714,63.257,53.3,9.571,21.0,0,4.814,1.857,-0.097,29.429,26,0.0,73.986,78.329,69.329,67.6,68.814,0.257,1.0,2.571,33.714,0.4,1.571,418.286,0.857,45.771,45.143,96.2,402.571,33.686,139.286,83.243,70.429,2.857,66.043,277.857,497.286,115.0,2.4,10.7,1.147,2022,62.0,0.08,1.82
Allen Robinson II,8696,WR,PIT,14.857,9.014,1.571,68.714,57.1,5.429,10.857,0,2.343,0.857,-0.114,15.429,25,0.0,81.9,77.5,58.529,61.3,57.571,0.629,2.714,1.429,31.571,0.929,4.143,416.571,0.429,42.971,35.429,94.486,393.0,54.4,232.429,80.614,52.0,1.0,44.971,181.429,322.286,80.571,2.286,9.114,0.827,2023,6.0,0.07,2.0
Alshon Jeffery,7048,WR,PHI,19.0,14.9,4.0,52.7,42.6,23.0,54.0,2,4.2,3.0,0.24,55.0,24,0.0,81.8,81.5,77.3,,77.7,0.0,0.0,2.0,53.0,0.0,0.0,691.0,7.0,48.1,69.0,94.2,651.0,15.2,105.0,102.2,131.0,12.0,84.8,586.0,1008.0,247.0,3.6,14.6,1.55,2017,185.3,0.24,2.85
Alshon Jeffery,7048,WR,PHI,16.333,12.3,6.0,65.367,46.4,16.333,36.667,0,6.267,5.0,0.173,55.667,24,0.667,71.733,60.767,78.433,,77.833,0.0,0.0,2.0,52.333,0.0,0.0,617.0,4.333,48.767,73.667,95.067,586.333,16.667,102.333,108.533,114.333,8.0,83.333,514.667,994.667,282.333,3.8,13.533,1.703,2018,122.2,0.25,2.78
Alshon Jeffery,7048,WR,PHI,12.714,11.9,2.571,63.614,47.1,11.571,25.429,0,8.629,5.0,0.149,44.429,24,0.286,60.629,70.843,76.357,,76.214,0.0,0.0,1.429,44.143,0.0,0.0,438.714,2.429,48.5,56.143,94.343,414.714,13.886,64.429,101.886,88.429,5.714,86.114,374.286,706.286,198.714,3.457,12.314,1.707,2019,23.5,0.12,3.92
Amari Cooper,9437,WR,OAK,14.0,11.8,6.0,53.3,14.3,3.0,21.0,0,17.2,10.0,0.0,28.0,23,1.0,29.7,52.4,63.6,,62.9,0.2,1.0,5.0,87.0,0.0,0.0,473.0,2.0,43.3,48.0,93.2,441.0,22.0,104.0,80.8,90.0,7.0,77.4,366.0,680.0,300.0,6.3,14.2,1.54,2017,219.5,0.26,2.85
Amari Cooper,9437,WR,DAL,16.0,10.6,5.333,66.633,72.7,6.333,14.333,1,10.0,7.333,0.087,48.0,9,2.333,58.767,34.4,72.333,,71.233,0.067,0.333,3.667,89.0,0.0,0.0,596.333,1.333,48.233,74.667,93.2,555.667,22.0,131.333,104.133,110.0,7.667,77.8,464.0,1010.667,428.667,5.833,13.667,1.793,2018,246.5,0.29,3.08
Amari Cooper,9437,WR,DAL,16.0,11.971,5.714,67.471,38.5,8.429,21.0,1,8.914,7.143,0.169,51.429,9,1.0,61.243,61.771,79.114,,78.643,0.029,0.143,2.714,68.429,0.0,0.0,569.286,4.0,49.986,77.143,93.943,534.714,17.257,99.143,111.657,113.429,7.857,82.657,469.714,1112.571,316.286,4.157,14.486,2.077,2019,234.8,0.25,2.4
Amari Cooper,9437,WR,DAL,16.143,10.571,7.0,71.014,60.0,9.143,17.571,1,5.057,4.571,0.101,54.571,9,0.429,78.786,74.914,78.386,,79.171,0.114,0.571,3.286,67.429,0.0,0.0,615.429,3.571,49.5,87.714,95.571,588.429,22.486,140.429,106.171,123.429,6.286,77.457,474.429,1144.286,369.857,4.143,13.143,1.963,2020,202.5,0.24,2.98
Amari Cooper,9437,WR,DAL,16.0,11.371,9.429,69.071,58.3,12.0,21.714,0,4.986,4.143,0.121,50.571,9,0.571,78.214,64.671,75.429,,76.257,0.057,0.286,1.429,50.714,0.0,0.0,612.714,2.286,50.214,79.857,93.986,576.143,25.729,158.714,114.357,115.429,7.714,74.243,453.714,1019.0,281.143,3.443,12.814,1.776,2021,248.0,0.25,3.18
Amari Cooper,9437,WR,CLV,16.571,12.357,8.286,65.043,55.6,13.857,24.429,0,5.971,5.0,0.044,56.286,8,0.286,73.114,73.371,78.1,,79.886,0.029,0.143,2.286,53.0,0.0,0.0,611.714,3.571,47.614,78.857,93.5,572.143,26.114,159.714,109.314,121.429,8.429,73.814,451.286,1087.429,293.143,3.686,13.843,1.901,2022,227.0,0.26,3.15
Amari Cooper,9437,WR,CLV,16.286,13.557,6.429,61.557,53.3,15.429,28.286,0,6.3,5.143,-0.077,55.143,8,1.286,61.929,59.286,79.286,68.1,79.886,0.0,0.0,4.286,64.429,0.114,0.571,619.714,2.143,43.786,76.286,93.614,580.286,23.471,145.286,98.1,124.143,6.714,76.329,473.0,1212.143,276.857,3.643,15.886,2.084,2023,122.7,0.21,2.79
Amari Rodgers,61212,WR,HST,13.0,10.7,2.0,69.6,60.0,3.0,5.0,0,5.9,1.0,-0.12,12.0,13,2.0,68.0,24.3,62.1,,64.1,0.6,1.0,1.0,37.0,0.0,0.0,172.0,1.0,37.0,16.0,94.2,162.0,66.3,114.0,93.4,23.0,1.0,33.1,57.0,204.0,64.0,4.0,12.8,1.26,2022,0.0,0.0,
Amon-Ra St Brown,84470,WR,DET,17.0,7.0,8.0,78.3,50.0,9.0,18.0,0,2.2,2.0,-0.04,48.0,11,0.0,91.0,84.1,79.4,68.6,79.4,0.2,1.0,2.0,37.0,0.5,3.0,552.0,1.0,46.9,90.0,94.7,523.0,77.0,425.0,107.0,115.0,5.0,20.8,115.0,912.0,430.0,4.8,10.1,1.74,2021,267.6,0.32,2.33
Amon-Ra St Brown,84470,WR,DET,16.333,6.8,8.667,76.967,38.5,6.333,14.667,0,3.133,3.333,0.113,61.333,11,0.0,89.067,84.633,86.933,64.9,86.733,0.333,1.667,1.333,45.0,0.3,1.667,524.667,0.333,48.033,100.667,94.567,496.333,65.6,345.667,110.2,131.0,5.667,32.733,170.333,1078.0,506.0,5.0,10.7,2.18,2022,332.9,0.33,2.71
Amon-Ra St Brown,84470,WR,DET,17.857,7.486,15.143,75.386,51.7,11.286,22.857,0,3.286,4.286,0.117,79.429,11,0.571,88.743,74.786,89.371,39.2,89.343,0.143,0.714,2.286,59.286,0.471,3.0,639.143,0.714,49.157,123.714,94.986,607.571,59.714,377.286,113.457,164.714,8.714,38.943,253.571,1484.286,675.143,5.4,11.843,2.414,2023,313.9,0.31,2.68
Amon-Ra St Brown,84470,WR,DET,18.0,7.986,14.429,79.586,67.7,17.0,27.857,1,2.4,3.143,0.204,80.857,11,0.857,89.986,67.957,90.043,76.2,90.543,0.057,0.286,1.571,64.714,0.371,2.429,633.286,2.0,51.914,125.714,95.929,607.571,54.414,344.0,123.543,158.714,10.857,44.443,282.0,1477.0,574.286,4.529,11.714,2.426,2024,324.0,0.34,2.7
Andre Holmes,6489,WR,BUF,14.0,14.6,0.0,56.5,50.0,3.0,6.0,0,7.1,1.0,-0.06,10.0,4,0.0,65.6,73.0,63.3,,61.2,0.5,1.0,0.0,36.0,0.0,0.0,205.0,1.0,44.1,13.0,95.1,195.0,13.7,28.0,110.5,23.0,3.0,85.9,176.0,120.0,11.0,0.8,9.2,0.62,2017,29.2,0.1,2.25
Andre Roberts,5612,WR,NYJ,13.0,9.1,3.0,55.6,0.0,0.0,2.0,0,16.7,2.0,-0.15,4.0,22,0.0,41.1,50.1,58.1,,56.1,0.0,0.0,2.0,20.0,0.0,0.0,121.0,0.0,38.3,10.0,99.2,120.0,33.9,41.0,45.6,18.0,1.0,66.1,80.0,79.0,17.0,1.7,7.9,0.66,2018,5.7,0.05,1.43
Andrei Iosivas,109811,WR,CIN,15.0,9.4,0.0,60.0,40.0,2.0,5.0,1,11.8,2.0,0.01,11.0,7,0.0,51.5,73.8,61.2,,62.1,0.0,0.0,1.0,16.0,0.0,0.0,159.0,1.0,49.0,15.0,95.0,151.0,17.0,27.0,94.3,25.0,4.0,83.0,132.0,116.0,34.0,2.3,7.7,0.77,2023,119.9,0.13,3.33
Andrei Iosivas,109811,WR,CIN,16.333,10.933,0.0,60.667,58.3,5.333,9.667,0,10.6,3.333,0.09,21.0,7,0.0,53.9,76.333,55.533,65.7,56.9,0.0,0.0,1.0,31.333,0.133,0.667,466.333,1.667,51.133,29.0,93.267,432.333,40.6,225.667,107.167,47.667,5.333,59.4,240.667,358.0,61.333,2.167,11.433,0.817,2024,89.9,0.11,2.5
Andy Isabella,47448,WR,ARZ,13.0,11.9,4.0,61.8,20.0,1.0,5.0,0,12.5,3.0,0.01,10.0,1,0.0,47.8,27.9,56.8,,56.1,0.0,0.0,3.0,54.0,0.0,0.0,222.0,0.0,50.0,21.0,96.4,214.0,87.4,194.0,63.8,34.0,2.0,12.2,27.0,224.0,89.0,4.2,10.7,1.05,2020,2.3,0.08,2.3
Anthony Miller,48160,WR,CHI,15.0,11.9,2.0,61.0,55.6,5.0,9.0,0,10.0,4.0,0.08,21.0,6,0.0,55.9,81.2,60.6,,61.7,2.1,9.0,1.0,55.0,0.0,0.0,419.0,6.0,48.2,36.0,94.3,395.0,68.0,285.0,117.7,59.0,7.0,29.6,124.0,457.0,181.0,5.0,12.7,1.16,2018,129.5,0.19,2.44
Anthony Miller,48160,WR,CHI,15.667,10.767,2.0,63.133,35.7,5.0,12.333,2,8.067,4.0,0.033,29.667,6,0.0,62.7,54.2,64.2,,65.833,2.167,10.333,1.667,41.667,0.0,0.0,468.333,5.333,46.467,46.667,94.567,443.0,74.467,350.333,97.433,73.667,3.667,23.133,106.667,589.667,210.333,4.533,12.633,1.32,2019,110.7,0.19,2.17
Anthony Miller,48160,WR,CHI,16.429,10.386,3.714,65.4,45.5,5.0,11.571,1,6.657,3.429,-0.037,26.429,6,1.143,67.957,49.8,60.771,,61.814,1.043,5.0,2.429,37.286,0.0,0.0,463.571,2.857,44.657,49.143,95.957,444.714,84.943,394.143,86.386,75.0,2.714,13.914,64.0,542.429,173.0,3.543,11.071,1.217,2020,14.5,0.15,2.42
