player,player_id,position,team_name_x,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,Rank,ADP,Diff,Finish2024,team_name_y,PosRank,fantasyPts,ptsPerSnap,ptsPerTouch
Tutu Atwell,77965,WR,LA,18,12.2,1,69.4,25,2,8,0,6.5,3,0,30,26,0,67.4,79.1,72.7,,73.9,0,0,2,50,0,0,277,1,50.4,43,93.5,259,36.1,100,85.4,62,0,63.9,177,580,124,2.9,13.5,2.24,246,215.4,-0.14,253,LA,99,31.2,0.17,5.2
Adam Thielen,8288,WR,CAR,10,11.7,1,78.7,70,7,10,0,4,2,-0.04,28,5,0,77.8,79.1,76.4,,76.5,0,0,4,40,0,0,319,1,42.8,48,93.7,299,74.6,238,108.7,61,5,25.4,81,615,156,3.3,12.8,2.06,152,171.8,0.12,59,MIN,67,37.6,0.1,1.98
Chris Godwin,11839,WR,TB,7,5.6,9,83.3,50,4,8,0,0,0,0.12,32,30,1,90.5,38.3,86.3,71.5,85.7,0,0,1,55,2.6,7,265,0,53,50,92.1,244,61.9,164,127.5,60,5,38.1,101,576,347,6.9,11.5,2.36,124,100,-0.24,13,TB,58,81,0.19,2.45
Andrei Iosivas,109811,WR,CIN,17,11.7,0,61,58.3,7,12,0,10,4,0.13,26,7,0,55.1,77.6,52.7,65.7,54.3,0,0,1,39,0.2,1,620,2,52.2,36,92.4,573,52.4,325,113.6,59,6,47.6,295,479,75,2.1,13.3,0.84,219,207.1,-0.06,185,CIN,84,89.9,0.11,2.5
Calvin Austin III,61418,WR,PIT,18,13.6,2,63.8,63.6,7,11,0,5.1,2,-0.03,19,25,0,72.6,61.9,63.8,,64.6,0,0,0,55,0,0,423,1,41.9,37,96,406,62.6,265,119.4,58,4,37.4,158,573,153,4.1,15.5,1.41,224,215.1,-0.04,163,PIT,89,86.2,0.19,2.78
Nick Westbrook-Ikhine,47861,WR,TEN,17,12.8,5,57.1,57.1,8,14,0,8.6,3,-0.05,25,31,0,60.7,77,63.4,77.6,63.7,0,0,3,98,0.9,4,469,2,44.5,32,92.8,435,20.5,96,103.9,56,9,79.5,373,497,129,4,15.5,1.14,266,215.8,-0.23,105,MIA,110,19.9,0.05,1.81
Dyami Brown,77986,WR,WAS,19,8.7,12,78.6,33.3,3,9,0,4.3,2,0.03,21,32,3,77.3,20.3,66.5,66.3,66.5,0,0,0,51,0.3,1,377,4,46.3,44,93.4,352,22.8,86,118.5,56,2,77.2,291,537,321,7.3,12.2,1.53,189,189.8,0,195,JAX,74,51.7,0.15,1.99
Devaughn Vele,100637,WR,DEN,14,8.7,2,73.2,60,9,15,0,8.9,4,0,26,10,0,60,78.4,69.3,,71.4,1.4,5,0,37,0,0,350,0,45.9,41,95.1,333,70.6,247,116.3,56,3,27.7,97,475,132,3.2,11.6,1.43,239,215.8,-0.11,186,NO,93,66.3,0.15,2.65
Noah Brown,11993,WR,WAS,11,11.8,2,64.8,42.9,6,14,0,5.4,2,0.21,21,32,0,71.4,77.4,70.7,,70.2,0,0,1,52,0,0,295,0,54.3,35,94.2,278,19,56,89.5,54,1,81,239,453,88,2.5,12.9,1.63,260,215.7,-0.21,,WAS,104,13.3,0.13,2.66
Marvin Mims,122937,WR,DEN,18,7.3,7,75.9,25,1,4,0,4.7,2,0.23,15,10,1,75.3,70.5,68.6,70.7,72.8,0.4,1,2,93,0.4,1,228,0,48.6,41,95.2,217,36.4,83,126.7,54,6,50,114,515,483,11.8,12.6,2.37,118,118.6,0.01,107,DEN,54,89,0.24,1.82
Troy Franklin,146567,WR,DEN,17,14.5,3,57.7,16.7,1,6,1,11.8,4,0.03,13,10,0,49.6,77.2,54.3,,55.8,0,0,1,43,0,0,297,4,44.8,30,93.9,279,33,98,86.8,52,3,67,199,317,159,5.3,10.6,1.14,205,190.8,-0.07,,DEN,78,173.1,0.26,2.47
Christian Watson,66581,WR,GB,15,18.7,1,56.9,66.7,10,15,0,6.5,2,0.21,21,12,1,67.3,28.6,70,66.2,72.2,0.7,2,2,60,0.3,1,295,2,50.9,29,92.9,274,32.5,96,96.9,51,2,66.8,197,620,155,5.3,21.4,2.26,265,215.4,-0.23,,GB,109,132.4,0.32,3.68
Adonai Mitchell,146712,WR,IND,17,14.7,1,45.1,0,0,5,0,14.8,4,-0.23,16,14,2,41.4,20.3,57.9,,61.4,0,0,0,36,0,0,221,1,37,23,93.2,206,23.5,52,65.2,51,0,76.5,169,312,104,4.5,13.6,1.51,220,208.1,-0.06,289,IND,85,89.9,0.18,2.64
KaVontae Turpin,47658,WR,DAL,17,9.5,4,64.6,16.7,1,6,1,11.4,4,-0.01,18,9,1,50.6,29.8,71.2,,70,0,0,2,64,0,0,216,1,46.1,31,94.4,204,77.8,168,88.9,48,2,19.4,42,420,264,8.5,13.5,2.06,250,215.2,-0.16,216,DAL,101,86.5,0.23,2.01
Christian Kirk,47546,WR,JAX,8,13.7,2,57.4,30,3,10,0,10,3,-0.08,18,15,0,56.1,76.1,67.9,,68.2,0,0,2,61,0,0,230,0,43.2,27,95.7,220,81.7,188,72.9,47,1,18.3,42,379,114,4.2,14,1.72,119,117.1,-0.02,151,HOU,55,57.9,0.13,2.07
Jalen Nailor,84292,WR,MIN,18,12.8,0,66,40,2,5,1,11.4,4,0.04,24,18,0,50.8,78,59.3,,60.3,0,0,0,33,0,0,462,3,47.4,31,92.2,426,49.4,228,136.3,47,6,50.6,234,447,108,3.5,14.4,1.05,240,215.4,-0.11,,MIN,94,98.7,0.15,3.18
Jalen Coker,143068,WR,CAR,11,11.4,4,71.1,62.5,5,8,0,3,1,-0.15,23,5,0,78.9,77.1,72.8,,73.8,0,0,1,83,0,0,298,2,40.5,32,93.3,278,61.1,182,111.2,45,2,38.6,115,478,176,5.5,14.9,1.72,148,190.2,0.22,138,CAR,65,90.4,0.21,2.74
Cedric Tillman,84434,WR,CLV,11,12.3,9,64.4,71.4,5,7,2,6.5,2,-0.16,15,8,1,68.1,27.8,63.6,70.7,65.8,0,0,1,38,1.7,5,302,2,41,29,92.1,278,27.2,82,100.1,45,3,72.2,218,339,111,3.8,11.7,1.22,141,153.4,0.08,93,CLE,60,60,0.12,2.86
Ricky Pearsall,100660,WR,SF,11,11.3,0,70.5,55.6,5,9,0,3.1,1,0.03,19,28,0,78.5,79.2,63.9,66.2,64.1,0,0,3,46,0.3,1,325,2,47.9,31,94.2,306,39.7,129,93,44,3,60,195,400,110,3.5,12.9,1.31,62,59.3,-0.05,92,SF,33,88.6,0.18,2.33
Chris Olave,84355,WR,NO,8,10.6,0,74.4,66.7,6,9,0,3,1,0,22,20,1,80.4,28.6,82.4,39.9,83,0,0,2,39,0.5,1,202,1,45,32,93.1,188,28.2,57,91.2,43,1,70.8,143,400,118,3.7,12.5,2.13,69,67.4,-0.02,98,NO,40,270,0.3,2.67
Marquez Valdes-Scantling,47809,WR,NO,14,19.2,2,46.3,10,1,10,0,13.6,3,0.05,14,20,0,45.1,74.5,61.7,,60.8,0,0,1,71,0,0,315,0,39.7,19,92.1,290,21.6,68,104.8,41,4,78.4,247,411,141,7.4,21.6,1.42,262,215.9,-0.21,128,SF,106,32,0.09,2.29
Rashid Shaheed,63707,WR,NO,6,18.1,0,50,0,0,7,0,0,0,-0.02,12,20,0,83.6,82.6,69.7,,69.2,0,0,4,70,0,0,182,2,46.2,20,94,171,25.3,46,65.5,40,3,74.2,135,349,102,5.1,17.5,2.04,84,105.4,0.2,40,NO,46,146.6,0.21,2.16
Malik Washington,97108,WR,MIA,14,5.4,2,72.2,42.9,3,7,1,7.1,2,-0.01,13,17,0,64.1,86.2,57.7,64.9,60.8,0.7,2,0,20,0.4,1,270,2,47.9,26,95.6,258,52.2,141,88.1,36,0,47,127,223,123,4.7,8.6,0.86,243,206.7,-0.18,,MIA,97,112.7,0.2,1.79
Jahan Dotson,84375,WR,PHI,21,10.4,4,62.9,20,1,5,1,0,0,0.11,15,24,0,84.9,77.2,54.8,,55,0.4,2,0,36,0,0,517,1,46.9,22,94.4,488,32.5,168,96,35,1,67.1,347,269,90,4.1,12.2,0.55,264,215.8,-0.22,268,PHI,108,50.2,0.08,2.79
Rashee Rice,97605,WR,KC,4,5.2,8,82.8,0,0,1,1,4,1,-0.03,15,16,0,74.2,75.8,85.1,,85.5,0,0,1,44,0,0,99,1,50.5,24,91.9,91,50.5,50,116.7,29,2,49.5,49,288,185,7.7,12,3.16,53,55.9,0.05,,KC,27,148.1,0.36,2.55
Josh Reynolds,11872,WR,JAX,9,11,0,54.2,37.5,3,8,0,0,0,-0.02,8,15,0,80,72.3,61.2,,61.2,0,0,0,49,0,0,220,1,41.2,13,95.9,211,22.3,49,94.8,24,1,77.7,171,194,42,3.2,14.9,0.92,226,214.7,-0.05,255,NYJ,91,21.1,0.08,1.92
