player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,year,fantasyPts,ptsPerSnap,ptsPerTouch
Will Fuller V,10655,WR,HST,10,16.5,0,59.6,25,2,8,1,9.7,3,0.02,21,13,0,56.1,80.3,67.2,68.6,0.6,2,3,59,0,0,322,2,41.3,28,93.2,300,25.5,82,102.2,47,7,73.9,238,423,111,4,15.1,1.41,2017,106.3,0.28,3.32
Rashard Higgins,10806,WR,CLV,15,10.2,6,58.7,33.3,2,6,0,6.9,2,-0.25,13,8,1,65.2,26.4,50.4,48.7,0,0,7,56,0.2,1,504,3,35.6,27,93.5,471,93.8,473,54.2,46,2,6.2,31,312,150,5.6,11.6,0.66,2017,120.2,0.25,3.08
TJ Jones,8824,WR,DET,14,11.8,0,66.7,42.9,3,7,0,9.1,3,0.17,22,11,0,59,80.6,74.4,73.2,0,0,0,34,0,0,287,0,46.3,30,94.1,270,32.4,93,102,45,1,67.6,194,399,73,2.4,13.3,1.48,2017,50,0.11,2.63
Josh Bellamy,7472,WR,CHI,13,14,2,54.5,50,7,14,1,14.3,4,0.01,17,6,0,41.6,75.6,63.8,61.3,1.4,4,1,46,0,0,283,4,45.4,24,95.8,271,20.5,58,81.3,44,1,77.7,220,376,115,4.8,15.7,1.39,2017,31.7,0.1,2.26
Aldrick Robinson,6330,WR,SF,16,12.7,1,43.2,21.4,3,14,0,17.4,4,-0.22,12,28,0,33.8,74.1,55.9,56.2,1.1,3,1,45,0,0,278,2,35.8,19,95.3,265,31.7,88,68.4,44,2,67.3,187,260,40,2.1,13.7,0.98,2017,70.1,0.28,4.12
Dontrelle Inman,6597,WR,CHI,11,13.6,1,58.1,42.9,6,14,0,16.7,5,-0.02,19,6,0,33.4,75.5,66,63,0,0,2,26,0,0,286,1,42.5,25,93,266,15.4,44,72.1,43,1,84.6,242,343,35,1.4,13.7,1.29,2017,76.4,0.21,2.73
Josh Gordon,7618,WR,CLV,5,17.5,2,43.9,35.7,5,14,0,5.3,1,-0.09,12,8,0,69,73.9,76.2,76,0.6,1,1,54,0,0,179,1,36.9,18,93.9,168,23.5,42,70.7,41,1,76,136,335,113,6.3,18.6,1.99,2017,138.7,0.22,3.38
Cordarrelle Patterson,7810,WR,OAK,16,5.6,9,75.6,44.4,4,9,0,3.1,1,-0.04,13,23,0,77.8,23,65.5,65.4,0,0,0,59,0.3,1,292,1,40.9,31,93.5,273,31.8,93,96.5,41,0,66.8,195,309,214,6.9,10,1.13,2017,92.5,0.4,1.47
Demarcus Robinson,10760,WR,KC,17,10.7,1,61,33.3,1,3,0,10.7,3,0.12,17,16,0,43.1,76.1,54.5,53.9,0.2,1,2,33,0.2,1,411,2,45.5,25,95.6,393,18.5,76,68,41,1,81.3,334,269,67,2.7,10.8,0.68,2017,74.8,0.18,3.4
Eli Rogers,9878,WR,PIT,15,7.6,1,56.1,44.4,4,9,0,14.8,4,0.16,12,25,0,51.8,82.9,54.2,53.4,0,0,3,18,0,0,303,2,49.5,23,94.1,285,93.4,283,45.9,41,1,6.3,19,191,101,4.4,8.3,0.67,2017,19.5,0.18,1.5
Odell Beckham,8647,WR,NYG,4,13,4,61,64.3,9,14,0,19.4,6,0.11,15,21,0,29.5,76.5,69.2,70,0,0,1,48,0,0,153,3,46.5,25,94.1,144,12.4,19,97.8,41,3,87.6,134,302,71,2.8,12.1,2.1,2017,220.1,0.31,2.68
Donte Moncrief,8725,WR,IND,12,14.6,2,63.4,62.5,5,8,2,13.3,4,-0.12,22,14,0,44,75.7,61.1,61.6,0.2,1,0,60,0,0,403,3,41.1,26,95.3,384,16.4,66,110.9,41,2,83.4,336,391,79,3,15,1.02,2017,132.8,0.16,2.77
Kamar Aiken,6671,WR,IND,15,10.3,4,39.5,37.5,3,8,0,31.8,7,-0.2,7,14,0,26.5,73.6,47,44.8,1.1,4,2,21,0.5,2,373,2,38.2,15,94.9,354,53.1,198,27.6,38,0,45.6,170,133,46,3.1,8.9,0.38,2017,11.3,0.09,1.88
Geronimo Allison,11141,WR,GB,15,7.9,1,60.5,60,3,5,0,14.8,4,-0.13,11,12,1,40.2,23.9,50.9,52.3,0.4,1,3,72,0.4,1,281,1,41.6,23,92.9,261,39.9,112,47.4,38,0,59.8,168,253,122,5.3,11,0.97,2017,62.3,0.26,3.11
Chester Rogers,10918,WR,IND,11,9.4,4,63.9,0,0,7,0,11.5,3,-0.02,16,14,0,51.8,81.3,58.1,59.4,0,0,1,61,0.4,1,285,3,41,23,94.7,270,40,114,85.9,36,1,59.6,170,284,102,4.4,12.3,1.05,2017,113.1,0.19,2.09
Terrelle Pryor Sr,6944,WR,WAS,9,11.8,1,57.1,16.7,1,6,0,16.7,4,0.11,15,32,0,29.6,74.6,57.9,57.4,0,0,0,44,0,0,247,1,47.5,20,95.5,236,16.2,40,87.8,35,1,83.8,207,240,61,3.1,12,1.02,2017,53.1,0.19,3.12
Jordan Matthews,8677,WR,BUF,10,7,2,73.5,57.1,4,7,1,7.4,2,0.05,14,4,1,65.2,26.4,52.7,52,0.3,1,0,47,0.3,1,327,4,46.1,25,94.5,309,73.1,239,107.7,34,1,26.6,87,282,132,5.3,11.3,0.91,2017,62,0.18,3.1
Laquon Treadwell,10657,WR,MIN,18,12.5,0,58.8,50,3,6,0,4.8,1,0.08,11,18,1,70.5,24.5,53.3,53.8,0,0,2,25,0,0,344,4,45.6,20,92.4,318,8.1,28,51.1,34,0,91.9,316,200,59,3,10,0.63,2017,71.2,0.13,2.03
Chris Moore,10741,WR,BLT,12,14.1,2,52.9,57.1,4,7,0,14.3,3,-0.15,11,3,0,43.5,79.9,59,59.2,0,0,2,30,0,0,248,0,36.4,18,97.6,242,24.6,61,81.5,34,3,74.6,185,248,38,2.1,13.8,1.02,2017,46.3,0.1,1.93
