player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,year,fantasyPts,ptsPerSnap,ptsPerTouch
Robert Woods,7822,WR,LA,13,11.3,6,69.1,40,4,10,0,4.4,3,0.19,43,26,1,78.6,46.1,81,79.7,1.4,6,0,94,1.2,5,428,5,42.5,65,94.6,405,31.8,136,118.4,94,5,66.8,286,923,313,4.8,14.2,2.28,2017,265.6,0.26,2.53
Rishard Matthews,7211,WR,TEN,16,12.2,7,61.3,47.4,9,19,0,6.6,4,-0.04,39,31,0,63,80.3,71.9,70.9,0.4,2,6,75,0,0,568,0,43.5,57,94.7,538,32.7,186,78.1,93,4,66.9,380,837,285,5,14.7,1.56,2017,7.4,0.05,1.48
Amari Cooper,9437,WR,OAK,14,11.8,6,53.3,14.3,3,21,0,17.2,10,0,28,23,1,29.7,52.4,63.6,62.9,0.2,1,5,87,0,0,473,2,43.3,48,93.2,441,22,104,80.8,90,7,77.4,366,680,300,6.3,14.2,1.54,2017,219.5,0.26,2.85
Emmanuel Sanders,5606,WR,DEN,12,11.3,4,54,26.7,8,30,0,9.6,5,-0.05,30,10,0,41.5,79.6,68.1,67.1,0.5,2,1,38,0,0,436,1,41.1,47,94.3,411,27.3,119,76.6,87,2,72,314,555,158,3.4,11.8,1.35,2017,193.1,0.29,2.57
DeSean Jackson,4363,WR,TB,14,16.3,1,57.5,31.6,6,19,0,2,1,0.08,36,30,0,86.6,79.9,76.8,76.8,0,0,4,41,0,0,465,0,48.2,50,93.8,436,20,93,74.3,87,3,79.8,371,668,190,3.8,13.4,1.53,2017,151.3,0.33,3.22
Mike Wallace,5007,WR,BLT,15,14,5,59.8,42.9,9,21,0,5.5,3,-0.12,33,3,0,72.5,79.6,69,69,0.4,2,2,66,0,0,476,1,41.5,52,95.6,455,13.9,66,93.5,87,4,85.7,408,748,155,3,14.4,1.64,2017,0,0,
Brandon LaFell,5602,WR,CIN,16,8.7,3,60.5,31.6,6,19,0,7.1,4,-0.1,25,7,1,59,37.4,57.8,57.7,2,11,2,45,0,0,554,1,39.8,52,95.3,528,35.6,197,81,86,3,62.3,345,548,245,4.7,10.5,1.04,2017,37.5,0.16,3.13
Ted Ginn,3625,WR,NO,17,13.2,3,75.6,44.4,8,18,0,4.4,3,0.27,38,20,0,79.5,63.7,71.9,72.9,0.2,1,2,80,0.2,1,500,3,52.4,65,95.6,478,32.2,161,121.9,86,5,67.4,337,974,348,5.4,15,2.04,2017,52.5,0.27,2.63
Randall Cobb,6216,WR,GB,15,6.1,5,77.6,38.5,5,13,1,2.9,2,-0.04,29,12,1,80.4,51.5,64.4,64.8,1,5,2,46,1.3,7,521,3,43.6,66,91.9,479,77.7,405,104.6,85,4,15.5,81,653,421,6.4,9.9,1.36,2017,88.3,0.19,2.32
Martavis Bryant,8753,WR,PIT,16,16.2,8,61.2,43.5,10,23,0,7.1,4,0.19,32,25,0,68.2,82.8,68.9,69.4,0.2,1,2,51,0,0,516,3,51.1,52,93.2,481,12,62,92.3,85,4,87.4,451,681,200,3.8,13.1,1.42,2017,47.9,0.22,2.18
Jordy Nelson,4350,WR,GB,15,11.1,3,63.1,13.3,2,15,0,3.6,2,-0.01,38,12,0,80.1,79.6,68.6,67.2,0.4,2,6,58,0,0,539,0,43.7,53,93.9,506,29.1,157,72.6,84,6,70.5,380,482,138,2.6,9.1,0.95,2017,154.7,0.18,2.42
Sterling Shepard,10674,WR,NYG,11,8.9,5,71.1,63.6,14,22,0,6.3,4,0.01,36,21,1,69.8,45.8,70.7,70.6,0.4,2,0,77,0,0,467,2,46.5,59,94,439,83.3,389,106,83,2,15.6,73,731,303,5.1,12.4,1.67,2017,180.5,0.19,2.62
JuJu Smith-Schuster,11817,WR,PIT,15,9.9,9,74.4,50,10,20,1,4.7,3,0.18,40,25,0,77.2,82.6,73.1,73.5,1.4,7,2,97,0,0,513,7,47.4,61,94.2,483,58.7,301,133.3,82,8,39.8,204,922,399,6.5,15.1,1.91,2017,296.9,0.31,2.65
Torrey Smith,6210,WR,PHI,19,13.3,1,59.8,44.4,8,18,0,12.5,7,0.17,19,24,0,43.3,79.5,56.7,56.8,0.2,1,1,59,0.2,1,542,1,46.2,49,94.5,512,17.2,93,88.8,82,3,82.7,448,587,189,3.9,12,1.15,2017,48,0.15,2.82
Adam Humphries,10075,WR,TB,16,6.9,6,74.4,56.3,9,16,0,6.2,4,0.09,34,30,1,70.3,50.3,63,62.4,0.6,3,0,43,0,0,534,0,48.9,61,93.4,499,82,438,100.2,82,1,16.5,88,631,300,4.9,10.3,1.26,2017,188.7,0.24,2.42
Kelvin Benjamin,8663,WR,BUF,15,11.9,3,61.3,44.8,13,29,0,9.3,5,0.03,31,4,0,57.4,79.2,69,68.7,0,0,2,43,0,0,425,2,42.9,49,95.5,406,17.9,76,91.7,80,3,82.1,349,701,148,3,14.3,1.73,2017,69,0.13,2.76
Paul Richardson,8680,WR,SEA,16,15.4,4,55,41.4,12,29,0,15.4,8,0.13,33,29,0,35.1,78.9,66.9,66.1,0.2,1,1,61,0,0,595,0,47.2,44,91.4,544,16.8,100,104.3,80,6,83,494,703,126,2.9,16,1.29,2017,59.1,0.16,2.69
Corey Davis,11760,WR,TEN,13,11.7,9,54.4,25,3,12,0,4.4,2,-0.04,24,31,1,76,31.2,63.2,64.7,0,0,3,37,0,0,436,0,43.1,43,94.3,411,11,48,65,79,2,89,388,473,150,3.5,11,1.15,2017,183.6,0.21,2.59
Keelan Cole Sr,51593,WR,JAX,19,13.8,4,57.7,40,8,20,0,6.3,3,-0.01,34,15,2,69.9,24.7,74,72,0,0,3,75,0,0,534,2,43.5,45,94.4,504,33.9,181,91.3,78,3,66.1,353,830,288,6.4,18.4,1.65,2017,93.1,0.14,2.45
Terrance Williams,7855,WR,DAL,16,9.3,4,70.7,47.1,8,17,0,8.6,5,-0.02,32,9,0,48,80.1,65.3,63.3,2.6,12,4,56,0,0,461,2,43.7,53,90.9,419,8.5,39,70.3,75,0,88.9,410,568,237,4.5,10.7,1.36,2017,3.8,0.1,1.9
Chris Hogan,6468,WR,NE,12,14,1,58.1,26.3,5,19,1,8.5,4,0.22,29,19,0,60,79.7,61.3,60.9,0.2,1,1,47,0,0,532,3,47.5,43,93,495,42.7,227,109.7,74,7,57,303,591,214,5,13.7,1.19,2017,106.2,0.13,3.03
Deonte Thompson,7513,WR,BUF,17,15.7,2,54.8,36.4,8,22,1,4.8,2,-0.05,26,4,0,73.9,43.2,63.6,62.2,0,0,5,46,0,0,462,6,43,40,94.6,437,17.7,82,61.3,73,2,82.3,380,578,102,2.6,14.5,1.32,2017,33.1,0.13,1.95
Josh Doctson,10656,WR,WAS,16,15.1,3,48.6,33.3,8,24,0,7.9,3,-0.04,25,32,0,62.1,77.5,62.5,62.5,0.4,2,2,52,0.2,1,470,2,42.9,35,97,456,20,94,87.8,72,6,79.6,374,502,131,3.7,14.3,1.1,2017,109.2,0.13,2.48
Sammy Watkins,8639,WR,LA,16,15.9,2,57.1,46.2,6,13,0,2.4,1,0.14,34,26,0,82.2,78.3,69.2,66.8,0,0,1,67,0.4,2,526,1,43.4,40,95.2,501,31.6,166,118.5,70,8,68.4,360,616,195,4.9,15.4,1.23,2017,115.1,0.25,2.56
Zay Jones,11792,WR,BUF,16,13.8,1,42,36.8,7,19,1,14.7,5,0.04,20,4,0,38.8,76.3,55,52.7,0,0,1,33,0.2,1,520,1,43.5,29,94.8,493,34,177,61,69,2,66,343,336,71,2.4,11.6,0.68,2017,163.2,0.17,2.86
Tyler Lockett,9502,WR,SEA,16,13.1,2,66.2,42.9,6,14,0,2.2,1,0.15,23,29,0,86.5,90.5,67.3,67.2,0.4,2,1,74,0.2,1,519,2,48.5,45,92.7,481,52.6,273,94.9,68,2,46.6,242,555,188,4.2,12.3,1.15,2017,220.4,0.24,3.15
Tyrell Williams,10154,WR,LAC,16,14.3,6,63.2,28.6,4,14,0,12.2,6,0.19,29,27,1,47.6,32.9,62.1,62.4,0,0,2,75,0.2,1,553,3,47.4,43,94,520,38.2,211,106.7,68,4,61.8,342,728,337,7.8,16.9,1.4,2017,137.8,0.18,3.2
Pierre Garcon,4519,WR,SF,8,10.1,4,61.5,41.7,5,12,0,0,0,-0.12,25,28,0,90.2,78.3,77.5,76.3,0,0,1,59,0,0,293,1,38.7,40,95.2,279,23.9,70,79,65,0,75.8,222,500,177,4.4,12.5,1.79,2017,58.6,0.15,2.44
Seth Roberts,9079,WR,OAK,15,10,1,66.2,21.4,3,14,0,8.5,4,0.02,22,23,2,54.6,23.6,54,54.6,0.8,4,2,29,0,0,514,7,44.6,43,93,478,82.3,423,78.7,65,1,16.9,87,455,108,2.5,10.6,0.95,2017,106.9,0.19,2.23
Allen Hurns,8931,WR,JAX,13,10.3,4,71.9,50,5,10,0,4.2,2,0.01,33,15,0,77.1,78.8,73.9,72.7,0.3,1,3,50,0.3,1,392,1,44.9,46,95.2,373,77,302,90.4,64,2,22.7,89,576,202,4.4,12.5,1.54,2017,61.5,0.14,3.08
Jaron Brown,8128,WR,ARZ,16,16.2,0,48.4,27.8,5,18,0,3.1,1,-0.11,23,1,0,78.9,77,59.4,57.9,0.5,3,1,52,0.5,3,569,2,41.1,31,92.8,528,26.2,149,87.8,64,4,72.8,414,477,96,3.1,15.4,0.9,2017,60.6,0.17,4.33
Ryan Grant,8777,WR,WAS,16,9.9,6,71.4,61.5,8,13,1,6.3,3,0.02,29,32,0,69.9,78.9,69.2,68.5,1.2,5,3,40,0,0,403,1,45.2,45,97.3,392,35,141,100.8,63,4,63.5,256,573,240,5.3,12.7,1.46,2017,74.4,0.13,2.13
Travis Benjamin,7100,WR,LAC,16,16.3,6,54,27.3,3,11,0,10.5,4,0.27,20,27,0,53.7,88.7,66.8,66.5,0,0,4,62,0,0,401,0,50.7,34,94.5,379,36.4,146,79.3,63,4,63.3,254,567,215,6.3,16.7,1.5,2017,40.7,0.15,2.14
