player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,year,AVG,fantasyPts,ptsPerSnap,ptsPerTouch
Sammy Watkins,8639,WR,KC,17,10.5,13,62.9,40.0,8,20,1,5.7,4,0.32,42,16,2,73.1,27.1,71.6,80.8,69.5,0.9,6,0,68,0.8,5,646,3,53.3,66,90.6,585,53.1,343,105.3,105,4,46.0,297,961,385,5.8,14.6,1.64,2019,154.9,91.4,0.17,2.41
Emmanuel Sanders,5606,WR,SF,20,11.6,7,68.3,47.4,9,19,0,1.4,1,0.09,45,28,0,90.4,81.7,77.0,62.4,77.9,0.3,2,7,75,0.2,1,595,8,46.8,71,93.4,556,35.1,209,84.6,104,5,64.0,381,940,244,3.4,13.2,1.69,2019,108.1,164.8,0.29,2.66
Larry Fitzgerald,1724,WR,ARZ,16,8.0,6,72.1,52.0,13,25,0,0.0,0,0.02,40,1,1,90.5,82.0,70.3,64.4,71.6,0.6,4,4,54,0.8,5,619,2,45.3,75,92.7,574,86.6,536,91.2,104,4,12.8,79,804,362,4.8,10.7,1.4,2019,190.5,100.9,0.14,1.87
Curtis Samuel,11795,WR,CAR,16,14.8,3,52.4,30.0,6,20,0,11.5,7,-0.05,36,5,0,47.6,82.6,62.7,65.7,63.0,0.0,0,1,44,0.1,1,672,2,45.1,54,96.3,647,28.7,193,86.5,103,6,70.7,475,627,159,2.9,11.6,0.97,2019,144.5,212.1,0.32,1.8
Stefon Diggs,9579,WR,MIN,17,15.6,5,67.7,52.6,10,19,0,9.5,7,0.14,45,18,4,69.0,23.9,78.3,,77.6,0.0,0,5,66,0.0,0,521,4,45.6,67,92.9,484,16.1,84,111.8,99,7,83.7,436,1208,344,5.1,18.0,2.5,2019,65.2,328.6,0.34,2.57
Christian Kirk,47546,WR,ARZ,13,9.7,4,68.7,31.3,5,16,0,4.2,3,-0.05,31,1,0,80.3,85.1,62.5,66.2,62.0,0.0,0,1,69,0.2,1,539,2,43.1,68,93.3,503,41.6,224,95.1,99,3,57.9,312,709,296,4.4,10.4,1.41,2019,89.0,146.4,0.19,2.93
Danny Amendola,4717,WR,DET,15,8.8,4,66.0,38.5,5,13,0,7.5,5,-0.03,36,11,0,66.6,84.9,71.5,,70.7,0.2,1,2,47,0.0,0,482,1,42.4,62,93.4,450,77.0,371,81.8,94,1,21.6,104,678,223,3.6,10.9,1.51,2019,244.8,106.4,0.23,2.26
AJ Brown,48327,WR,TEN,19,13.2,18,61.3,29.2,7,24,2,6.6,4,0.07,42,31,1,69.4,44.4,81.8,66.2,80.9,0.0,0,2,91,0.2,1,487,4,47.0,57,94.7,461,12.5,61,122.8,93,8,87.5,426,1115,498,8.7,19.6,2.42,2019,40.8,243.5,0.32,3.48
Robbie Chosen,11254,WR,NYJ,16,15.8,4,56.5,47.6,10,21,0,5.5,3,-0.12,35,22,1,75.5,42.4,68.7,,68.6,0.0,0,3,92,0.0,0,615,3,40.0,52,92.5,569,19.5,120,89.0,92,5,80.5,495,779,183,3.5,15.0,1.37,2019,148.0,224.1,0.28,2.26
Terry McLaurin,48229,WR,WAS,14,14.6,7,63.7,60.0,15,25,0,10.8,7,-0.07,43,32,0,51.9,80.4,85.7,,86.5,0.0,0,1,75,0.0,0,485,1,45.7,58,92.6,449,23.5,114,118.3,91,7,76.5,371,919,222,3.8,15.8,2.05,2019,51.2,225.8,0.24,2.54
