player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,year,AVG,fantasyPts,ptsPerSnap,ptsPerTouch
Damiere Byrd,9964,WR,ARZ,11,10.0,5,71.1,57.1,4,7,0,3.0,1,-0.03,16,1,1,79.4,78.5,64.4,,64.0,0.0,0,1,58,0.0,0,326,2,42.0,32,96.3,314,5.2,17,92.7,45,1,94.5,308,359,152,4.8,11.2,1.14,2019,288.9,114.9,0.13,2.34
Greg Ward,12258,WR,PHI,7,7.6,2,70.5,37.5,3,8,0,3.1,1,0.09,20,24,0,68.8,84.1,73.1,,71.3,0.0,0,0,38,0.0,0,240,0,50.0,31,95.0,228,61.3,147,94.7,44,1,38.3,92,278,113,3.6,9.0,1.22,2019,240.8,130.5,0.16,2.37
Mecole Hardman,42683,WR,KC,19,9.2,8,71.4,66.7,4,6,1,3.2,1,0.28,19,16,0,79.4,47.2,68.1,,68.7,0.8,3,0,83,0.0,0,377,1,48.9,30,88.3,333,50.1,189,153.3,42,6,48.5,183,567,332,11.1,18.9,1.7,2019,104.1,124.1,0.25,2.76
KeeSean Johnson,39587,WR,ARZ,10,10.2,1,52.5,16.7,1,6,0,12.5,3,0.08,10,1,1,50.8,25.6,53.5,,53.4,0.0,0,1,31,0.0,0,256,2,43.6,21,94.1,241,5.1,13,63.2,40,1,94.9,243,187,49,2.3,8.9,0.78,2019,350.0,32.3,0.15,2.15
Josh Reynolds,11872,WR,LA,16,11.4,7,53.8,27.3,3,11,0,8.7,2,0.14,15,26,0,61.3,76.7,65.9,75.6,65.6,0.7,2,1,31,1.4,4,290,1,48.1,21,91.0,264,31.7,92,79.6,39,1,67.6,196,326,143,6.8,15.5,1.23,2019,214.1,126.3,0.16,2.38
Tajae Sharpe,10774,WR,TEN,18,14.9,0,68.4,50.0,4,8,0,0.0,0,0.16,21,31,0,86.1,75.7,72.3,71.3,72.3,0.0,0,1,47,0.7,2,280,1,48.3,26,93.2,261,30.4,85,120.0,38,4,69.6,195,335,62,2.4,12.9,1.28,2019,276.5,0.0,0.0,
David Moore,11981,WR,SEA,16,15.7,7,50.0,22.2,2,9,0,5.0,1,0.37,16,29,1,70.5,46.6,67.4,,67.6,0.0,0,1,60,0.0,0,246,3,52.8,19,93.1,229,26.4,65,89.6,38,2,73.6,181,358,170,8.9,18.8,1.56,2019,295.5,118.8,0.25,2.76
Keelan Cole Sr,51593,WR,JAX,16,12.1,0,66.7,66.7,4,6,0,4.0,1,-0.07,19,15,0,62.3,77.2,66.5,,68.2,0.4,1,1,55,0.0,0,275,2,40.7,24,93.8,258,52.0,143,115.6,36,3,47.6,131,361,105,4.4,15.0,1.4,2019,343.0,149.4,0.19,2.67
Isaiah Ford,11991,WR,MIA,8,8.2,3,65.7,54.5,6,11,0,8.0,2,0.09,16,17,0,61.5,75.8,68.9,39.9,67.8,0.6,1,2,28,0.0,0,159,0,51.7,23,93.1,148,35.8,57,62.1,35,0,63.5,101,244,86,3.7,10.6,1.65,2019,357.0,55.6,0.15,1.99
Keke Coutee,47698,WR,HST,9,7.6,3,62.9,0.0,0,2,0,12.0,3,-0.06,10,13,1,40.4,26.0,53.1,,52.3,0.4,1,2,51,0.0,0,243,0,48.7,22,94.7,230,72.0,175,60.9,35,0,27.2,66,254,138,6.3,11.5,1.1,2019,279.9,91.0,0.31,2.76
Jakeem Grant Sr,10820,WR,MIA,10,12.1,1,57.6,50.0,1,2,1,9.5,2,-0.23,9,17,0,59.2,84.1,62.1,,64.4,0.6,1,2,18,0.0,0,159,2,42.6,19,93.1,148,40.3,64,45.5,33,0,57.2,91,164,93,4.9,8.6,1.11,2019,369.0,81.3,0.22,2.08
N'Keal Harry,48297,WR,NE,8,11.6,4,45.2,33.3,3,9,1,17.6,3,-0.11,9,19,0,38.1,75.5,65.1,,62.8,0.0,0,1,18,0.0,0,162,1,36.9,14,92.0,149,11.7,19,64.7,31,2,87.7,142,126,48,3.4,9.0,0.85,2019,164.5,75.9,0.13,2.17
Vyncint Smith,66957,WR,NYJ,13,11.9,2,58.6,33.3,2,6,0,10.5,2,-0.24,11,22,0,57.1,21.7,62.4,,62.6,0.0,0,3,37,0.0,0,183,0,40.0,17,92.9,170,25.7,47,43.7,29,0,74.3,136,225,109,6.4,13.2,1.32,2019,381.0,2.3,0.05,2.3
Miles Boykin,48209,WR,BLT,17,16.7,0,55.2,40.0,2,5,1,11.1,2,0.11,11,3,0,53.1,73.3,58.9,,57.4,0.0,0,1,50,0.0,0,244,3,46.1,16,94.3,230,8.6,21,100.4,29,3,91.4,223,224,19,1.2,14.0,0.97,2019,217.2,69.6,0.13,3.66
Tre'Quan Smith,48228,WR,NO,12,10.3,7,69.2,42.9,3,7,0,5.3,1,0.17,17,20,0,69.9,74.1,63.3,76.5,60.3,1.5,5,1,32,0.9,3,339,3,52.7,18,92.6,314,60.8,206,120.8,26,5,37.5,127,234,113,6.3,13.0,0.75,2019,238.1,103.1,0.15,2.95
Justin Watson,66915,WR,TB,8,13.0,0,60.0,66.7,4,6,0,11.8,2,-0.08,10,30,0,51.2,77.5,63.9,66.3,62.5,1.3,2,2,17,0.7,1,153,0,47.6,15,95.4,146,49.0,75,71.9,25,2,49.7,76,159,15,1.0,10.6,1.09,2019,297.9,16.4,0.1,2.34
Dante Pettis,48113,WR,SF,11,8.8,2,47.8,0.0,0,4,0,8.3,1,0.06,7,28,0,60.2,72.0,56.4,,54.5,0.0,0,2,21,0.0,0,158,1,49.0,11,94.9,150,43.0,68,54.4,23,2,56.3,89,109,26,2.4,9.9,0.73,2019,263.2,17.6,0.15,4.4
JJ Arcega-Whiteside,35014,WR,PHI,15,18.1,0,52.6,28.6,2,7,0,9.1,1,0.0,7,24,0,61.8,71.9,54.6,,53.3,0.0,0,1,30,0.0,0,331,2,47.8,10,94.3,312,12.7,42,78.6,19,1,87.3,289,169,19,1.9,16.9,0.54,2019,236.7,12.5,0.09,3.13
Julio Jones,6158,WR,ATL,18,13.9,13,63.1,34.7,17,49,1,8.6,10,0.24,79,2,0,58.0,84.1,91.8,,91.5,0.0,0,3,53,0.0,0,562,2,50.6,106,95.9,539,22.2,125,95.8,168,4,77.6,436,1639,549,5.2,15.5,3.04,2017,14.0,329.9,0.4,2.87
Antonio Brown,5718,WR,PIT,15,14.4,12,65.1,53.3,24,45,0,4.4,5,0.17,74,25,3,79.7,28.7,91.3,,91.3,0.2,1,6,57,0.0,0,627,6,48.8,108,93.5,586,12.4,78,105.1,166,11,87.4,548,1665,502,4.6,15.4,2.84,2017,5.3,323.7,0.32,3.11
DeAndre Hopkins,7808,WR,HST,15,14.0,4,58.5,31.3,15,48,1,5.0,5,-0.01,69,13,1,80.4,57.1,90.2,,90.3,0.0,0,6,72,0.0,0,631,6,43.4,96,91.3,576,15.7,99,97.1,164,13,84.0,530,1378,346,3.6,14.4,2.39,2017,9.3,337.5,0.31,2.91
Michael Thomas,10681,WR,NO,18,10.1,17,73.9,55.3,21,38,2,2.5,3,0.24,82,20,0,90.7,84.7,91.4,,91.6,0.0,0,4,46,0.0,0,621,4,52.2,119,95.7,594,24.8,154,105.6,161,7,75.2,467,1461,515,4.3,12.3,2.46,2017,15.7,319.5,0.34,2.56
Jarvis Landry,8698,WR,MIA,16,6.3,17,71.8,48.3,14,29,2,5.9,7,-0.08,59,17,3,76.6,29.0,79.5,62.2,80.2,0.6,4,4,49,0.2,1,629,7,43.2,112,95.4,600,65.2,410,96.8,156,9,33.5,211,987,523,4.7,8.8,1.65,2017,42.0,214.6,0.22,2.55
Larry Fitzgerald,1724,WR,ARZ,16,8.5,9,71.2,45.0,18,40,1,3.5,4,-0.11,66,1,1,90.4,60.3,80.0,74.5,78.8,1.3,9,1,37,0.4,3,702,2,40.4,109,92.6,650,61.8,434,103.3,153,6,36.6,257,1156,418,3.8,10.6,1.78,2017,36.7,178.4,0.2,2.59
Adam Thielen,8288,WR,MIN,18,11.1,8,65.8,47.4,18,38,0,4.8,5,0.15,63,18,3,76.9,27.4,82.4,66.8,80.1,0.7,5,3,65,0.3,2,694,4,47.7,100,92.4,641,48.7,338,95.2,152,4,50.4,350,1378,436,4.4,13.8,2.15,2017,30.7,307.3,0.3,2.6
Keenan Allen,7857,WR,LAC,16,9.9,13,69.4,50.0,14,28,2,9.7,11,0.24,74,27,1,54.2,58.7,89.3,67.4,89.7,0.3,2,2,51,0.3,2,583,7,48.8,102,93.8,547,49.2,287,107.3,147,6,49.7,290,1393,523,5.1,13.7,2.55,2017,16.7,260.1,0.33,2.45
Mike Evans,8642,WR,TB,15,14.6,2,53.8,42.6,23,54,2,5.3,4,0.09,55,30,1,77.0,81.7,79.3,,78.7,0.0,0,5,42,0.0,0,628,6,49.6,71,94.1,591,21.0,132,75.3,132,5,79.0,496,1001,108,1.5,14.1,1.69,2017,23.7,286.4,0.31,3.33
Alshon Jeffery,7048,WR,PHI,19,14.9,4,52.7,42.6,23,54,2,4.2,3,0.24,55,24,0,81.8,81.5,77.3,,77.7,0.0,0,2,53,0.0,0,691,7,48.1,69,94.2,651,15.2,105,102.2,131,12,84.8,586,1008,247,3.6,14.6,1.55,2017,74.0,185.3,0.24,2.85
Brandin Cooks,8655,WR,NE,19,16.2,6,59.1,29.0,9,31,1,9.6,8,0.25,51,19,0,60.6,83.0,70.7,62.2,71.5,0.0,0,2,64,0.1,1,771,6,49.7,75,92.5,713,17.9,138,103.7,127,7,82.1,633,1237,268,3.6,16.5,1.73,2017,45.0,243.2,0.25,2.7
Golden Tate,5585,WR,DET,16,6.2,22,78.6,57.1,8,14,0,4.2,4,0.08,44,11,1,83.2,59.9,82.9,,82.4,0.2,1,5,71,0.0,0,575,2,47.3,92,92.3,531,79.0,454,98.8,117,5,20.9,120,1003,631,6.9,10.9,1.89,2017,49.0,180.9,0.3,2.32
Devin Funchess,9474,WR,CAR,17,14.0,4,57.3,48.6,17,35,0,4.3,3,0.05,44,5,0,68.5,81.2,72.2,68.1,72.0,0.3,2,4,44,0.2,1,593,2,44.1,67,94.3,559,20.2,120,91.1,117,8,79.4,471,919,292,4.4,13.7,1.64,2017,82.0,122.9,0.2,2.79
Stefon Diggs,9579,WR,MIN,16,11.3,9,68.4,64.3,18,28,1,6.0,5,0.15,52,18,0,79.5,83.2,82.6,,84.0,1.1,6,2,61,0.0,0,571,4,47.1,78,92.6,529,23.1,132,116.7,114,9,75.7,432,1056,380,4.9,13.5,2.0,2017,30.0,264.3,0.3,2.36
Tyreek Hill,10799,WR,KC,16,11.5,10,72.6,56.3,9,16,1,7.9,7,0.2,43,16,0,64.1,88.6,79.9,61.6,82.8,0.2,1,1,79,0.2,1,574,3,48.1,82,94.6,543,36.2,208,126.3,113,7,59.8,343,1270,525,6.4,15.5,2.34,2017,25.3,328.0,0.36,3.01
Doug Baldwin,6615,WR,SEA,16,13.3,8,67.0,22.7,5,22,1,1.3,1,0.08,44,29,0,90.5,81.8,84.4,79.6,83.3,4.0,24,4,54,0.8,5,601,2,45.3,75,90.3,543,72.2,434,103.7,112,8,23.5,141,991,260,3.5,13.2,1.83,2017,34.3,141.8,0.2,2.84
Robbie Chosen,11254,WR,NYJ,16,13.6,5,56.8,30.8,8,26,1,8.7,6,0.0,36,22,0,60.3,80.9,71.4,,72.6,0.0,0,5,69,0.0,0,520,3,43.7,63,94.6,492,28.1,146,87.0,111,7,71.5,372,941,285,4.5,14.9,1.91,2017,91.3,160.4,0.24,3.08
Danny Amendola,4717,WR,NE,18,8.9,5,78.4,56.3,9,16,1,4.4,4,0.25,56,19,1,77.2,69.4,77.4,,77.0,0.2,1,1,50,0.0,0,553,3,49.9,87,92.0,509,81.4,450,112.7,111,4,17.9,99,1007,321,3.7,11.6,1.98,2017,199.3,122.3,0.18,2.04
Davante Adams,8688,WR,GB,14,10.0,14,68.5,45.5,10,22,0,6.3,5,0.04,45,12,0,65.0,81.6,80.5,,79.4,0.4,2,1,55,0.0,0,538,0,46.2,74,93.7,504,19.1,103,120.3,108,10,80.5,433,885,345,4.7,12.0,1.76,2017,19.0,327.6,0.34,2.95
Nelson Agholor,9453,WR,PHI,19,9.8,8,71.3,45.5,10,22,0,7.2,6,0.2,43,24,0,66.5,82.5,74.9,65.7,74.0,0.7,4,2,72,0.2,1,601,0,47.9,77,94.7,569,86.2,518,114.5,108,8,12.0,72,935,404,5.2,12.1,1.64,2017,95.7,164.8,0.17,2.46
Cooper Kupp,11824,WR,LA,16,9.6,16,67.3,40.0,4,10,1,9.1,7,0.13,46,26,1,57.1,49.0,78.1,77.7,78.2,0.0,0,1,64,2.0,10,504,3,44.0,70,93.5,471,58.9,297,111.0,104,6,40.7,205,938,379,5.4,13.4,1.99,2017,84.0,135.1,0.31,3.07
TY Hilton,7092,WR,IND,16,13.7,2,55.9,25.0,6,24,1,6.6,4,-0.07,37,14,2,69.0,25.5,68.9,,69.2,0.0,0,4,80,0.0,0,585,5,40.7,57,94.9,555,36.6,214,84.8,102,4,63.4,371,966,295,5.2,16.9,1.74,2017,27.7,239.0,0.31,3.14
Kenny Stills,7926,WR,MIA,16,15.3,5,57.4,37.5,9,24,1,4.9,3,-0.11,35,17,4,76.4,18.5,59.9,,62.5,0.0,0,5,61,0.0,0,649,9,42.8,58,95.7,621,46.5,302,84.1,101,6,53.5,347,847,162,2.8,14.6,1.36,2017,109.3,128.3,0.17,3.47
Michael Crabtree,4933,WR,OAK,14,11.0,7,58.6,44.8,13,29,2,9.4,6,0.04,35,23,1,59.2,43.9,72.0,,71.7,0.0,0,2,41,0.0,0,413,7,45.1,58,92.3,381,20.8,86,95.4,99,8,78.7,325,618,196,3.4,10.7,1.62,2017,66.7,132.7,0.17,2.46
Marquise Goodwin,7859,WR,SF,16,16.0,6,56.6,50.0,11,22,1,9.7,6,0.09,46,28,0,48.3,80.5,77.1,,76.5,0.0,0,2,83,0.0,0,508,5,47.0,56,97.2,494,25.2,128,88.0,99,2,74.4,378,962,193,3.4,17.2,1.95,2017,60.7,87.4,0.2,3.24
Jermaine Kearse,7428,WR,NYJ,16,9.5,4,67.7,40.0,10,25,1,4.4,3,0.0,37,22,1,80.6,47.3,69.7,72.2,69.4,0.7,4,3,51,0.4,2,567,3,43.2,65,93.5,530,51.1,290,98.0,96,5,48.1,273,810,302,4.6,12.5,1.53,2017,258.7,80.1,0.13,2.16
Jamison Crowder,9538,WR,WAS,15,7.6,4,68.8,53.8,7,13,0,9.6,7,0.0,37,32,1,55.0,41.7,72.7,67.8,72.5,1.1,5,4,41,0.4,2,468,0,45.1,66,96.8,453,74.4,348,86.7,96,3,24.1,113,789,363,5.5,12.0,1.74,2017,85.0,82.8,0.19,2.51
DeVante Parker,9447,WR,MIA,13,12.6,8,60.0,45.2,14,31,0,6.6,4,-0.08,33,17,1,69.2,41.8,69.5,,68.7,0.2,1,6,36,0.0,0,475,0,43.7,57,96.4,458,19.4,92,58.7,95,1,80.4,382,670,201,3.5,11.8,1.46,2017,123.7,60.9,0.15,2.54
Robert Woods,7822,WR,LA,13,11.3,6,69.1,40.0,4,10,0,4.4,3,0.19,43,26,1,78.6,46.1,81.0,81.5,79.7,1.4,6,0,94,1.2,5,428,5,42.5,65,94.6,405,31.8,136,118.4,94,5,66.8,286,923,313,4.8,14.2,2.28,2017,86.3,265.6,0.26,2.53
Rishard Matthews,7211,WR,TEN,16,12.2,7,61.3,47.4,9,19,0,6.6,4,-0.04,39,31,0,63.0,80.3,71.9,,70.9,0.4,2,6,75,0.0,0,568,0,43.5,57,94.7,538,32.7,186,78.1,93,4,66.9,380,837,285,5.0,14.7,1.56,2017,157.7,7.4,0.05,1.48
Amari Cooper,9437,WR,OAK,14,11.8,6,53.3,14.3,3,21,0,17.2,10,0.0,28,23,1,29.7,52.4,63.6,,62.9,0.2,1,5,87,0.0,0,473,2,43.3,48,93.2,441,22.0,104,80.8,90,7,77.4,366,680,300,6.3,14.2,1.54,2017,35.3,219.5,0.26,2.85
DeSean Jackson,4363,WR,TB,14,16.3,1,57.5,31.6,6,19,0,2.0,1,0.08,36,30,0,86.6,79.9,76.8,,76.8,0.0,0,4,41,0.0,0,465,0,48.2,50,93.8,436,20.0,93,74.3,87,3,79.8,371,668,190,3.8,13.4,1.53,2017,173.7,151.3,0.33,3.22
Ted Ginn,3625,WR,NO,17,13.2,3,75.6,44.4,8,18,0,4.4,3,0.27,38,20,0,79.5,63.7,71.9,66.1,72.9,0.2,1,2,80,0.2,1,500,3,52.4,65,95.6,478,32.2,161,121.9,86,5,67.4,337,974,348,5.4,15.0,2.04,2017,183.3,52.5,0.27,2.63
Randall Cobb,6216,WR,GB,15,6.1,5,77.6,38.5,5,13,1,2.9,2,-0.04,29,12,1,80.4,51.5,64.4,76.0,64.8,1.0,5,2,46,1.3,7,521,3,43.6,66,91.9,479,77.7,405,104.6,85,4,15.5,81,653,421,6.4,9.9,1.36,2017,98.7,88.3,0.19,2.32
Jordy Nelson,4350,WR,GB,15,11.1,3,63.1,13.3,2,15,0,3.6,2,-0.01,38,12,0,80.1,79.6,68.6,,67.2,0.4,2,6,58,0.0,0,539,0,43.7,53,93.9,506,29.1,157,72.6,84,6,70.5,380,482,138,2.6,9.1,0.95,2017,103.0,154.7,0.18,2.42
Sterling Shepard,10674,WR,NYG,11,8.9,5,71.1,63.6,14,22,0,6.3,4,0.01,36,21,1,69.8,45.8,70.7,,70.6,0.4,2,0,77,0.0,0,467,2,46.5,59,94.0,439,83.3,389,106.0,83,2,15.6,73,731,303,5.1,12.4,1.67,2017,106.0,180.5,0.19,2.62
JuJu Smith-Schuster,11817,WR,PIT,15,9.9,9,74.4,50.0,10,20,1,4.7,3,0.18,40,25,0,77.2,82.6,73.1,,73.5,1.4,7,2,97,0.0,0,513,7,47.4,61,94.2,483,58.7,301,133.3,82,8,39.8,204,922,399,6.5,15.1,1.91,2017,42.3,296.9,0.31,2.65
Torrey Smith,6210,WR,PHI,19,13.3,1,59.8,44.4,8,18,0,12.5,7,0.17,19,24,0,43.3,79.5,56.7,65.9,56.8,0.2,1,1,59,0.2,1,542,1,46.2,49,94.5,512,17.2,93,88.8,82,3,82.7,448,587,189,3.9,12.0,1.15,2017,285.7,48.0,0.15,2.82
Adam Humphries,10075,WR,TB,16,6.9,6,74.4,56.3,9,16,0,6.2,4,0.09,34,30,1,70.3,50.3,63.0,,62.4,0.6,3,0,43,0.0,0,534,0,48.9,61,93.4,499,82.0,438,100.2,82,1,16.5,88,631,300,4.9,10.3,1.26,2017,314.5,188.7,0.24,2.42
Kelvin Benjamin,8663,WR,BUF,15,11.9,3,61.3,44.8,13,29,0,9.3,5,0.03,31,4,0,57.4,79.2,69.0,,68.7,0.0,0,2,43,0.0,0,425,2,42.9,49,95.5,406,17.9,76,91.7,80,3,82.1,349,701,148,3.0,14.3,1.73,2017,113.0,69.0,0.13,2.76
Corey Davis,11760,WR,TEN,13,11.7,9,54.4,25.0,3,12,0,4.4,2,-0.04,24,31,1,76.0,31.2,63.2,,64.7,0.0,0,3,37,0.0,0,436,0,43.1,43,94.3,411,11.0,48,65.0,79,2,89.0,388,473,150,3.5,11.0,1.15,2017,62.0,183.6,0.21,2.59
Keelan Cole Sr,51593,WR,JAX,19,13.8,4,57.7,40.0,8,20,0,6.3,3,-0.01,34,15,2,69.9,24.7,74.0,,72.0,0.0,0,3,75,0.0,0,534,2,43.5,45,94.4,504,33.9,181,91.3,78,3,66.1,353,830,288,6.4,18.4,1.65,2017,142.7,93.1,0.14,2.45
Terrance Williams,7855,WR,DAL,16,9.3,4,70.7,47.1,8,17,0,8.6,5,-0.02,32,9,0,48.0,80.1,65.3,,63.3,2.6,12,4,56,0.0,0,461,2,43.7,53,90.9,419,8.5,39,70.3,75,0,88.9,410,568,237,4.5,10.7,1.36,2017,263.0,3.8,0.1,1.9
Chris Hogan,6468,WR,NE,12,14.0,1,58.1,26.3,5,19,1,8.5,4,0.22,29,19,0,60.0,79.7,61.3,,60.9,0.2,1,1,47,0.0,0,532,3,47.5,43,93.0,495,42.7,227,109.7,74,7,57.0,303,591,214,5.0,13.7,1.19,2017,56.7,106.2,0.13,3.03
Deonte Thompson,7513,WR,BUF,17,15.7,2,54.8,36.4,8,22,1,4.8,2,-0.05,26,4,0,73.9,43.2,63.6,,62.2,0.0,0,5,46,0.0,0,462,6,43.0,40,94.6,437,17.7,82,61.3,73,2,82.3,380,578,102,2.6,14.5,1.32,2017,361.0,33.1,0.13,1.95
Josh Doctson,10656,WR,WAS,16,15.1,3,48.6,33.3,8,24,0,7.9,3,-0.04,25,32,0,62.1,77.5,62.5,60.5,62.5,0.4,2,2,52,0.2,1,470,2,42.9,35,97.0,456,20.0,94,87.8,72,6,79.6,374,502,131,3.7,14.3,1.1,2017,150.7,109.2,0.13,2.48
Sammy Watkins,8639,WR,LA,16,15.9,2,57.1,46.2,6,13,0,2.4,1,0.14,34,26,0,82.2,78.3,69.2,74.7,66.8,0.0,0,1,67,0.4,2,526,1,43.4,40,95.2,501,31.6,166,118.5,70,8,68.4,360,616,195,4.9,15.4,1.23,2017,78.7,115.1,0.25,2.56
Zay Jones,11792,WR,BUF,16,13.8,1,42.0,36.8,7,19,1,14.7,5,0.04,20,4,0,38.8,76.3,55.0,66.2,52.7,0.0,0,1,33,0.2,1,520,1,43.5,29,94.8,493,34.0,177,61.0,69,2,66.0,343,336,71,2.4,11.6,0.68,2017,282.7,163.2,0.17,2.86
Tyler Lockett,9502,WR,SEA,16,13.1,2,66.2,42.9,6,14,0,2.2,1,0.15,23,29,0,86.5,90.5,67.3,68.1,67.2,0.4,2,1,74,0.2,1,519,2,48.5,45,92.7,481,52.6,273,94.9,68,2,46.6,242,555,188,4.2,12.3,1.15,2017,146.0,220.4,0.24,3.15
Tyrell Williams,10154,WR,LAC,16,14.3,6,63.2,28.6,4,14,0,12.2,6,0.19,29,27,1,47.6,32.9,62.1,66.4,62.4,0.0,0,2,75,0.2,1,553,3,47.4,43,94.0,520,38.2,211,106.7,68,4,61.8,342,728,337,7.8,16.9,1.4,2017,177.3,137.8,0.18,3.2
Seth Roberts,9079,WR,OAK,15,10.0,1,66.2,21.4,3,14,0,8.5,4,0.02,22,23,2,54.6,23.6,54.0,,54.6,0.8,4,2,29,0.0,0,514,7,44.6,43,93.0,478,82.3,423,78.7,65,1,16.9,87,455,108,2.5,10.6,0.95,2017,453.0,106.9,0.19,2.23
Allen Hurns,8931,WR,JAX,13,10.3,4,71.9,50.0,5,10,0,4.2,2,0.01,33,15,0,77.1,78.8,73.9,65.7,72.7,0.3,1,3,50,0.3,1,392,1,44.9,46,95.2,373,77.0,302,90.4,64,2,22.7,89,576,202,4.4,12.5,1.54,2017,130.3,61.5,0.14,3.08
Jaron Brown,8128,WR,ARZ,16,16.2,0,48.4,27.8,5,18,0,3.1,1,-0.11,23,1,0,78.9,77.0,59.4,42.1,57.9,0.5,3,1,52,0.5,3,569,2,41.1,31,92.8,528,26.2,149,87.8,64,4,72.8,414,477,96,3.1,15.4,0.9,2017,267.0,60.6,0.17,4.33
Travis Benjamin,7100,WR,LAC,16,16.3,6,54.0,27.3,3,11,0,10.5,4,0.27,20,27,0,53.7,88.7,66.8,,66.5,0.0,0,4,62,0.0,0,401,0,50.7,34,94.5,379,36.4,146,79.3,63,4,63.3,254,567,215,6.3,16.7,1.5,2017,283.7,40.7,0.15,2.14
Dede Westbrook,11865,WR,JAX,10,12.4,4,54.0,33.3,5,15,0,10.5,4,0.11,20,15,1,52.5,28.9,62.1,,61.2,0.0,0,1,29,0.0,0,322,3,47.7,34,95.7,308,11.5,37,73.8,63,1,88.5,285,424,121,3.6,12.5,1.38,2017,164.7,177.5,0.22,2.37
Trent Taylor,11932,WR,SF,15,6.9,4,72.9,66.7,8,12,0,8.5,4,-0.01,28,28,0,61.2,32.2,68.4,69.6,66.6,0.0,0,3,33,0.5,2,384,2,42.4,43,94.3,362,76.6,294,83.3,59,2,22.1,85,430,190,4.4,10.0,1.19,2017,283.7,53.5,0.17,2.06
JJ Nelson,9592,WR,ARZ,16,19.2,2,49.2,42.1,8,19,0,19.4,7,-0.13,21,1,1,28.3,28.1,59.0,,58.2,0.0,0,5,46,0.0,0,386,1,40.7,29,94.3,364,26.4,102,54.9,59,2,73.6,284,508,60,2.1,17.5,1.4,2017,303.0,13.4,0.06,1.22
Cole Beasley,7330,WR,DAL,15,7.9,1,63.2,37.5,3,8,0,5.3,2,-0.02,20,9,0,72.7,78.8,59.9,,59.3,0.2,1,2,54,0.0,0,413,0,46.8,36,89.6,370,86.9,359,86.4,57,4,11.9,49,314,116,3.2,8.7,0.85,2017,239.0,150.2,0.21,2.31
Chris Godwin,11839,WR,TB,16,13.2,8,63.0,57.9,11,19,0,5.6,2,0.09,27,30,0,70.5,77.5,81.9,,80.3,1.5,4,2,70,0.0,0,274,0,50.6,34,94.5,259,19.3,53,85.8,54,1,79.2,217,525,173,5.1,15.4,2.03,2017,157.0,185.2,0.26,3.14
Taylor Gabriel,9002,WR,ATL,18,9.5,5,68.6,44.4,4,9,0,2.8,1,0.09,17,2,0,80.4,79.2,63.7,,64.0,0.0,0,1,40,0.0,0,381,1,47.2,35,95.0,362,15.2,58,88.8,51,1,84.8,323,382,232,6.6,10.9,1.06,2017,264.0,153.9,0.19,2.02
John Brown,8726,WR,ARZ,10,16.9,0,41.2,35.3,6,17,0,12.5,3,-0.05,15,1,0,38.7,75.2,58.0,,58.8,0.0,0,2,52,0.0,0,340,1,41.8,21,91.5,311,45.9,156,64.1,51,3,54.1,184,299,60,2.9,14.2,0.96,2017,156.3,143.9,0.19,3.2
Bruce Ellington,8741,WR,HST,11,9.9,3,58.0,40.0,4,10,1,9.4,3,0.11,13,13,1,57.0,33.2,57.0,,55.9,0.5,2,2,35,0.0,0,364,2,44.5,29,90.1,328,68.1,248,74.6,50,2,29.9,109,330,127,4.4,11.4,1.01,2017,334.0,59.6,0.22,1.86
Corey Coleman,10649,WR,CLV,9,14.5,2,46.0,58.3,7,12,0,14.8,4,-0.17,16,8,0,37.7,75.5,60.4,61.6,61.9,0.0,0,3,44,0.3,1,312,5,36.2,23,93.6,292,7.4,23,54.2,50,2,92.3,288,305,27,1.2,13.3,1.04,2017,258.7,12.6,0.1,2.1
Kenny Golladay,11851,WR,DET,11,15.7,4,58.3,42.9,6,14,0,9.7,3,0.03,18,11,0,56.8,76.6,68.0,65.7,68.1,1.3,4,1,54,0.3,1,318,4,47.2,28,90.6,288,24.8,79,104.3,48,3,73.9,235,477,177,6.3,17.0,1.66,2017,136.0,207.1,0.23,2.92
Rashard Higgins,10806,WR,CLV,15,10.2,6,58.7,33.3,2,6,0,6.9,2,-0.25,13,8,1,65.2,26.4,50.4,62.3,48.7,0.0,0,7,56,0.2,1,504,3,35.6,27,93.5,471,93.8,473,54.2,46,2,6.2,31,312,150,5.6,11.6,0.66,2017,396.0,120.2,0.25,3.08
Aldrick Robinson,6330,WR,SF,16,12.7,1,43.2,21.4,3,14,0,17.4,4,-0.22,12,28,0,33.8,74.1,55.9,,56.2,1.1,3,1,45,0.0,0,278,2,35.8,19,95.3,265,31.7,88,68.4,44,2,67.3,187,260,40,2.1,13.7,0.98,2017,461.0,70.1,0.28,4.12
