"Rank","Player","Team","Bye","POS","ESPN","Sleeper","CBS","NFL","RTSports","Fantrax","Underdog","AVG"
"66","Raheem Mostert","LV","8 ","RB27","79","72","","85","63","70","89.2","76.4"
"67","Chase Claypool","","","WR26","71","71","","63","70","67","51.7","65.6"
"68","JuJu Smith-Schuster","NYG","10","WR27","68","69","","73","71","73","78.3","72.0"
"69","Tom Brady","","","QB9","64","75","","57","78","76","102.3","75.4"
"70","Damien Harris","","","RB28","76","88","","113","57","72","85.2","81.9"
"71","Jerry Jeudy","CLE","13","WR28","69","76","","82","74","71","58.7","71.8"
"72","Ja'Marr Chase","CIN","10","WR29","78","58","","81","86","55","45.4","67.2"
"73","Kenny Golladay","","","WR30","72","67","","79","73","68","64.5","70.6"
"74","DeVonta Smith","PHI","14","WR31","81","73","","78","76","64","78","75.0"
"75","Robbie Chosen","","","WR32","70","80","","88","77","74","","77.8"
"76","Michael Thomas ","","","WR33","89","63","","80","91","75","86.9","80.8"
"77","Courtland Sutton","DEN","11","WR34","73","81","","96","69","78","69.2","77.7"
"78","Melvin Gordon","III","","RB29","103","77","","87","79","81","110.8","89.6"
"79","Logan Thomas ","","","TE7","66","103","","94","80","87","108.5","89.8"
"80","Noah Fant","NO","6","TE8","80","74","","90","89","84","109","87.7"
"81","Leonard Fournette","","","RB30","87","78","","92","87","88","123","92.5"
"82","Trey Sermon","","","RB31","120","82","","118","68","83","73.3","90.7"
"83","Deebo Samuel Sr.","","","WR35","92","84","","128","81","79","65.2","88.2"
"84","Matthew Stafford","LAR","11","QB10","93","89","","69","88","90","114.6","90.6"
"85","Robert Tonyan","PIT","7 ","TE9","88","93","","76","90","103","114.4","94.1"
"86","Tyler Boyd","","","WR36","82","102","","109","94","77","70.4","89.1"
"87","Ronald Jones","II","","RB32","121","83","","127","72","85","101.7","98.3"
"88","Laviska Shenault Jr.","","","WR37","83","96","","145","95","92","73.1","97.3"
"89","Brandin Cooks","","","WR38","77","94","","100","100","91","88.8","91.8"
"90","Michael Carter","TEN","13","RB33","134","95","","107","82","82","85.5","97.6"
"91","Ryan Tannehill","","","QB11","98","98","","93","85","94","110.8","96.5"
"92","Antonio Brown ","","","WR39","104","97","","110","92","86","74.1","93.8"
"93","Corey Davis ","","","WR40","94","105","","135","84","99","104.3","103.5"
"94","Jalen Hurts","PHI","14","QB12","97","107","","86","99","95","108.9","98.8"
"95","Dallas Goedert","PHI","14","TE10","99","85","","97","105","98","101.1","97.5"
"96","James Conner","ARI","12","RB34","107","101","","121","96","96","119.7","106.8"
"97","DJ Chark Jr. ","","","WR41","111","79","","117","106","80","78.2","95.2"
"98","Jarvis Landry","","","WR42","101","91","","124","111","89","89.9","101.0"
"99","Tampa Bay Buccaneers","DST","9","DST1","74","92","","72","144","119","","100.2"
"100","AJ Dillon","CAR","13","RB35","113","112","","142","101","93","96.5","109.6"
"101","Michael Pittman Jr.","PIT","7","WR43","129","111","","104","97","111","107.8","110.0"
"102","Kenyan Drake ","","","RB36","102","104","","140","107","102","132.1","114.5"
"103","Zack Moss","","","RB37","123","110","","120","83","100","107.7","107.3"
"104","Jaylen Waddle","DEN","11","WR44","110","87","","133","108","101","93.4","105.4"
"105","Los Angeles Rams","DST","11","DST2","115","99","","60","131","106","","102.2"
"106","William Fuller","V","","WR45","85","116","","106","112","97","85.3","100.2"
"107","Mike Gesicki","CIN","10","TE11","109","90","","114","113","125","135","114.3"
"108","Pittsburgh Steelers","DST","7","DST3","95","114","","65","128","115","","103.4"
"109","Joe Burrow","CIN","10","QB13","122","113","","108","110","107","115.5","112.6"
"110","Tyler Higbee","LAR","11 ","TE12","125","108","","151","109","113","102.2","118.0"
"111","Devin Singletary","NYG","10","RB38","128","117","","146","104","110","146.8","125.3"
"112","Jamaal Williams","","","RB39","124","134","","160","98","112","138.3","127.7"
"113","Sony Michel","","","RB40","90","151","","182","93","153","","133.8"
"114","Michael Gallup ","","","WR46","86","122","","132","119","105","72.8","106.1"
"115","Curtis Samuel","","","WR47","119","120","","111","115","108","89.9","110.5"
"116","Washington Commanders","DST","9","DST4","108","109","","75","141","130","","112.6"
"117","Marvin Jones Jr.","","","WR48","106","148","","112","129","120","109.3","120.7"
"118","Marquez Callaway","","","WR49","131","130","","176","103","142","147.9","138.3"
"119","Mike Williams","","","WR50","116","115","","131","133","109","70.3","112.4"
"120","Jonnu Smith","","","TE13","91","142","","116","118","141","146.5","125.8"
"121","Hollywood Brown","PHI","14","WR51","105","118","","136","120","117","98.8","115.8"
"122","Baltimore Ravens","DST","8","DST5","96","106","","74","143","137","","111.2"
"123","Nyheim Miller-Hines","","","RB41","132","127","","184","102","118","146.6","134.9"
"124","Rob Gronkowski","","","TE14","114","86","","101","145","133","158.9","123.0"
"125","Harrison Butker","KC","12","K1","84","131","","89","154","129","","117.4"
"126","Justin Tucker","","","K2","100","129","","71","146","123","","113.8"
"127","Trevor Lawrence","JAC","7","QB14","135","100","","122","130","126","124.3","122.9"
"128","Darnell Mooney","NYG","10","WR52","152","124","","137","122","121","91.3","124.5"
"129","Henry Ruggs III ","","","WR53","117","135","","170","127","127","","135.2"
"130","David Johnson","","","RB42","140","121","","130","125","114","137.1","127.8"
"131","Tony Pollard","TEN","13","RB43","158","144","","148","117","116","119.7","133.8"
"132","Mecole Hardman Jr.","BUF","7","WR54","144","125","","164","140","122","85.6","130.1"
"133","DeVante Parker","","","WR55","146","149","","","116","124","105.8","128.2"
"134","San Francisco 49ers","DST","6","DST6","118","123","","119","156","147","","132.6"
"135","Baker Mayfield","TB","9 ","QB15","126","126","","143","153","139","154","140.2"
"136","Buffalo Bills","DST","7","DST7","112","119","","125","160","156","","134.4"
"137","J.D. McKissic","","","RB44","157","162","","196","114","134","163.9","154.5"
"138","Justin Fields","KC","12","QB16","147","128","","149","139","144","133","140.0"
"139","Matt Ryan","","","QB17","153","158","","161","126","131","140.5","144.9"
"140","Younghoe","Koo","","K3","130","132","","62","171","149","","128.8"
"141","Cole Beasley","","","WR56","133","159","","169","138","128","137.5","144.1"
"142","Jakobi Meyers","JAC","7","WR57","136","152","","219","132","163","141.9","157.3"
"143","Elijah Moore","PHI","14","WR58","160","136","","167","149","132","95.6","139.9"
"144","Phillip Lindsay","","","RB45","155","143","","154","123","197","183.8","159.3"
"145","Russell Gage Jr.","","","WR59","172","155","","188","136","136","107.3","149.1"
"146","Trey Lance","LAC","7","QB18","166","146","","168","148","140","111.2","146.5"
"147","James White ","","","RB46","150","179","","197","135","145","179.2","164.2"
"148","Indianapolis Colts","DST","14","DST8","148","150","","91","161","151","","140.2"
"149","Hunter Henry","NE","14","TE15","156","141","","172","124","143","173.4","151.6"
"150","Alexander Mattison","","","RB47","164","170","","192","142","138","152.8","159.8"
"151","Tyler Bass","BUF","7","K4","162","133","","102","166","157","","144.0"
"152","Kirk Cousins","LV","8","QB19","176","163","","165","137","148","152.1","156.8"
"153","Tua Tagovailoa","ATL","6","QB20","145","193","","152","163","146","144.8","157.3"
"154","New England Patriots","DST","14","DST9","154","156","","150","167","178","","161.0"
"155","Evan Engram","DEN","11","TE16","170","164","","159","151","135","149.6","154.8"
"156","Denver Broncos","DST","11","DST10","138","138","","173","175","204","","165.6"
"157","Jason Sanders","NYJ","6","K5","141","140","","123","190","193","","157.4"
"158","Ben Roethlisberger","","","QB21","159","181","","166","164","167","184.1","170.2"
"159","Zach Ertz","","","TE17","169","161","","155","169","173","","165.4"
"160","Jared Cook","","","TE18","178","160","","157","158","174","168.8","166.0"
"161","Ryan Succop","","","K6","179","139","","126","182","213","","167.8"
"162","Tevin Coleman","","","RB48","197","185","","199","121","155","193.8","175.1"
"163","Jameis Winston","NYG","10 ","QB22","167","175","","181","170","198","","178.2"
"164","Rhamondre Stevenson","NE","14","RB49","181","177","","233","134","190","","183.0"
"165","Sterling Shepard ","","","WR60","185","184","","189","152","152","152","169.0"
"166","Austin Hooper","ATL","6","TE19","139","166","","174","159","199","186.9","170.7"
"167","Cleveland Browns","DST","13","DST11","149","137","","163","203","230","","176.4"
"168","Giovani Bernard","","","RB50","189","192","","229","155","166","180.2","185.2"
"169","Nelson Agholor","","","WR61","175","167","","205","174","160","133.7","169.1"
"170","Chuba Hubbard","CAR","13","RB51","210","154","","259","168","171","","192.4"
"171","Mac Jones","SF","6","QB23","168","176","","194","197","150","","177.0"
"173","Rodrigo Blankenship","","","K7","187","145","","68","185","185","","154.0"
"174","Greg Zuerlein","","","K8","163","153","","105","183","206","","162.0"
"175","Kenneth Gainwell","TB","9","RB52","","195","","178","165","187","","181.2"
"176","Gerald Everett","","","TE20","204","190","","139","157","188","145.9","170.7"
"177","Ryan Fitzpatrick ","","","QB24","182","197","","190","184","161","159.9","179.0"
"178","Daniel Carlson","LV","8","K9","","202","","103","210","225","","185.0"
"179","Kansas City Chiefs","DST","12","DST12","191","178","","141","187","235","","186.4"
"180","Derek Carr","","","QB25","184","213","","180","179","176","180.9","185.5"
"181","Jalen Reagor","MIA","14","WR62","151","196","","246","162","162","138.9","176.0"
"182","Cole Kmet","CHI","10","TE21","174","186","","187","188","202","171.3","184.7"
"183","Tyrell Williams","","","WR63","161","206","","","201","215","178.1","192.2"
"184","New Orleans Saints","DST","6","DST13","180","203","","129","207","227","","189.2"
"185","Rashaad Penny","","","RB53","","211","","248","180","158","166.4","192.7"
"186","Terrace Marshall Jr.","MIA","14","WR64","194","183","","241","173","164","126.9","180.3"
"187","Miami Dolphins","DST","14","DST14","199","182","","98","204","192","","175.0"
"188","Zach Wilson","NO","6","QB26","186","194","","207","192","183","183.2","190.9"
"189","Jason Myers","SEA","9","K10","127","147","","147","218","270","","181.8"
"190","Latavius Murray","","","RB54","227","169","","208","172","195","127.7","183.1"
"191","Mason Crosby","","","K11","195","157","","156","224","243","","195.0"
"192","Emmanuel Sanders","","","WR65","203","209","","201","189","172","131.1","184.2"
"193","A.J. Green","","","WR66","177","187","","204","214","201","152.4","189.2"
"194","Ty'Son Williams","","","RB55","193","225","","258","147","170","","198.6"
"195","Randall Cobb","","","WR67","173","174","","213","233","205","146.4","190.7"
"196","Gabe Davis","","","WR68","224","208","","191","220","180","","204.6"
"197","Matt Prater","","","K12","190","168","","206","208","264","","207.2"
"198","Daniel Jones","IND","14 ","QB27","196","221","","236","202","181","176.6","202.1"
"199","Green Bay Packers","DST","13","DST15","192","229","","153","232","231","","207.4"
"200","Bryan Edwards","","","WR69","214","191","","262","191","179","138.6","195.9"
"201","Matt Gay","LV","8","K13","142","","","250","205","280","","219.2"
"202","Deshaun Watson","CLE","13","QB28","200","171","","144","256","275","193.9","206.7"
"203","Pat Freiermuth","PIT","7","TE22","201","180","","225","230","216","","210.4"
"204","Sam Darnold","SEA","9","QB29","218","216","","238","194","194","187.3","207.9"
"205","Darrel Williams","","","RB56","","239","","240","196","220","","223.8"
"206","Anthony Firkser","WAS","9","TE23","209","220","","264","195","189","167.1","207.3"
"207","Brandon McManus","","","K14","143","","","177","238","224","","195.5"
"208","Eric Ebron","","","TE24","171","212","","185","225","293","","217.2"
"209","Blake Jarwin","","","TE25","217","218","","202","236","222","185.5","213.4"
"210","Amon-Ra St. Brown","DET","9","WR70","","189","","203","211","191","164.5","191.7"
"211","Mark Ingram","II","","RB57","220","234","","214","193","247","","221.6"
"212","Seattle Seahawks","DST","9","DST16","207","233","","179","287","207","","222.6"
"213","Parris Campbell","","","WR71","165","214","","293","234","212","162.1","213.3"
"214","Tarik Cohen","","","RB58","","254","","186","209","177","","206.5"
"215","Tony Jones Jr.","","","RB59","","","","300","150","208","","219.3"
"216","Chicago Bears","DST","10","DST17","202","227","","183","231","289","","226.4"
"217","Adam Trautman","DEN","11","TE26","","200","","220","242","168","136.7","193.3"
"218","Robbie Gould","","","K15","205","188","","210","235","301","","227.8"
"219","Christian Kirk","SF","6","WR72","","219","","255","181","182","166.3","200.7"
"220","Jamison Crowder","","","WR73","230","222","","247","266","154","165.9","214.2"
"221","Ty Johnson","BUF","7","RB60","","232","","","216","234","","227.3"
"222","T.Y. Hilton","","","WR74","","199","","162","285","196","158","200.0"
"223","Damien Williams","","","RB61","","210","","276","176","184","169.5","203.1"
"224","Tennessee Titans","DST","13","DST18","225","241","","218","293","175","","230.4"
"225","Minnesota Vikings","DST","7","DST19","183","201","","215","251","312","","232.4"
"226","Carson Wentz","MIN","7","QB30","211","242","","224","177","305","","231.8"
"227","Rashod Bateman","BAL","8","WR75","","173","","266","253","165","109.3","193.3"
"228","Tre'Quan Smith","","","WR76","","215","","281","198","169","130.8","198.8"
"229","Malcolm Brown","","","RB62","188","246","","","222","217","","218.2"
"230","Marlon Mack","","","RB63","","217","","251","226","200","","223.5"
"231","Graham Gano","","","K16","137","","","217","240","324","","229.5"
"232","Devontae Booker","","","RB64","","198","","","199","203","","200.0"
"233","Arizona Cardinals","DST","12","DST20","222","","","158","296","232","","227.0"
"234","Allen Lazard","","","WR77","","244","","226","223","218","187.3","219.7"
"235","Wil Lutz","DEN","11 ","K17","","247","","138","","228","","204.3"
"236","Los Angeles Chargers","DST","7","DST21","228","230","","223","237","310","","245.6"
"237","Marquez Valdes-Scantling","DAL","7","WR78","","205","","245","219","251","177.8","219.6"
"238","Carolina Panthers","DST","13","DST22","232","226","","231","252","288","","245.8"
"239","Le'Veon Bell","","","RB65","216","238","","263","212","","","232.2"
"240","Cam Newton","","","QB31","229","258","","198","","254","","234.8"
"241","Chris Boswell","PIT","7","K18","215","","","193","229","321","","239.5"
"242","Jerick McKinnon","","","RB66","","237","","269","178","258","","235.5"
"243","Sammy Watkins","","","WR79","","207","","237","239","261","157","220.2"
"244","Jared Goff","DET","9","QB32","208","","","244","279","221","","238.0"
"245","Boston Scott","","","RB67","","204","","297","206","248","","238.8"
"246","Cam Akers","","","RB68","226","","","134","","455","","271.7"
"247","O.J. Howard","","","TE27","221","243","","270","278","262","","254.8"
"248","Kadarius Toney","","","WR80","","224","","261","249","241","","243.8"
"249","Todd Gurley","II","","RB69","","","","212","241","223","","225.3"
"250","Teddy Bridgewater","DET","9","QB33","206","","","239","263","287","","248.8"
"251","Evan McPherson","CIN","10","K19","219","","","273","254","249","","248.8"
"252","Carlos Hyde ","","","RB70","","228","","278","213","279","","249.5"
"253","Amari Rodgers","","","WR81","","249","","257","200","332","","259.5"
"254","Darrynton Evans ","","","RB71","","260","","","215","239","196.9","227.7"
"255","Nico Collins","HOU","10","WR82","","252","","","257","214","193.2","229.1"
"256","Tim Tebow","","","TE28","","223","","260","","250","","244.3"
"257","Benny Snell Jr.","","","RB72","","","","280","228","226","","244.7"
"258","Dallas Cowboys","DST","7","DST23","","","","195","274","268","","245.7"
"259","Joshua Palmer","BUF","7","WR83","","235","","","227","276","","246.0"
"260","Hayden Hurst","","","TE29","","","","235","295","210","","246.7"
"261","Hunter Renfrow","","","WR84","","245","","277","255","266","","260.8"
"262","Taysom Hill","","","TE30","","","","234","298","209","","247.0"
"263","Cordarrelle Patterson","","","RB73","","231","","","258","256","","248.3"
"264","Josh Lambo","","","K20","231","","","274","245","344","","273.5"
"265","Salvon Ahmed","CHI","10","RB74","","255","","","259","237","","250.3"
"266","J.J. Taylor","","","RB75","","","","295","248","211","","251.3"
"267","Justin Jackson","","","RB76","","","","","217","253","","235.0"
"268","Cairo Santos","CHI","10","K21","","","","171","","328","","249.5"
"269","Jimmy Graham","","","TE31","","","","230","286","265","","260.3"
"270","Donovan Peoples-Jones","","","WR85","","236","","284","283","282","197.3","256.5"
"271","Jimmy Garoppolo","LAR","11","QB34","","","","228","267","292","","262.3"
"272","Jordan Akins","","","TE32","","","","","","186","","186.0"
"273","John Brown","","","WR86","","264","","227","","330","167.2","247.1"
"274","New York Giants","DST","10","DST24","","","","209","292","316","","272.3"
"275","Dustin Hopkins","","","K22","","","","256","246","357","","286.3"
"276","Giovanni Ricci","","","TE33","","","","200","","","","200.0"
"277","Dalton Schultz","HOU","10","TE34","","","","242","262","303","","269.0"
"278","Wayne Gallman Jr.","","","RB77","","","","","221","284","","252.5"
"279","Jeff Wilson Jr.","","","RB78","","","","","272","233","","252.5"
"280","Javian Hawkins","TEN","13","RB79","","265","","","","242","","253.5"
"281","Austin Seibert ","","","K23","","","","211","","","","211.0"
"282","Chase McLaughlin","TB","9","K24","212","","","","","356","","284.0"
"283","Juwan Johnson","NO","6","TE35","","","","","273","245","","259.0"
"284","Dawson Knox","BUF","7","TE36","","","","254","264","304","","274.0"
"285","Michael Badgley","","","K25","","","","216","","345","","280.5"
"286","Philadelphia Eagles","DST","14","DST25","","","","222","297","348","","289.0"
"287","Elijah Mitchell","PHI","14","RB80","","","","","","219","","219.0"
"288","Denzel Mims","","","WR87","","","","","260","263","","261.5"
"289","Ka'imi Fairbairn","HOU","10","K26","","","","221","","342","","281.5"
"290","Tyler Kroft","","","TE37","","","","","284","246","","265.0"
"291","Sam Ficken","","","K27","","","","","","229","","229.0"
"292","Byron Pringle","","","WR88","","","","","244","290","191.7","241.9"
"293","Jake Elliott","PHI","14","K28","","","","232","","340","","286.0"
"294","Jacksonville Jaguars","DST","7","DST26","","","","287","250","336","","291.0"
"295","DeSean Jackson","","","WR89","","","","267","300","274","186.7","256.9"
"296","Anthony McFarland Jr.","","","RB81","","","","","","236","","236.0"
"297","Andy Dalton","PHI","14","QB35","","","","","","238","","238.0"
"298","Joshua Kelley","","","RB82","","","","","243","298","","270.5"
"299","Dan Arnold","","","TE38","","","","","289","252","","270.5"
"300","Larry Rountree","III","","RB83","","","","","247","295","","271.0"
"301","Jake Funk","","","RB84","","","","","","240","","240.0"
"302","Xavier Jones","","","RB85","","240","","","","454","179.6","291.2"
"303","Las Vegas Raiders","DST","8","DST27","","","","243","","","","243.0"
"304","Royce Freeman","","","RB86","","","","","","244","","244.0"
"305","Detrez Newsome","","","RB87","","248","","","","","","248.0"
"306","Stephen Gostkowski","","","K29","","","","249","","","","249.0"
"307","Paul McRoberts","","","WR90","","250","","","","","","250.0"
"308","Jon Brown","","","K30","","251","","","","","","251.0"
"309","Jaret Patterson","LAC","7","RB88","","","","","268","286","","277.0"
"310","Nick Folk","ATL","6","K31","","","","252","","338","","295.0"
"311","Nick Tiano","","","QB36","","253","","","","","","253.0"
"312","Joey Slye","TEN","13","K32","","","","253","","347","","300.0"
"313","Demarcus Robinson","SF","6","WR91","","","","288","","269","","278.5"
"314","La'Mical Perine","","","RB89","","","","","","255","","255.0"
"315","Kent Taylor","","","TE39","","256","","","","","","256.0"
"316","Anthony Miller","","","WR92","","","","","276","283","","279.5"
"317","Stevan Ridley","","","RB90","","257","","","","","","257.0"
"318","Breshad Perriman","","","WR93","","","","","","257","171.5","214.2"
"319","KJ Hamler ","","","WR94","","","","285","275","306","","288.7"
"320","Austin MacGinnis","","","K33","","","","","","259","","259.0"
"321","Juwan Green","","","WR95","","259","","","","","","259.0"
"322","Van Jefferson","WAS","9","WR96","","261","","","","327","Photos provided by Imagn Images
Tags:
ADP
strategy
Share This Article
 Copy  
More by Clayton Gray
 
ESPN ADP Movement: How Player Values Are Changing
Clayton Gray

ESPN ADP: A look at the current state of ESPN ADP and how it is moving.

05/23/26
Read More 
 
2026 NFL Strength of Schedule By Team
Clayton Gray

The team-by-team strength of schedule for the 2026 NFL season.

05/15/26
Read More 
 
2026 NFL Schedule: Bye Weeks
Clayton Gray

Each team's bye week for the 2026 NFL schedule.

05/15/26
Read More 
 
2026 NFL Schedule: Prime Time Games
Clayton Gray

A team-by-team look at the 2026 NFL prime time games.

05/15/26
Read More 
 
2026 NFL Schedule, Ranking the International Games
Clayton Gray

Ranking the 2026 NFL International Games from must-watch to must-miss.

05/15/26
Read More 
 
2026 NFL Schedule Grid
Clayton Gray

The NFL schedule in grid format for the 2026 season.

05/15/26
Read More 
Latest Features
 
Crush Your Fantasy Draft With the Draft Dominator
Read More 
 
Fantasy Football 2026 Draft Rankings
Read More 
 
Rate My Team
Read More 
 
Fantasy Football Draft Kit 2026
Read More 
 
Gameday Updates
Read More 
More Features 
     
We Help You Win More at Fantasy Football.

Made by Footballguys in the USA 

Fantasy Tools
League Sync
Draft Dominator
League Dominator
Custom Rankings
Cheatsheets
Rate My Team
More Tools
DFS Lineup Builder
Dynasty Trade Value Chart Plus 
Experimental
Best Ball Rankings
Depth Charts
Snap Counts
Stats Tools
Content
Articles
News
Podcasts
Newsletter
Rookie Draft Guide
Injury Reports
Company
Advertise With Us
Shop
Mobile Apps
Gift a Subscription
Forums
Contests
Privacy Policy
Terms of Service
Contact Us
Security
Careers

© 2026 Sportsguys, LLC

Cookie Consent
We use cookies to personalize content, ads and analyze site traffic - learn more on our privacy policy.
Accept Close","294.0"
"323","Donald Parham Jr.","","","TE40","","","","","261","364","","312.5"
"324","Taywan Taylor","","","WR97","","262","","","","","","262.0"
"325","Samaje Perine","CIN","10","RB91","","","","","265","300","","282.5"
"326","Tyler Davis","","","WR98","","263","","","","","","263.0"
"327","David Njoku","LAC","7","TE41","","","","265","","383","","324.0"
"328","Josh Hammond","","","WR99","","266","","","","","","266.0"
"329","Austin Traylor","","","TE42","","267","","","","","","267.0"
"330","Brian Hill","","","RB92","","","","","","267","","267.0"
"331","Larry Fitzgerald","","","WR100","","","","268","","","","268.0"
"332","Jarvion Franklin","","","RB93","","268","","","","","","268.0"
"333","Manasseh Bailey","","","WR101","","269","","","","","","269.0"
"334","Chris Herndon","IV","","TE43","","","","","269","315","","292.0"
"335","Alex Collins","","","RB94","","","","","270","","","270.0"
"336","Quinton Flowers","","","QB37","","270","","","","","","270.0"
"337","Darius Slayton","NYG","10","WR102","","","","","302","271","191.3","254.8"
"338","Darrin Hall","","","RB95","","271","","","","","","271.0"
"339","Mekhi Sargent","","","RB96","","","","","271","","","271.0"
"340","Josh Adams","","","RB97","","272","","","","","","272.0"
"341","Pooka Williams Jr.","","","RB98","","","","","","272","","272.0"
"342","Kyle Juszczyk","SF","6","RB99","","","","272","","435","","353.5"
"343","Qadree Ollison","","","RB100","","","","","","273","","273.0"
"344","Phillip Andersen","","","K34","","273","","","","","","273.0"
"345","Jamal Robinson","","","WR103","","274","","","","","","274.0"
"346","Mike White","","","QB38","","275","","","","","","275.0"
"347","Jeremy Kerley","","","WR104","","276","","","","","","276.0"
"348","Tyrod Taylor","GB","13","QB39","","","","","294","285","","289.5"
"349","Dalton Crossan","","","RB101","","277","","","","","","277.0"
"350","Keke Coutee","","","WR105","","","","","","277","","277.0"
"351","JaMycal Hasty","","","RB102","","","","","277","","","277.0"
