"Rank","Player","Team","Bye","POS","ESPN","Sleeper","CBS","NFL","RTSports","Fantrax","Underdog","AVG"
"1","Christian McCaffrey","SF","6 ","RB1","1","1","","1","1","1","1","1.0"
"2","Dalvin Cook","","","RB2","2","2","","2","2","2","2.1","2.0"
"3","Alvin Kamara","NO","6","RB3","3","3","","4","3","3","4.3","3.4"
"4","Derrick Henry","BAL","8","RB4","4","4","","3","4","4","3.8","3.8"
"5","Ezekiel Elliott","","","RB5","8","5","","8","5","5","5.6","6.1"
"6","Davante Adams","LAR","11","WR1","5","10","","10","6","6","6.8","7.3"
"7","Travis Kelce","KC","12","TE1","7","12","","5","9","8","6.5","7.9"
"8","Aaron Jones Sr.","MIN","7","RB6","10","11","","7","11","10","10.3","9.9"
"9","Saquon Barkley","PHI","14","RB7","6","7","","9","10","11","10.9","9.0"
"10","Austin Ekeler","","","RB8","13","13","","6","8","12","11.8","10.6"
"11","Jonathan Taylor","IND","14","RB9","11","9","","12","7","7","16.9","10.5"
"12","Nick Chubb","","","RB10","12","6","","11","12","9","15.3","10.9"
"13","Tyreek Hill","","","WR2","9","8","","13","13","13","8.1","10.7"
"14","Stefon Diggs","","","WR3","14","15","","14","14","14","10.1","13.5"
"15","Najee Harris","LAC","7","RB11","15","16","","16","16","15","20.5","16.4"
"16","DeAndre Hopkins","BAL","8","WR4","17","17","","17","19","17","14.9","17.0"
"17","Antonio Gibson","","","RB12","16","21","","20","15","16","15.8","17.3"
"18","Patrick Mahomes II","KC","12","QB1","19","14","","15","21","21","35.4","20.9"
"19","Calvin Ridley","TEN","13","WR5","20","19","","18","18","18","13.4","17.7"
"20","DK Metcalf","PIT","7","WR6","18","18","","19","20","20","18.2","18.9"
"21","Joe Mixon","","","RB13","24","20","","25","17","19","19.8","20.8"
"22","Darren Waller","","","TE2","21","26","","22","22","23","22.6","22.8"
"23","Justin Jefferson","MIN","7","WR7","23","23","","23","23","24","22.8","23.1"
"24","A.J. Brown","NE","14","WR8","22","22","","21","25","25","20.1","22.5"
"25","Clyde Edwards-Helaire","","","RB14","26","25","","26","24","22","23.5","24.4"
"26","George Kittle","SF","6","TE3","25","24","","24","32","26","27.1","26.4"
"27","Keenan Allen","LAC","7","WR9","28","27","","29","30","27","25.8","27.8"
"28","Terry McLaurin","WAS","9","WR10","27","29","","32","27","30","27.8","28.8"
"29","Josh Allen","BUF","7","QB2","29","28","","27","33","33","50.6","33.4"
"30","David Montgomery","HOU","10","RB15","34","35","","31","26","28","39.3","32.2"
"31","Allen Robinson","II","","WR11","32","31","","28","34","29","29.2","30.5"
"32","Chris Carson ","","","RB16","37","34","","36","31","32","39.6","34.9"
"33","CeeDee Lamb","DAL","7","WR12","30","40","","33","28","34","24.7","31.6"
"34","James Robinson ","","","RB17","31","37","","56","29","37","96.6","47.8"
"35","Mike Evans","SF","6","WR13","33","32","","37","40","36","34.6","35.4"
"36","Josh Jacobs","GB","13","RB18","40","30","","42","36","35","58.3","40.2"
"37","D'Andre Swift","CHI","10","RB19","44","33","","38","35","31","34.1","35.9"
"38","Miles Sanders","","","RB20","35","39","","48","38","39","52.1","41.9"
"39","Robert Woods ","","","WR14","36","47","","39","37","38","32.9","38.3"
"40","Kyler Murray","MIN","7","QB3","39","36","","35","44","42","55.8","42.0"
"41","Amari Cooper","","","WR15","38","42","","41","42","40","31.3","39.0"
"42","Chris Godwin Jr.","TB","9 ","WR16","46","44","","40","41","41","40.4","42.1"
"43","Lamar Jackson","BAL","8","QB4","43","43","","34","50","50","55.3","45.9"
"44","Cooper Kupp","SEA","9","WR17","47","46","","53","43","43","37.2","44.9"
"45","Julio Jones","","","WR18","49","41","","30","56","44","39.2","43.2"
"46","Kyle Pitts Sr.","ATL","6","TE4","50","38","","46","49","53","46.7","47.1"
"47","Tyler Lockett","LV","8","WR19","42","52","","51","47","47","35.9","45.8"
"48","Myles Gaskin","","","RB21","61","56","","59","46","45","65.9","55.5"
"49","Mark Andrews","BAL","8","TE5","45","48","","44","53","54","60.3","50.7"
"50","Adam Thielen","","","WR20","41","51","","54","61","46","48","50.2"
"51","Diontae Johnson","","","WR21","53","60","","49","54","51","48.9","52.6"
"52","DJ Moore","BUF","7","WR22","54","50","","61","51","48","41.1","50.9"
"53","Aaron Rodgers","PIT","7","QB5","48","57","","43","64","63","83.7","59.8"
"54","Russell Wilson","","","QB6","55","49","","47","65","61","75.5","58.8"
"55","Dak Prescott","DAL","7","QB7","51","59","","45","58","58","65.6","56.1"
"56","Mike Davis","","","RB22","67","64","","52","45","382","62","112.0"
"57","Kareem Hunt","","","RB23","58","53","","58","59","52","69.1","58.2"
"58","T.J. Hockenson","MIN","7 ","TE6","57","55","","55","60","60","62.3","58.2"
"59","Darrell Henderson Jr.","","","RB24","75","45","","70","52","65","46.4","58.9"
"60","Javonte Williams","DAL","7","RB25","63","62","","84","48","56","69.2","63.7"
"61","Brandon Aiyuk","SF","6","WR23","59","61","","64","62","57","45","58.0"
"62","Chase Edmonds","WAS","9","RB26","56","70","","83","55","62","78.7","67.5"
"63","Justin Herbert","LAC","7","QB8","62","54","","50","67","69","81.4","63.9"
"64","Tee Higgins","CIN","10","WR24","60","66","","77","66","59","46","62.3"
"65","Odell Beckham Jr.","NYG","10","WR25","65","65","","66","75","66","55.2","65.4"
