"Player","Team","Pos","Pos Rank","Rank","ADP","2022 Finish","Rank vs. ADP"
"Elijah Moore","CLE","WR","50","114","91","280","-23"
"Zay Jones","JAX","WR","51","115","122","58","7"
"Tyler Boyd","CIN","WR","52","116","112","131","-4"
"Samaje Perine","DEN","RB","40","117","117","105","0"
"Jamaal Williams","NO","RB","41","118","123","119","5"
"Aaron Rodgers","NYJ","QB","15","119","121","193","2"
"Tua Tagovailoa","MIA","QB","16","120","94","74","-26"
"Dalton Kincaid","BUF","TE","12","121","116","","-5"
"Nico Collins","HOU","WR","53","122","119","206","-3"
"Allen Lazard","NYJ","WR","54","123","125","106","2"
"Luke Musgrave","GB","TE","13","124","162","","38"
"Jake Ferguson","DAL","TE","14","125","160","297","35"
"Juwan Johnson","NO","TE","15","126","153","126","27"
"Romeo Doubs","GB","WR","55","127","108","162","-19"
"Quentin Johnston","LAC","WR","56","128","86","","-42"
"Damien Harris","BUF","RB","42","129","137","145","8"
"Elijah Mitchell","SF","RB","43","130","130","149","0"
"Tyler Allgeier","ATL","RB","44","131","139","89","8"
"Tank Bigsby","JAX","RB","45","132","118","","-14"
"DeVante Parker","NE","WR","57","133","180","112","47"
"Skyy Moore","KC","WR","58","134","89","300","-45"
"Ezekiel Elliott","NE","RB","46","135","145","59","10"
"Tyjae Spears","TEN","RB","47","136","157","","21"
"Dalton Schultz","HOU","TE","16","137","135","85","-2"
"Jakobi Meyers","LV","WR","59","138","128","79","-10"
"Isaiah Hodgins","NYG","WR","60","139","168","73","29"
"Donovan Peoples-Jones","CLE","WR","61","140","172","152","32"
"Jonathan Mingo","CAR","WR","62","141","152","","11"
"Marquez Valdes-Scantling","KC","WR","63","142","141","174","-1"
"Jared Goff","DET","QB","17","143","129","95","-14"
"Kenny Pickett","PIT","QB","18","144","146","300","2"
"Brock Purdy","SF","QB","19","145","156","248","11"
"Adam Thielen","CAR","WR","64","146","144","137","-2"
"Darius Slayton","NYG","WR","65","147","194","136","47"
"Marvin Mims","DEN","WR","66","148","124","","-24"
"Roschon Johnson","CHI","RB","48","149","150","","1"
"Kenneth Gainwell","PHI","RB","49","150","140","215","-10"
"Clyde Edwards-Helaire","KC","RB","50","151","199","68","48"
"Tyler Conklin","NYJ","TE","17","152","190","178","38"
"Hunter Henry","NE","TE","18","153","186","234","33"
"Gerald Everett","LAC","TE","19","154","159","146","5"
"Sam LaPorta","DET","TE","20","155","134","","-21"
"Chigoziem Okonkwo","TEN","TE","21","156","155","227","-1"
"Matthew Stafford","LAR","QB","20","157","170","294","13"
"Derek Carr","NO","QB","21","158","147","220","-11"
"Russell Wilson","DEN","QB","22","159","142","134","-17"
"Michael Gallup","DAL","WR","67","160","148","192","-12"
"DJ Chark","CAR","WR","68","161","171","121","10"
"Jameson Williams","DET","WR","69","162","127","119","-35"
"Curtis Samuel","WAS","WR","70","163","175","100","12"
"Jayden Reed","GB","WR","71","164","161","","-3"
"Chuba Hubbard","CAR","RB","51","165","183","156","18"
"Zamir White","LV","RB","52","166","187","300","21"
"Ty Chandler","MIN","RB","53","167","195","300","28"
"Devin Singletary","HOU","RB","54","168","173","91","5"
"Jerick McKinnon","KC","RB","55","169","126","88","-43"
"D'Onta Foreman","CHI","RB","56","170","197","72","27"
"Devon Achane","MIA","RB","57","171","132","","-39"
"Jeff Wilson","MIA","RB","58","172","165","81","-7"
"Mac Jones","NE","QB","23","173","215","223","42"
"Jordan Love","GB","QB","24","174","151","300","-23"
"Cole Kmet","CHI","TE","22","175","149","138","-26"
"Dawson Knox","BUF","TE","23","176","184","167","8"
"Hayden Hurst","CAR","TE","24","177","202","218","25"
